time2,year,month,day,winds_u,winds_v
01-01,2005.0,1.0,1.0,-0.13076922,-1.3923078
01-02,2005.0,1.0,2.0,0.4076923,-1.3538462
01-03,2005.0,1.0,3.0,0.32307693,-1.8
01-04,2005.0,1.0,4.0,-0.04999997,-1.1142857
01-05,2005.0,1.0,5.0,1.05,-1.0928571
01-06,2005.0,1.0,6.0,1.1071428,-1.75
01-07,2005.0,1.0,7.0,0.8333333,-1.5466666
01-08,2005.0,1.0,8.0,0.26000005,-1.3533332
01-09,2005.0,1.0,9.0,0.87333333,-1.9733334
01-10,2005.0,1.0,10.0,0.11999998,-2.1
01-11,2005.0,1.0,11.0,0.96000004,-1.9599999
01-12,2005.0,1.0,12.0,0.8666667,-2.4733331
01-13,2005.0,1.0,13.0,0.37333333,-1.86
01-14,2005.0,1.0,14.0,0.62857145,-2.085714
01-15,2005.0,1.0,15.0,0.12857142,-2.2071428
01-16,2005.0,1.0,16.0,-0.099999994,-1.38
01-17,2005.0,1.0,17.0,0.48571423,-0.5
01-18,2005.0,1.0,18.0,1.14,-0.76666665
01-19,2005.0,1.0,19.0,0.6466667,-2.16
01-20,2005.0,1.0,20.0,0.66428566,-1.6785715
01-21,2005.0,1.0,21.0,0.78000003,-2.26
01-22,2005.0,1.0,22.0,0.25333333,-2.14
01-23,2005.0,1.0,23.0,0.19333331,-2.6133335
01-24,2005.0,1.0,24.0,-1.0066667,-2.5666666
01-25,2005.0,1.0,25.0,-0.50666666,-2.2266667
01-26,2005.0,1.0,26.0,0.025000058,-2.25
01-27,2005.0,1.0,27.0,-0.29333326,-2.6866667
01-28,2005.0,1.0,28.0,0.25882357,-2.8058825
01-29,2005.0,1.0,29.0,-0.34999996,-2.8375
01-30,2005.0,1.0,30.0,-0.23125,-3.09375
01-31,2005.0,1.0,31.0,-0.18666668,-2.8866665
02-01,2005.0,2.0,1.0,0.50666666,-2.1333334
02-02,2005.0,2.0,2.0,0.5437499,-2.275
02-03,2005.0,2.0,3.0,0.2266667,-2.4
02-04,2005.0,2.0,4.0,-0.82,-2.3466668
02-05,2005.0,2.0,5.0,-0.59375,-1.85
02-06,2005.0,2.0,6.0,-0.68000007,-1.26
02-07,2005.0,2.0,7.0,0.23333333,-1.4533333
02-08,2005.0,2.0,8.0,0.38,-1.9333333
02-09,2005.0,2.0,9.0,-0.5533333,-1.5133334
02-10,2005.0,2.0,10.0,-0.18571424,-1.9499999
02-11,2005.0,2.0,11.0,0.2142857,-2.4785714
02-12,2005.0,2.0,12.0,-0.13333334,-1.6733334
02-13,2005.0,2.0,13.0,-0.04000006,-0.92
02-14,2005.0,2.0,14.0,-0.91999996,-1.0266666
02-15,2005.0,2.0,15.0,-0.2,-1.0666667
02-16,2005.0,2.0,16.0,-0.90000004,-1.4133334
02-17,2005.0,2.0,17.0,-1.1214286,-2.3642857
02-18,2005.0,2.0,18.0,-1.0625,-2.075
02-19,2005.0,2.0,19.0,-0.83124995,-1.53125
02-20,2005.0,2.0,20.0,-0.31875,-2.1125
02-21,2005.0,2.0,21.0,0.30624998,-2.21875
02-22,2005.0,2.0,22.0,0.35000005,-1.8937501
02-23,2005.0,2.0,23.0,0.6529412,-1.9
02-24,2005.0,2.0,24.0,1.6117647,-2.4529412
02-25,2005.0,2.0,25.0,0.9000001,-2.1647058
02-26,2005.0,2.0,26.0,0.43749997,-1.90625
02-27,2005.0,2.0,27.0,0.625,-1.75
02-28,2005.0,2.0,28.0,0.29411766,-1.4588234
03-01,2005.0,3.0,1.0,-0.29375002,-0.9875
03-02,2005.0,3.0,2.0,-0.0062500983,-1.24375
03-03,2005.0,3.0,3.0,0.5875,-1.35
03-04,2005.0,3.0,4.0,0.5625,-1.65625
03-05,2005.0,3.0,5.0,0.031250015,-2.51875
03-06,2005.0,3.0,6.0,-0.15000004,-2.43125
03-07,2005.0,3.0,7.0,-0.31333336,-2.7066665
03-08,2005.0,3.0,8.0,-0.79285717,-2.4285715
03-09,2005.0,3.0,9.0,-0.52000004,-2.4933333
03-10,2005.0,3.0,10.0,0.20000005,-2.24
03-11,2005.0,3.0,11.0,0.0666666,-2.2733333
03-12,2005.0,3.0,12.0,0.22666664,-2.1733332
03-13,2005.0,3.0,13.0,0.40000004,-1.75625
03-14,2005.0,3.0,14.0,-0.15625,-1.9375
03-15,2005.0,3.0,15.0,-0.30625004,-1.0875
03-16,2005.0,3.0,16.0,-0.73749995,-1.46875
03-17,2005.0,3.0,17.0,-0.13125002,-1.10625
03-18,2005.0,3.0,18.0,7.450581e-09,-1.4375
03-19,2005.0,3.0,19.0,0.15624997,-1.24375
03-20,2005.0,3.0,20.0,0.19999999,-1.3125
03-21,2005.0,3.0,21.0,0.52500004,-0.54375
03-22,2005.0,3.0,22.0,0.5375,-0.925
03-23,2005.0,3.0,23.0,-0.09375,-1.0875
03-24,2005.0,3.0,24.0,-0.12857142,-0.16428569
03-25,2005.0,3.0,25.0,-0.32500005,-0.6375
03-26,2005.0,3.0,26.0,-0.53749996,-0.975
03-27,2005.0,3.0,27.0,-0.52666664,-0.72
03-28,2005.0,3.0,28.0,-0.48666668,-1.44
