time2,year,month,day,winds_u,winds_v
01-01,2006.5,1.0,1.0,-5.4520364,-0.029679466
01-02,2006.5,1.0,2.0,-4.9106517,0.3197136
01-03,2006.5,1.0,3.0,-4.7423825,0.2964973
01-04,2006.5,1.0,4.0,-4.9591956,-0.19993982
01-05,2006.5,1.0,5.0,-5.0545573,0.08978319
01-06,2006.5,1.0,6.0,-5.205296,-0.23112558
01-07,2006.5,1.0,7.0,-5.6535625,0.055137813
01-08,2006.5,1.0,8.0,-5.681856,0.098231435
01-09,2006.5,1.0,9.0,-5.8350983,0.109724544
01-10,2006.5,1.0,10.0,-5.47872,0.28184193
01-11,2006.5,1.0,11.0,-4.956174,0.22555853
01-12,2006.5,1.0,12.0,-5.2953153,-0.34037086
01-13,2006.5,1.0,13.0,-5.622152,-0.5149591
01-14,2006.5,1.0,14.0,-5.673122,0.13906354
01-15,2006.5,1.0,15.0,-5.5924873,-0.061973464
01-16,2006.5,1.0,16.0,-5.6977715,-0.08705007
01-17,2006.5,1.0,17.0,-5.3896604,-0.4459998
01-18,2006.5,1.0,18.0,-5.1269693,-0.3616395
01-19,2006.5,1.0,19.0,-5.022504,-0.20924401
01-20,2006.5,1.0,20.0,-5.0725136,-0.13650176
01-21,2006.5,1.0,21.0,-4.859565,-0.42627287
01-22,2006.5,1.0,22.0,-4.9020348,-0.9293229
01-23,2006.5,1.0,23.0,-5.146895,-0.72389764
01-24,2006.5,1.0,24.0,-5.4728937,-0.6171893
01-25,2006.5,1.0,25.0,-5.430088,-1.1188226
01-26,2006.5,1.0,26.0,-5.773704,-0.4365498
01-27,2006.5,1.0,27.0,-5.7589045,-0.029671283
01-28,2006.5,1.0,28.0,-5.793845,-0.66689545
01-29,2006.5,1.0,29.0,-5.885248,-0.80492437
01-30,2006.5,1.0,30.0,-6.071697,-0.5822307
01-31,2006.5,1.0,31.0,-5.873439,-0.7043715
02-01,2006.5,2.0,1.0,-5.7263474,-0.61218375
02-02,2006.5,2.0,2.0,-6.13951,0.064578146
02-03,2006.5,2.0,3.0,-6.4183874,-0.7897575
02-04,2006.5,2.0,4.0,-5.790078,-0.78871566
02-05,2006.5,2.0,5.0,-5.6192026,-0.8432921
02-06,2006.5,2.0,6.0,-5.796003,-1.2127024
02-07,2006.5,2.0,7.0,-6.122975,-0.8064276
02-08,2006.5,2.0,8.0,-5.516007,-0.63472676
02-09,2006.5,2.0,9.0,-5.2579937,-0.8392218
02-10,2006.5,2.0,10.0,-5.298747,-1.008177
02-11,2006.5,2.0,11.0,-5.4679775,-0.45347294
02-12,2006.5,2.0,12.0,-4.90366,-0.98004186
02-13,2006.5,2.0,13.0,-4.841264,-1.1067007
02-14,2006.5,2.0,14.0,-4.8279877,-0.71965474
02-15,2006.5,2.0,15.0,-4.6378436,-0.87961924
02-16,2006.5,2.0,16.0,-5.1319804,-0.40795392
02-17,2006.5,2.0,17.0,-5.8379636,-0.55519354
02-18,2006.5,2.0,18.0,-5.692336,-1.0023763
