time2,year,month,day,winds_u,winds_v
01-01,2006.5,1.0,1.0,-0.087420076,-1.645066
01-02,2006.5,1.0,2.0,-0.013155049,-1.8723671
01-03,2006.5,1.0,3.0,-0.5120749,-2.2907407
01-04,2006.5,1.0,4.0,-0.15013923,-1.8958149
01-05,2006.5,1.0,5.0,0.13321677,-1.6217514
01-06,2006.5,1.0,6.0,-0.32306793,-2.1422532
01-07,2006.5,1.0,7.0,-0.2815957,-2.256879
01-08,2006.5,1.0,8.0,0.018782236,-2.0073717
01-09,2006.5,1.0,9.0,0.102410324,-2.1302829
01-10,2006.5,1.0,10.0,0.44253892,-2.0959718
01-11,2006.5,1.0,11.0,0.7740292,-1.9991188
01-12,2006.5,1.0,12.0,0.72030115,-2.1220906
01-13,2006.5,1.0,13.0,-0.010563514,-2.622447
01-14,2006.5,1.0,14.0,0.14465566,-2.4958644
01-15,2006.5,1.0,15.0,0.7743298,-2.4393802
01-16,2006.5,1.0,16.0,0.019481454,-2.0581074
01-17,2006.5,1.0,17.0,0.014239674,-1.907335
01-18,2006.5,1.0,18.0,-0.28246865,-1.9942449
01-19,2006.5,1.0,19.0,0.19788858,-2.4125066
01-20,2006.5,1.0,20.0,0.020199526,-2.2673643
01-21,2006.5,1.0,21.0,0.8442468,-2.7237115
01-22,2006.5,1.0,22.0,0.6918579,-2.3465602
01-23,2006.5,1.0,23.0,0.6853223,-2.2567222
01-24,2006.5,1.0,24.0,0.54453355,-1.7801085
01-25,2006.5,1.0,25.0,0.55762076,-2.7984545
01-26,2006.5,1.0,26.0,0.2584474,-3.2714295
01-27,2006.5,1.0,27.0,-0.24771708,-2.4249818
01-28,2006.5,1.0,28.0,-0.11199943,-1.8948909
01-29,2006.5,1.0,29.0,-0.33631873,-2.5757499
01-30,2006.5,1.0,30.0,0.02440976,-1.9318161
01-31,2006.5,1.0,31.0,-0.09503703,-2.3949687
02-01,2006.5,2.0,1.0,-0.26226354,-2.696476
02-02,2006.5,2.0,2.0,-0.24336615,-2.6423814
02-03,2006.5,2.0,3.0,-0.7290963,-1.884762
02-04,2006.5,2.0,4.0,-1.04514,-1.9248414
02-05,2006.5,2.0,5.0,-1.3726164,-2.318507
02-06,2006.5,2.0,6.0,-0.45102534,-2.683766
02-07,2006.5,2.0,7.0,0.13595673,-2.649097
02-08,2006.5,2.0,8.0,0.2564727,-2.438012
02-09,2006.5,2.0,9.0,-0.064040326,-2.262994
02-10,2006.5,2.0,10.0,0.16440907,-2.3432527
02-11,2006.5,2.0,11.0,-0.1626935,-1.8907573
02-12,2006.5,2.0,12.0,0.46481076,-1.9880981
02-13,2006.5,2.0,13.0,1.132369,-1.6636161
02-14,2006.5,2.0,14.0,1.20086,-1.8320175
02-15,2006.5,2.0,15.0,1.4779769,-2.1244373
02-16,2006.5,2.0,16.0,1.5330282,-2.753126
02-17,2006.5,2.0,17.0,1.1882906,-2.93133
02-18,2006.5,2.0,18.0,-0.10301128,-2.7974253
02-19,2006.5,2.0,19.0,-0.7441249,-3.244616
02-20,2006.5,2.0,20.0,-1.2077534,-2.5740232
02-21,2006.5,2.0,21.0,-1.5643945,-1.6768037
02-22,2006.5,2.0,22.0,-1.485364,-1.6290076
02-23,2006.5,2.0,23.0,-0.89391136,-2.373026
02-24,2006.5,2.0,24.0,-0.8460321,-2.071653
02-25,2006.5,2.0,25.0,-0.14119877,-1.0531601
02-26,2006.5,2.0,26.0,-0.45640585,-1.4985355
02-27,2006.5,2.0,27.0,0.4189846,-0.8709529
02-28,2006.5,2.0,28.0,-0.03073479,-1.4224657
03-01,2006.5,3.0,1.0,-0.38726592,-2.2460196
03-02,2006.5,3.0,2.0,-0.09957069,-2.5741737
03-03,2006.5,3.0,3.0,-0.048654266,-1.8641343
03-04,2006.5,3.0,4.0,-0.3516432,-2.240362
03-05,2006.5,3.0,5.0,0.03137256,-2.2131212
03-06,2006.5,3.0,6.0,0.004505007,-2.296975
03-07,2006.5,3.0,7.0,0.83259535,-2.5371678
03-08,2006.5,3.0,8.0,-0.1899832,-1.9429033
03-09,2006.5,3.0,9.0,-0.7608943,-1.4857262
03-10,2006.5,3.0,10.0,-0.6890252,-1.560296
03-11,2006.5,3.0,11.0,-0.8506967,-1.5514765
03-12,2006.5,3.0,12.0,-0.6266157,-1.6243556
03-13,2006.5,3.0,13.0,-0.8008345,-1.8530755
03-14,2006.5,3.0,14.0,-0.5122699,-1.7233238
03-15,2006.5,3.0,15.0,-0.062031444,-1.7494413
03-16,2006.5,3.0,16.0,-0.595718,-1.6501387
03-17,2006.5,3.0,17.0,-0.41757068,-1.2716362
03-18,2006.5,3.0,18.0,-0.8550133,-1.0950798
03-19,2006.5,3.0,19.0,-1.1439682,-0.71345377
03-20,2006.5,3.0,20.0,-0.47020033,-0.83473223
03-21,2006.5,3.0,21.0,-0.270102,-1.7391742
03-22,2006.5,3.0,22.0,-0.9754246,-2.3764417
03-23,2006.5,3.0,23.0,-1.7553916,-1.2758555
03-24,2006.5,3.0,24.0,-1.4094658,-0.8551499
03-25,2006.5,3.0,25.0,-1.2125509,-0.9658978
03-26,2006.5,3.0,26.0,-2.0107796,-0.7115792
03-27,2006.5,3.0,27.0,-2.640178,-0.5934476
03-28,2006.5,3.0,28.0,-2.3832798,-0.6689629
03-29,2006.5,3.0,29.0,-1.9645448,-0.82823133
03-30,2006.5,3.0,30.0,-2.1244426,-0.48488396
03-31,2006.5,3.0,31.0,-2.971983,-0.24244566
04-01,2006.5,4.0,1.0,-2.907314,-0.8957788
04-02,2006.5,4.0,2.0,-2.8927717,-0.86694396
04-03,2006.5,4.0,3.0,-2.4119413,-0.9131417
04-04,2006.5,4.0,4.0,-2.192344,-1.1664554
04-05,2006.5,4.0,5.0,-1.9509298,-1.4308205
04-06,2006.5,4.0,6.0,-2.0797672,-1.1724988
04-07,2006.5,4.0,7.0,-2.6080635,0.04033219
04-08,2006.5,4.0,8.0,-2.2460144,-0.20690447
04-09,2006.5,4.0,9.0,-2.6457255,-0.47898585
04-10,2006.5,4.0,10.0,-2.1046293,-0.9097607
04-11,2006.5,4.0,11.0,-2.0485735,-0.72202545
04-12,2006.5,4.0,12.0,-2.4079242,-0.67736053
04-13,2006.5,4.0,13.0,-2.1192982,-1.1269974
04-14,2006.5,4.0,14.0,-2.0168936,-1.3480144
04-15,2006.5,4.0,15.0,-1.109097,-1.550952
04-16,2006.5,4.0,16.0,-2.087176,-1.017192
04-17,2006.5,4.0,17.0,-2.0248008,-0.89645445
04-18,2006.5,4.0,18.0,-2.219405,-1.2048322
04-19,2006.5,4.0,19.0,-1.8215948,-0.74609476
04-20,2006.5,4.0,20.0,-2.3333156,-0.83865416
04-21,2006.5,4.0,21.0,-2.134762,-0.75530195
04-22,2006.5,4.0,22.0,-2.2106323,-0.7681873
04-23,2006.5,4.0,23.0,-1.9324392,-0.46288633
04-24,2006.5,4.0,24.0,-1.9871669,-0.6538954
04-25,2006.5,4.0,25.0,-2.221442,-0.85788214
04-26,2006.5,4.0,26.0,-3.1065078,-0.522599
04-27,2006.5,4.0,27.0,-2.9618595,-0.79457086
04-28,2006.5,4.0,28.0,-2.985444,-0.02324895
04-29,2006.5,4.0,29.0,-3.7727737,-0.27552837
04-30,2006.5,4.0,30.0,-3.8066874,-0.13131985
05-01,2006.5,5.0,1.0,-3.4816282,-0.94886315
05-02,2006.5,5.0,2.0,-3.480533,-0.0700831
05-03,2006.5,5.0,3.0,-3.552537,0.23454767
05-04,2006.5,5.0,4.0,-3.930228,0.00627522
05-05,2006.5,5.0,5.0,-3.5442305,0.057002936
05-06,2006.5,5.0,6.0,-2.5609376,-0.394234
05-07,2006.5,5.0,7.0,-2.727444,-0.4067403
05-08,2006.5,5.0,8.0,-3.086922,-0.4161977
05-09,2006.5,5.0,9.0,-3.1383715,-0.18686087
05-10,2006.5,5.0,10.0,-3.5882246,0.038294487
05-11,2006.5,5.0,11.0,-3.4838195,-0.07447103
05-12,2006.5,5.0,12.0,-3.2244825,-0.59664017
05-13,2006.5,5.0,13.0,-2.5586932,0.046499986
05-14,2006.5,5.0,14.0,-3.5153587,0.5476491
05-15,2006.5,5.0,15.0,-3.6011112,-0.49777672
05-16,2006.5,5.0,16.0,-2.7991629,-0.44395688
05-17,2006.5,5.0,17.0,-3.0367148,0.49502861
05-18,2006.5,5.0,18.0,-3.0827296,0.2271341
05-19,2006.5,5.0,19.0,-3.0400004,-0.19503295
05-20,2006.5,5.0,20.0,-2.1579485,-0.32051042
05-21,2006.5,5.0,21.0,-1.887115,-0.16747108
05-22,2006.5,5.0,22.0,-2.0402226,-0.0032177302
05-23,2006.5,5.0,23.0,-3.073653,-0.28194076
05-24,2006.5,5.0,24.0,-3.5636308,0.10624752
05-25,2006.5,5.0,25.0,-3.663851,0.06818022
05-26,2006.5,5.0,26.0,-2.2338498,0.57934815
05-27,2006.5,5.0,27.0,-3.2435486,0.39374962
05-28,2006.5,5.0,28.0,-3.3633335,0.14306179
05-29,2006.5,5.0,29.0,-3.352153,0.59077334
05-30,2006.5,5.0,30.0,-2.5825098,0.046080362
05-31,2006.5,5.0,31.0,-3.1970754,0.73778254
06-01,2006.5,6.0,1.0,-3.7307582,-0.10768316
06-02,2006.5,6.0,2.0,-3.1650584,-0.24892917
06-03,2006.5,6.0,3.0,-4.163081,0.28705063
06-04,2006.5,6.0,4.0,-4.3377404,0.35573444
06-05,2006.5,6.0,5.0,-4.20796,0.35148007
06-06,2006.5,6.0,6.0,-4.363981,0.26334023
06-07,2006.5,6.0,7.0,-4.651126,0.4947432
