month,count,sum,mean
1,31,-0.36040897200000005,-0.011626095870967744
2,28,-0.48149226487600005,-0.017196152317000002
3,31,-0.520396492,-0.016786983612903227
4,30,-0.9665295584560001,-0.032217651948533335
5,31,-0.931784486724,-0.03005756408787097
6,30,-1.064047723872,-0.0354682574624
7,30,-1.255029181364,-0.04183430604546667
8,31,-1.139242923812,-0.03674977173587097
9,30,-1.269471138488,-0.042315704616266665
10,31,-1.238512167564,-0.03995200540529033
11,28,-1.401289803452,-0.050046064409
12,31,-1.9977686652,-0.06444415049032258
