month,count,sum,mean
1,31,-0.39711529305073945,-0.01281017074357224
2,28,-0.7798559088823575,-0.02785199674579848
3,31,-1.1065421622816238,-0.03569490846069754
4,30,-0.3674426190618439,-0.012248087302061462
5,31,-0.6471463565222207,-0.020875688920071637
6,30,-0.22542812994126732,-0.007514270998042244
7,31,-0.4191414551803663,-0.01352069210259246
8,30,-0.4044886441511294,-0.013482954805037646
9,30,-0.8962768200765331,-0.029875894002551102
10,31,-0.6685195473020501,-0.021565146687162907
11,30,-0.36265531076066276,-0.01208851035868876
12,31,0.05170372085466884,0.0016678619630538334
