month,count,sum,mean
1,31,0.8507099563318224,0.02744225665586524
2,28,0.11482243577553713,0.004100801277697755
3,31,-0.22171541086559052,-0.0071521100279222745
4,30,-0.42150669856716805,-0.014050223285572268
5,31,-0.8039356516902835,-0.025933408119041403
6,30,-0.7366364104444006,-0.024554547014813355
7,31,-0.8149932596129912,-0.026290105148806166
8,31,-1.1062279687379006,-0.03568477318509357
9,30,-1.2657121462620788,-0.042190404875402626
10,31,-0.9290726869279857,-0.029970086675096312
11,30,-0.8740416014070277,-0.029134720046900923
12,31,-0.6652068994474833,-0.021458287078951074
