month,count,sum,mean
1,31,-1.151024551432,-0.03712982423974194
2,28,-0.971785107552,-0.034706610984
3,31,-0.8382803116240001,-0.027041300374967745
4,30,-1.331008296072,-0.0443669432024
5,31,-1.18990782414,-0.038384123359354844
6,30,-1.023178775836,-0.03410595919453333
7,31,-0.676796535072,-0.021832146292645162
8,29,-0.38882159971200003,-0.013407641369379312
9,30,-0.547408199492,-0.018246939983066666
10,31,-0.46915243757200004,-0.015133949599096775
11,30,-0.689503670268,-0.0229834556756
12,31,-1.010976070888,-0.032612131318967744
