month,wsu,wsv
1,-1.197715301786567,-0.007718048565069236
2,-1.1113302001684275,-0.021473737756976894
3,-1.2363194168801008,-0.008473254004497496
4,-1.0349357238883152,-0.0293448747055665
5,-0.7230597784180749,-0.0018562309240871344
6,-0.5770579827776341,0.008612275089433916
7,-0.48192988213795734,0.016242957287410237
8,-0.4491563557038025,0.045272677583100086
9,-0.6280880572726985,0.053814177659097955
10,-0.5121163869157481,0.07397755416911063
11,-0.610627268169869,0.059384199706274954
12,-0.8365099365845567,0.011476726777990522
