month,wsu,wsv
1,-1.0086647823000865,-0.27446123563108327
2,-0.9394202317464131,-0.2761642346067232
3,-1.021608298626697,-0.16070035904433785
4,-0.933934047759247,-0.1064483316276733
5,-0.7608119775754242,-0.05118677279108819
6,-0.45622774715428543,-0.027545787320130834
7,-0.09540006596218638,-0.0051870137024837264
8,-0.021911261476512883,0.004857738611543088
9,0.002533981653300339,0.012118174240462947
10,-0.031021495499265056,0.014066331499412185
11,-0.16465675869695215,0.003745660536011223
12,-0.6409522209616958,-0.11538045577583844
