month,wsu,wsv
1,0.17993179981363816,-0.13586351252392237
2,0.07326013357073766,-0.1572471337361125
3,0.01811078521291102,-0.12333127683785043
4,-0.06525284609914761,-0.050485999713596304
5,-0.14163284646324673,-0.005484491509501255
6,-0.34123781143037435,0.01520260365107232
7,-0.3821551054221505,0.023194551686469438
8,-0.29320146491271865,0.03542034550776808
9,-0.2772495665748162,0.010032280854708883
10,-0.13042837804550247,-0.006453702846518779
11,-0.06219243122280714,-0.021419802582289975
12,0.050653267073068706,-0.054734508814169046
