month,wsu,wsv
1,-0.09017931243693705,-0.3822127667368094
2,-0.1497592291394186,-0.292847462495444
3,-0.2913583240673905,-0.18691229417880614
4,-0.3937248135022176,-0.07554570772745556
5,-0.359461267330953,-0.03815461247911626
6,-0.6064039129811695,-0.010056743525433339
7,-0.8515164402109366,-0.0032059748936091965
8,-0.6714714762764511,-0.006914022488318169
9,-0.7172069584812486,-0.017187528297467353
10,-0.39052987381324,-0.05507601686374973
11,-0.360906771762883,-0.11105930070646465
12,-0.09855829068779137,-0.2239502480737219
