time,time2,year,month,day,winds_u,winds_v
1992-03-10,03-10,1992,3,10,4.6,4.5
1992-03-11,03-11,1992,3,11,7.5,5.0
1992-03-12,03-12,1992,3,12,3.0,1.9
1992-03-13,03-13,1992,3,13,5.2,5.8
1992-03-14,03-14,1992,3,14,-1.3,-0.6
1992-03-15,03-15,1992,3,15,-3.1,-3.6
1992-03-16,03-16,1992,3,16,-2.0,-4.7
1992-03-17,03-17,1992,3,17,-3.8,-3.7
1992-03-18,03-18,1992,3,18,-2.2,-6.1
1992-03-19,03-19,1992,3,19,-1.3,-3.6
1992-03-20,03-20,1992,3,20,1.3,-3.5
1992-03-21,03-21,1992,3,21,2.3,0.7
1992-03-22,03-22,1992,3,22,3.6,5.3
1992-03-23,03-23,1992,3,23,1.0,3.0
1992-03-24,03-24,1992,3,24,0.7,2.2
1992-03-25,03-25,1992,3,25,1.1,4.2
1992-03-26,03-26,1992,3,26,4.8,4.1
1992-03-27,03-27,1992,3,27,3.1,5.5
1992-03-28,03-28,1992,3,28,0.1,2.9
1992-03-29,03-29,1992,3,29,-3.4,-1.8
1992-03-30,03-30,1992,3,30,-3.1,-3.7
1992-03-31,03-31,1992,3,31,-2.4,-5.4
1992-04-01,04-01,1992,4,1,-2.0,-2.7
1992-04-02,04-02,1992,4,2,-2.7,-0.8
1992-04-03,04-03,1992,4,3,1.9,-0.6
1992-04-04,04-04,1992,4,4,1.2,1.5
1992-04-05,04-05,1992,4,5,0.5,1.5
1992-04-06,04-06,1992,4,6,0.1,-0.5
1992-04-07,04-07,1992,4,7,2.2,1.3
1992-04-08,04-08,1992,4,8,0.6,1.8
1992-04-09,04-09,1992,4,9,3.5,-1.4
1992-04-10,04-10,1992,4,10,1.2,-0.8
1992-04-11,04-11,1992,4,11,,
1992-04-12,04-12,1992,4,12,,
1992-04-13,04-13,1992,4,13,,
1992-04-14,04-14,1992,4,14,,
1992-04-15,04-15,1992,4,15,,
1992-04-16,04-16,1992,4,16,,
1992-04-17,04-17,1992,4,17,,
1992-04-18,04-18,1992,4,18,,
1992-04-19,04-19,1992,4,19,,
1992-04-20,04-20,1992,4,20,,
1992-04-21,04-21,1992,4,21,,
1992-04-22,04-22,1992,4,22,,
1992-04-23,04-23,1992,4,23,,
1992-04-24,04-24,1992,4,24,,
1992-04-25,04-25,1992,4,25,,
1992-04-26,04-26,1992,4,26,,
1992-04-27,04-27,1992,4,27,,
1992-04-28,04-28,1992,4,28,,
1992-04-29,04-29,1992,4,29,,
1992-04-30,04-30,1992,4,30,,
1992-05-01,05-01,1992,5,1,,
1992-05-02,05-02,1992,5,2,,
1992-05-03,05-03,1992,5,3,,
1992-05-04,05-04,1992,5,4,,
1992-05-05,05-05,1992,5,5,,
1992-05-06,05-06,1992,5,6,,
1992-05-07,05-07,1992,5,7,,
1992-05-08,05-08,1992,5,8,,
1992-05-09,05-09,1992,5,9,,
1992-05-10,05-10,1992,5,10,,
1992-05-11,05-11,1992,5,11,,
1992-05-12,05-12,1992,5,12,,
1992-05-13,05-13,1992,5,13,,
1992-05-14,05-14,1992,5,14,,
1992-05-15,05-15,1992,5,15,,
1992-05-16,05-16,1992,5,16,,
1992-05-17,05-17,1992,5,17,,
1992-05-18,05-18,1992,5,18,,
1992-05-19,05-19,1992,5,19,,
1992-05-20,05-20,1992,5,20,,
1992-05-21,05-21,1992,5,21,,
1992-05-22,05-22,1992,5,22,,
1992-05-23,05-23,1992,5,23,,
1992-05-24,05-24,1992,5,24,,
1992-05-25,05-25,1992,5,25,,
1992-05-26,05-26,1992,5,26,,
1992-05-27,05-27,1992,5,27,,
1992-05-28,05-28,1992,5,28,,
1992-05-29,05-29,1992,5,29,,
1992-05-30,05-30,1992,5,30,,
1992-05-31,05-31,1992,5,31,,
1992-06-01,06-01,1992,6,1,,
1992-06-02,06-02,1992,6,2,,
1992-06-03,06-03,1992,6,3,,
1992-06-04,06-04,1992,6,4,,
1992-06-05,06-05,1992,6,5,,
1992-06-06,06-06,1992,6,6,,
1992-06-07,06-07,1992,6,7,,
1992-06-08,06-08,1992,6,8,,
1992-06-09,06-09,1992,6,9,,
1992-06-10,06-10,1992,6,10,,
1992-06-11,06-11,1992,6,11,,
1992-06-12,06-12,1992,6,12,,
1992-06-13,06-13,1992,6,13,,
1992-06-14,06-14,1992,6,14,,
1992-06-15,06-15,1992,6,15,,
1992-06-16,06-16,1992,6,16,,
1992-06-17,06-17,1992,6,17,,
1992-06-18,06-18,1992,6,18,,
1992-06-19,06-19,1992,6,19,,
1992-06-20,06-20,1992,6,20,,
1992-06-21,06-21,1992,6,21,,
1992-06-22,06-22,1992,6,22,,
1992-06-23,06-23,1992,6,23,,
1992-06-24,06-24,1992,6,24,,
1992-06-25,06-25,1992,6,25,,
1992-06-26,06-26,1992,6,26,,
1992-06-27,06-27,1992,6,27,,
1992-06-28,06-28,1992,6,28,,
1992-06-29,06-29,1992,6,29,,
1992-06-30,06-30,1992,6,30,,
1992-07-01,07-01,1992,7,1,,
1992-07-02,07-02,1992,7,2,,
1992-07-03,07-03,1992,7,3,,
1992-07-04,07-04,1992,7,4,,
1992-07-05,07-05,1992,7,5,,
1992-07-06,07-06,1992,7,6,,
1992-07-07,07-07,1992,7,7,,
1992-07-08,07-08,1992,7,8,,
1992-07-09,07-09,1992,7,9,,
1992-07-10,07-10,1992,7,10,,
1992-07-11,07-11,1992,7,11,,
1992-07-12,07-12,1992,7,12,,
1992-07-13,07-13,1992,7,13,,
1992-07-14,07-14,1992,7,14,,
1992-07-15,07-15,1992,7,15,,
1992-07-16,07-16,1992,7,16,,
1992-07-17,07-17,1992,7,17,,
1992-07-18,07-18,1992,7,18,,
1992-07-19,07-19,1992,7,19,,
1992-07-20,07-20,1992,7,20,,
1992-07-21,07-21,1992,7,21,,
1992-07-22,07-22,1992,7,22,,
1992-07-23,07-23,1992,7,23,,
1992-07-24,07-24,1992,7,24,,
1992-07-25,07-25,1992,7,25,,
1992-07-26,07-26,1992,7,26,,
1992-07-27,07-27,1992,7,27,,
1992-07-28,07-28,1992,7,28,,
1992-07-29,07-29,1992,7,29,,
1992-07-30,07-30,1992,7,30,,
1992-07-31,07-31,1992,7,31,,
1992-08-01,08-01,1992,8,1,,
1992-08-02,08-02,1992,8,2,,
1992-08-03,08-03,1992,8,3,,
1992-08-04,08-04,1992,8,4,,
1992-08-05,08-05,1992,8,5,,
1992-08-06,08-06,1992,8,6,,
1992-08-07,08-07,1992,8,7,,
