time,time2,year,month,day,winds_u,winds_v
2017-01-01,01-01,2017,1,1,-1.8331296,3.8591285
2017-01-02,01-02,2017,1,2,-1.1831055,5.965676
2017-01-03,01-03,2017,1,3,-0.8451432,5.776858
2017-01-04,01-04,2017,1,4,-0.45965734,5.9653425
2017-01-05,01-05,2017,1,5,-5.796397,3.092257
2017-01-06,01-06,2017,1,6,-2.5992286,4.712805
2017-01-07,01-07,2017,1,7,-2.4920187,6.599312
2017-01-08,01-08,2017,1,8,-1.3703346,7.4047937
2017-01-09,01-09,2017,1,9,-7.5802984,1.3107785
2017-01-10,01-10,2017,1,10,-3.5268054,2.2569687
2017-01-11,01-11,2017,1,11,-0.76838106,6.052103
2017-01-12,01-12,2017,1,12,-5.4847975,1.1719182
2017-01-13,01-13,2017,1,13,-5.721847,1.9152002
2017-01-14,01-14,2017,1,14,-3.336343,7.0219216
2017-01-15,01-15,2017,1,15,-6.267894,4.380349
2017-01-16,01-16,2017,1,16,-4.7601466,7.5632186
2017-01-17,01-17,2017,1,17,-6.4558315,1.503768
2017-01-18,01-18,2017,1,18,-4.157446,6.454321
2017-01-19,01-19,2017,1,19,-2.9429762,5.8479238
2017-01-20,01-20,2017,1,20,-2.355079,7.6188087
2017-01-21,01-21,2017,1,21,-3.0642054,8.919369
2017-01-22,01-22,2017,1,22,-3.352713,8.533819
2017-01-23,01-23,2017,1,23,-2.9395356,7.937438
2017-01-24,01-24,2017,1,24,-1.4043849,8.206672
2017-01-25,01-25,2017,1,25,-3.150541,8.447659
2017-01-26,01-26,2017,1,26,-5.2863994,8.014386
2017-01-27,01-27,2017,1,27,-2.1565866,9.9858
2017-01-28,01-28,2017,1,28,-2.967299,7.637329
2017-01-29,01-29,2017,1,29,-1.5489348,9.34312
2017-01-30,01-30,2017,1,30,-3.3572233,8.566242
2017-01-31,01-31,2017,1,31,-3.3371792,5.9726524
2017-02-01,02-01,2017,2,1,-7.9111724,0.15543024
2017-02-02,02-02,2017,2,2,-1.9710902,7.3475385
2017-02-03,02-03,2017,2,3,-0.6670967,4.659126
2017-02-04,02-04,2017,2,4,-5.8950334,-0.5551188
2017-02-05,02-05,2017,2,5,-2.3489263,7.3719697
2017-02-06,02-06,2017,2,6,-0.17091168,5.431969
2017-02-07,02-07,2017,2,7,-5.0593543,2.5390391
2017-02-08,02-08,2017,2,8,0.5478398,8.148062
2017-02-09,02-09,2017,2,9,-2.7191978,0.41140828
2017-02-10,02-10,2017,2,10,-2.224822,6.0968213
2017-02-11,02-11,2017,2,11,-0.17935142,4.905519
2017-02-12,02-12,2017,2,12,-2.9838667,1.9049749
2017-02-13,02-13,2017,2,13,-1.5391774,1.5634972
2017-02-14,02-14,2017,2,14,1.1459789,4.015255
2017-02-15,02-15,2017,2,15,-1.0432086,-3.7122514
2017-02-16,02-16,2017,2,16,-5.197355,0.3407183
2017-02-17,02-17,2017,2,17,-2.654165,5.163118
2017-02-18,02-18,2017,2,18,-0.12540695,6.1273966
2017-02-19,02-19,2017,2,19,-1.8146318,-4.7778983
2017-02-20,02-20,2017,2,20,-5.2173657,1.8850894
2017-02-21,02-21,2017,2,21,0.16960062,3.144566
2017-02-22,02-22,2017,2,22,-2.0343451,-6.815244
2017-02-23,02-23,2017,2,23,-4.2916007,-5.315931
2017-02-24,02-24,2017,2,24,-2.2804768,5.423366
2017-02-25,02-25,2017,2,25,-0.99713475,0.68941444
2017-02-26,02-26,2017,2,26,-0.5869387,2.2900589
2017-02-27,02-27,2017,2,27,0.19505787,-2.2158813
2017-02-28,02-28,2017,2,28,-2.1812944,-2.313633
2017-03-01,03-01,2017,3,1,-1.3407881,1.8710939
2017-03-02,03-02,2017,3,2,3.3793495,-2.589989
2017-03-03,03-03,2017,3,3,-0.4374099,-5.6234097
2017-03-04,03-04,2017,3,4,2.4903502,-3.167199
2017-03-05,03-05,2017,3,5,2.7747571,-6.821752
2017-03-06,03-06,2017,3,6,2.1674953,-4.7278867
2017-03-07,03-07,2017,3,7,3.7107217,-4.8427057
2017-03-08,03-08,2017,3,8,4.2597637,-5.8514867
2017-03-09,03-09,2017,3,9,-0.71784824,-6.3626103
2017-03-10,03-10,2017,3,10,-3.1415644,2.1514292
2017-03-11,03-11,2017,3,11,5.6873293,-1.4364008
2017-03-12,03-12,2017,3,12,0.62446636,-4.4004426
2017-03-13,03-13,2017,3,13,-2.3278365,4.023512
2017-03-14,03-14,2017,3,14,3.045152,3.6266952
2017-03-15,03-15,2017,3,15,-0.2722328,1.3380419
2017-03-16,03-16,2017,3,16,-0.00028330553,1.1967651
2017-03-17,03-17,2017,3,17,-5.6759853,0.6567434
2017-03-18,03-18,2017,3,18,-2.2128227,-0.6070711
2017-03-19,03-19,2017,3,19,6.6945286,-3.6658056
2017-03-20,03-20,2017,3,20,4.30343,-3.3346922
2017-03-21,03-21,2017,3,21,-2.7883816,4.3746586
2017-03-22,03-22,2017,3,22,-2.7018793,6.5778246
2017-03-23,03-23,2017,3,23,-4.0446997,0.010391631
2017-03-24,03-24,2017,3,24,-5.8167005,3.4993358
2017-03-25,03-25,2017,3,25,-6.338696,1.1795644
2017-03-26,03-26,2017,3,26,-9.268167,0.12367156
2017-03-27,03-27,2017,3,27,-8.172549,-1.7466568
2017-03-28,03-28,2017,3,28,-7.6188912,-1.2306281
2017-03-29,03-29,2017,3,29,-6.6635537,-4.948317
2017-03-30,03-30,2017,3,30,-4.4533887,-3.4360445
2017-03-31,03-31,2017,3,31,-4.4743223,-1.4719071
