time,time2,year,month,day,winds_u,winds_v
2022-01-01,01-01,2022,1,1,4.2412777,1.7981145
2022-01-02,01-02,2022,1,2,4.563441,-1.1686393
2022-01-03,01-03,2022,1,3,6.7024765,-0.7127129
2022-01-04,01-04,2022,1,4,6.449433,-0.8649918
2022-01-05,01-05,2022,1,5,4.1588793,-1.8833622
2022-01-06,01-06,2022,1,6,6.0248666,-3.0472925
2022-01-07,01-07,2022,1,7,4.1133327,-4.7973137
2022-01-08,01-08,2022,1,8,6.0308175,-1.8272467
2022-01-09,01-09,2022,1,9,2.1930466,-3.342612
2022-01-10,01-10,2022,1,10,3.958171,-2.0617268
2022-01-11,01-11,2022,1,11,4.177475,-3.5446467
2022-01-12,01-12,2022,1,12,1.9397019,-4.0895967
2022-01-13,01-13,2022,1,13,-1.12941,-5.2266297
2022-01-14,01-14,2022,1,14,-0.101796135,-4.25242
2022-01-15,01-15,2022,1,15,1.5151826,-3.243143
2022-01-16,01-16,2022,1,16,2.349633,-1.5172573
2022-01-17,01-17,2022,1,17,0.10939208,-3.2542088
2022-01-18,01-18,2022,1,18,-0.30736953,-3.9901595
2022-01-19,01-19,2022,1,19,-1.0968262,-4.060897
2022-01-20,01-20,2022,1,20,-0.65545905,-4.533102
2022-01-21,01-21,2022,1,21,-0.002848695,-3.117005
2022-01-22,01-22,2022,1,22,-1.6526586,-4.334299
2022-01-23,01-23,2022,1,23,-1.3688811,-2.9054255
2022-01-24,01-24,2022,1,24,-0.95341206,-3.0319755
2022-01-25,01-25,2022,1,25,1.4942031,-1.0542423
2022-01-26,01-26,2022,1,26,-0.4392119,-3.680382
2022-01-27,01-27,2022,1,27,-0.310119,-4.9551806
2022-01-28,01-28,2022,1,28,0.6990034,-3.8602746
2022-01-29,01-29,2022,1,29,-2.4741523,-3.5387387
2022-01-30,01-30,2022,1,30,-3.1833563,-1.9905014
2022-01-31,01-31,2022,1,31,-3.4838996,0.9735882
2022-02-01,02-01,2022,2,1,0.014128984,-0.6204384
2022-02-02,02-02,2022,2,2,2.8113332,-1.4420252
2022-02-03,02-03,2022,2,3,-0.29581672,-0.7316913
2022-02-04,02-04,2022,2,4,-0.94043154,-1.5110574
2022-02-05,02-05,2022,2,5,-2.531641,-0.94945186
2022-02-06,02-06,2022,2,6,-1.6716936,-3.1714187
2022-02-07,02-07,2022,2,7,0.20852971,-4.8408012
2022-02-08,02-08,2022,2,8,0.64087653,-6.9242997
2022-02-09,02-09,2022,2,9,-0.6809946,-4.6118703
2022-02-10,02-10,2022,2,10,-2.899255,-4.104577
2022-02-11,02-11,2022,2,11,-4.7933292,-2.8597598
2022-02-12,02-12,2022,2,12,-2.7532816,1.0378774
2022-02-13,02-13,2022,2,13,-3.643677,-1.2462367
2022-02-14,02-14,2022,2,14,-1.0170299,-4.460516
2022-02-15,02-15,2022,2,15,-2.7032776,-3.0587978
2022-02-16,02-16,2022,2,16,-2.1400092,-0.7596447
2022-02-17,02-17,2022,2,17,-2.8179412,-1.9501354
2022-02-18,02-18,2022,2,18,-1.6787192,-2.9682562
2022-02-19,02-19,2022,2,19,-2.9009576,-1.9887401
2022-02-20,02-20,2022,2,20,-4.113313,-0.0020201895
2022-02-21,02-21,2022,2,21,-3.9488134,-0.8465025
2022-02-22,02-22,2022,2,22,-2.6255217,-3.1089125
2022-02-23,02-23,2022,2,23,-1.7436695,-4.0177913
2022-02-24,02-24,2022,2,24,-1.3317262,-5.61547
2022-02-25,02-25,2022,2,25,-2.2791343,-3.5706284
2022-02-26,02-26,2022,2,26,-2.5512147,-5.505009
2022-02-27,02-27,2022,2,27,-6.4182444,-2.792484
2022-02-28,02-28,2022,2,28,-3.4901981,-2.5787294
2022-03-01,03-01,2022,3,1,-3.8101735,-0.5069452
2022-03-02,03-02,2022,3,2,-2.3554225,-3.5253866
2022-03-03,03-03,2022,3,3,-1.9865383,-0.7243729
2022-03-04,03-04,2022,3,4,-4.907045,0.27867168
2022-03-05,03-05,2022,3,5,-4.944491,0.67589617
2022-03-06,03-06,2022,3,6,-4.7945137,-0.16184093
2022-03-07,03-07,2022,3,7,-4.675754,-3.6410868
2022-03-08,03-08,2022,3,8,-3.7671783,-3.60087
2022-03-09,03-09,2022,3,9,-1.8268625,-0.6055
2022-03-10,03-10,2022,3,10,0.13390812,-2.3847284
2022-03-11,03-11,2022,3,11,-0.14452365,-2.919171
2022-03-12,03-12,2022,3,12,-3.3352928,-1.2968597
2022-03-13,03-13,2022,3,13,-5.5046873,-2.1961823
2022-03-14,03-14,2022,3,14,-5.0297375,-4.270342
2022-03-15,03-15,2022,3,15,-5.680026,-4.5524964
2022-03-16,03-16,2022,3,16,-4.4391155,-3.0259583
2022-03-17,03-17,2022,3,17,-6.32374,-2.4873786
2022-03-18,03-18,2022,3,18,-6.3625526,-4.14987
2022-03-19,03-19,2022,3,19,-5.875798,-3.0020537
2022-03-20,03-20,2022,3,20,-6.075132,-2.3328094
2022-03-21,03-21,2022,3,21,-3.9379098,-3.0251276
2022-03-22,03-22,2022,3,22,-3.927387,-3.199522
2022-03-23,03-23,2022,3,23,-3.8562715,-3.5193138
2022-03-24,03-24,2022,3,24,-2.7023084,-2.2316844
2022-03-25,03-25,2022,3,25,-1.9470353,-2.222139
2022-03-26,03-26,2022,3,26,0.15669474,-3.4988036
2022-03-27,03-27,2022,3,27,0.6571337,-3.769364
2022-03-28,03-28,2022,3,28,0.36964148,-3.090819
2022-03-29,03-29,2022,3,29,-0.55363566,-3.4433374
2022-03-30,03-30,2022,3,30,-2.8500576,-3.6676962
2022-03-31,03-31,2022,3,31,-2.208542,-6.844426
2022-04-01,04-01,2022,4,1,-1.8971984,-3.9513452
2022-04-02,04-02,2022,4,2,-5.0009003,-0.5291506
2022-04-03,04-03,2022,4,3,-3.742204,-2.0932608
2022-04-04,04-04,2022,4,4,-0.53516245,-5.342465
2022-04-05,04-05,2022,4,5,-2.7736874,-5.160947
2022-04-06,04-06,2022,4,6,-4.810415,-2.02572
2022-04-07,04-07,2022,4,7,-5.8150373,-2.0587661
2022-04-08,04-08,2022,4,8,-5.38767,-2.5049276
2022-04-09,04-09,2022,4,9,-3.145804,-0.25433
2022-04-10,04-10,2022,4,10,-0.6403174,-0.36406356
2022-04-11,04-11,2022,4,11,-1.8514433,0.2954084
2022-04-12,04-12,2022,4,12,-5.1835437,0.9902388
2022-04-13,04-13,2022,4,13,-5.8490524,-0.5457256
2022-04-14,04-14,2022,4,14,-4.8400373,-2.6493604
2022-04-15,04-15,2022,4,15,-2.2565262,-2.6059532
2022-04-16,04-16,2022,4,16,-2.9228516,-2.6806967
2022-04-17,04-17,2022,4,17,-4.080974,-2.7417266
2022-04-18,04-18,2022,4,18,-4.568057,-1.0803828
2022-04-19,04-19,2022,4,19,-3.0841491,-1.973224
2022-04-20,04-20,2022,4,20,-2.2403703,-3.319024
2022-04-21,04-21,2022,4,21,-3.1203022,-5.18907
2022-04-22,04-22,2022,4,22,-4.6286488,-1.9319355
2022-04-23,04-23,2022,4,23,-5.79507,-0.1168332
2022-04-24,04-24,2022,4,24,-4.3326974,-1.7669685
2022-04-25,04-25,2022,4,25,-2.885184,-2.7055001
2022-04-26,04-26,2022,4,26,-3.6673813,-4.443863
2022-04-27,04-27,2022,4,27,-4.7268353,0.928675
2022-04-28,04-28,2022,4,28,-5.585906,-0.071846835
2022-04-29,04-29,2022,4,29,-3.8119273,-0.2443823
2022-04-30,04-30,2022,4,30,-2.8604062,-4.958877
2022-05-01,05-01,2022,5,1,-1.116196,-3.9074106
2022-05-02,05-02,2022,5,2,-3.6268928,-1.2448195
2022-05-03,05-03,2022,5,3,-3.0226555,-0.6931752
2022-05-04,05-04,2022,5,4,-1.6026115,-2.133957
2022-05-05,05-05,2022,5,5,-3.7528193,-1.3624637
2022-05-06,05-06,2022,5,6,-4.974875,-1.4296048
2022-05-07,05-07,2022,5,7,-3.521182,-2.7273173
2022-05-08,05-08,2022,5,8,-5.667195,-2.5914056
