salinity_sfile,temperature_sfile,pressure,doxy
35.130001,29.125999,2.12,187.208572
35.130001,29.125999,3.82,187.210754
35.130001,29.125999,5.92,187.233383
35.130001,29.129,7.92,187.14621
35.130001,29.132,9.92,187.188126
35.130001,29.131001,11.92,187.166
35.130001,29.132,13.92,187.107666
35.130001,29.132,15.92,187.050705
35.130001,29.128,17.82,186.803757
35.130001,29.108,19.92,186.533722
35.130001,29.104,22.02,186.529282
35.130001,29.098,23.92,186.352127
35.130001,29.094,25.92,186.369308
35.130001,29.098,27.92,186.239807
35.131001,29.083,29.92,185.963394
35.131001,29.079,31.92,185.878113
35.132,29.075001,33.919998,185.642136
35.132999,29.059999,35.919998,185.00386
35.136002,29.042,37.919998,184.477753
35.139999,29.02,39.919998,183.43074
35.150002,28.974001,41.919998,181.85611
35.155998,28.945999,43.919998,180.803589
35.160999,28.917999,45.919998,179.51683
35.167,28.889,47.919998,178.739212
35.169998,28.874001,49.919998,177.846436
35.183998,28.815001,51.919998,175.955383
35.192001,28.766001,53.919998,174.691132
35.195999,28.736,55.919998,173.710831
35.195,28.693001,57.919998,172.641479
35.199001,28.639999,59.919998,170.464188
35.213001,28.551001,61.919998,166.951019
35.238998,28.403999,63.919998,162.645828
35.264999,28.294001,65.919998,159.49556
35.273998,28.193001,67.919998,158.904129
35.301998,28.231001,69.919998,158.717041
35.290001,28.106001,71.919998,155.004028
35.224998,27.799999,73.919998,150.139954
35.187,27.566999,76.019997,149.002884
35.187,27.558001,77.919998,148.917358
35.187,27.549,79.919998,148.983032
35.206001,27.506001,81.919998,147.301544
35.196999,27.240999,83.919998,143.75
35.157001,26.889,85.919998,140.964935
35.143002,26.780001,87.919998,139.711243
35.136002,26.716999,89.919998,137.733627
35.123001,26.599001,91.919998,134.497116
35.109001,26.396999,93.919998,133.477219
35.110001,26.344999,95.919998,133.99614
35.112,26.323,97.919998,133.530746
35.117001,26.297001,99.919998,131.225418
35.110001,26.148001,101.919998,129.117249
35.085999,25.671,103.919998,129.433182
35.063,25.485001,105.82,130.230377
35.055,25.278,107.82,128.924164
35.069,24.941999,109.919998,127.68103
35.074001,24.929001,111.919998,126.214211
35.136002,24.947001,113.919998,124.597176
35.151001,24.908001,115.919998,124.29422
35.148998,24.76,118.019997,124.216133
35.174,24.753,120.019997,123.967453
35.16,24.650999,121.919998,
35.15163,24.595509,122.540001,124.420212
