salinity,temperature,pressure
33.294601,26.599001,1.0
33.2948,26.601999,1.96
33.2948,26.6,2.92
33.2952,26.601999,3.96
33.2952,26.601999,5.0
33.294601,26.603001,6.04
33.2948,26.603001,7.04
33.2948,26.603001,8.08
33.2948,26.603001,9.04
33.2948,26.603001,10.04
33.294601,26.603001,10.8
33.294998,26.603001,12.04
33.295399,26.603001,13.96
33.295601,26.603001,15.96
33.296001,26.603001,17.959999
33.297001,26.603001,19.959999
33.298401,26.601,22.040001
33.298801,26.6,24.040001
33.301601,26.596001,26.040001
33.305599,26.591,28.040001
33.3204,26.566,30.08
33.334599,26.539,32.040001
33.364799,26.475,34.240002
33.410801,26.360001,36.0
33.873402,24.013,38.48
34.055599,22.993999,39.400002
34.632,19.565001,41.959999
34.821201,18.341999,43.959999
34.927601,17.649,46.040001
34.955399,17.455,48.0
35.002602,17.163,50.0
35.037601,16.916,52.040001
35.062801,16.719999,54.0
35.075199,16.606001,56.0
35.0798,16.525,58.0
35.079201,16.476999,60.0
35.0802,16.448999,62.040001
35.079399,16.399,64.0
35.078201,16.309,65.959999
35.082001,16.25,67.959999
35.082199,16.219,69.959999
35.078999,16.193001,72.0
35.077801,16.146999,74.0
35.076599,16.052999,76.0
35.068401,15.96,78.0
35.067402,15.909,80.0
35.062199,15.849,81.959999
35.059799,15.826,84.0
35.066002,15.822,86.0
35.076401,15.807,88.0
35.073002,15.774,90.040001
35.069401,15.746,92.080002
35.065399,15.724,94.040001
35.064602,15.717,96.0
35.062401,15.703,98.0
35.061001,15.684,99.959999
35.060799,15.648,101.959999
35.062,15.614,104.0
35.058998,15.587,105.959999
35.057999,15.548,107.919998
35.0602,15.508,110.0
35.062401,15.502,112.080002
35.063599,15.489,114.040001
35.062599,15.437,116.040001
35.0606,15.386,117.959999
35.056198,15.339,119.959999
35.054001,15.295,122.0
35.050598,15.224,124.0
35.045601,15.178,126.040001
35.044601,15.148,128.0
35.041599,15.106,130.0
35.0396,15.094,132.039993
35.039799,15.093,134.039993
35.0396,15.092,136.080002
35.039001,15.089,138.0
35.039001,15.081,139.960007
35.036999,15.049,141.960007
35.034,15.007,143.960007
35.0284,14.968,146.0
35.024799,14.92,148.0
35.0182,14.881,150.039993
35.0154,14.83,152.039993
35.007599,14.766,154.080002
35.005402,14.759,156.0
35.005001,14.753,158.0
35.005199,14.736,160.0
35.001598,14.67,162.039993
34.995602,14.619,164.039993
34.991798,14.575,165.960007
34.988201,14.54,168.0
34.985802,14.493,170.0
34.9856,14.426,172.0
34.981602,14.386,174.039993
34.982201,14.339,176.0
34.976002,14.162,178.0
34.967999,14.05,180.0
34.9552,13.942,182.0
34.952801,13.93,184.0
34.951,13.91,186.0
34.950199,13.886,187.960007
34.946602,13.847,189.960007
34.944801,13.818,191.960007
34.941399,13.764,194.0
34.939201,13.661,196.039993
34.932999,13.575,198.0
34.9296,13.5,200.0
34.929401,13.434,202.039993
34.9282,13.373,203.960007
34.9244,13.294,205.960007
34.918201,13.191,207.960007
34.911201,13.152,210.0
34.91,13.042,212.0
34.9048,12.998,213.960007
34.899799,12.897,216.0
34.8932,12.795,218.0
34.8876,12.695,219.960007
34.880402,12.622,221.919998
34.876999,12.578,224.0
34.875801,12.554,226.0
34.875599,12.544,227.960007
34.8764,12.531,229.960007
34.876202,12.518,232.039993
34.876202,12.515,234.039993
34.877399,12.5,236.0
34.876801,12.451,238.039993
34.874802,12.419,240.080002
34.872601,12.406,242.039993
34.872601,12.404,244.039993
34.872799,12.385,245.919998
34.870201,12.363,247.919998
34.868198,12.334,250.0
34.865601,12.311,252.0
34.861599,12.296,254.039993
34.860401,12.289,256.040009
34.8592,12.281,257.959991
34.858398,12.269,259.959991
34.858601,12.23,262.040009
34.855999,12.186,264.0
34.854,12.137,265.959991
34.851799,12.109,267.959991
34.849998,12.092,269.920013
34.850399,12.067,271.959991
34.850399,11.996,274.040009
34.844799,11.919,276.040009
34.841999,11.876,278.0
34.838799,11.831,280.0
34.835999,11.814,282.040009
34.834999,11.806,283.959991
34.834,11.786,286.0
34.832802,11.748,288.0
34.8284,11.706,289.920013
34.826401,11.656,291.959991
34.823601,11.606,294.040009
34.8204,11.553,296.040009
34.817799,11.503,298.040009
34.813999,11.467,300.040009
34.813202,11.421,302.040009
34.808399,11.366,304.040009
34.806198,11.347,306.0
34.806198,11.312,308.0
34.8018,11.259,310.0
34.800598,11.22,312.040009
34.797401,11.209,313.959991
34.797401,11.196,315.920013
34.7962,11.145,317.959991
34.7924,11.129,320.040009
34.7948,11.036,322.040009
34.7868,11.01,323.959991
34.7868,11.003,325.959991
34.785801,10.994,328.0
34.784801,10.987,329.920013
34.784199,10.979,331.920013
34.784401,10.947,334.040009
34.7808,10.882,336.040009
34.776402,10.797,338.0
34.770599,10.763,340.0
34.768002,10.719,342.0
34.770599,10.585,344.0
34.757,10.42,346.040009
34.752602,10.337,348.040009
34.747601,10.282,350.040009
34.743999,10.264,352.040009
34.742001,10.253,354.079987
34.742802,10.228,356.040009
34.739399,10.092,358.0
34.734798,9.906,360.0
34.723801,9.874,362.040009
34.723999,9.86,364.0
34.7216,9.832,365.959991
34.7202,9.796,367.959991
34.718201,9.746,370.0
34.715599,9.704,371.959991
34.711601,9.674,374.0
34.712601,9.598,376.0
34.708801,9.532,378.040009
34.7038,9.478,380.040009
34.702,9.471,382.040009
34.701801,9.468,384.040009
34.701599,9.461,386.0
34.700401,9.445,387.959991
34.699799,9.415,390.040009
34.698399,9.389,392.0
34.695599,9.353,394.0
34.694,9.331,396.040009
34.693401,9.296,398.040009
34.689602,9.204,400.079987
34.687199,9.133,402.040009
34.683601,9.102,404.0
34.682598,9.096,406.040009
34.680801,9.058,408.040009
34.6782,9.021,410.0
34.675598,8.948,411.959991
34.6716,8.899,413.959991
34.6702,8.884,416.0
34.6688,8.874,417.959991
34.668201,8.855,419.959991
34.666801,8.761,421.959991
34.662399,8.731,424.0
34.6618,8.725,426.040009
34.6618,8.723,427.959991
34.6618,8.722,429.959991
34.661598,8.721,432.040009
34.6614,8.718,434.040009
34.661201,8.713,436.0
34.660999,8.708,438.0
34.660599,8.704,440.0
34.660198,8.698,442.0
34.659401,8.691,444.0
34.659,8.665,446.040009
34.6572,8.628,448.0
34.6562,8.549,450.0
34.651798,8.501,452.040009
34.652,8.475,454.040009
34.651001,8.462,456.0
34.6506,8.46,458.0
34.6506,8.455,459.959991
34.6502,8.444,461.920013
34.649799,8.433,464.0
34.6492,8.426,466.0
34.6488,8.42,467.959991
34.6488,8.417,470.0
34.648602,8.413,472.079987
34.648201,8.41,474.0
34.647598,8.407,476.0
34.646599,8.401,478.0
34.6464,8.377,479.959991
34.648201,8.282,482.0
34.643002,8.245,484.040009
34.6446,8.213,486.0
34.640202,8.167,487.959991
34.639999,8.146,490.0
34.6376,8.085,492.0
34.634399,8.046,494.040009
34.634399,7.999,496.0
34.630199,7.955,497.959991
34.628799,7.933,500.0
34.627998,7.927,501.959991
34.6278,7.918,504.0
34.627201,7.9,506.0
34.6264,7.877,508.0
34.625198,7.868,510.0
34.625599,7.858,511.920013
34.623798,7.826,513.960022
34.622799,7.813,515.960022
34.622398,7.808,517.960022
34.622398,7.803,519.960022
34.621601,7.799,521.960022
34.621601,7.795,524.0
34.620602,7.789,526.0
34.621201,7.774,528.080017
34.618801,7.756,530.039978
34.619598,7.74,532.039978
34.618599,7.725,534.0
34.618401,7.723,535.919983
34.618401,7.723,537.960022
34.618599,7.724,540.0
34.618801,7.717,542.0
34.618801,7.712,544.0
34.618801,7.709,545.919983
34.618801,7.707,547.960022
34.618401,7.706,550.039978
34.618198,7.703,552.039978
34.618198,7.688,554.0
34.618401,7.654,555.919983
34.617199,7.595,558.0
34.6134,7.567,560.080017
34.612598,7.558,562.039978
34.6124,7.552,564.039978
34.611801,7.55,566.0
34.612,7.549,568.0
34.612,7.547,570.0
34.611599,7.54,572.0
34.611599,7.534,573.960022
34.611198,7.531,575.919983
34.611198,7.53,577.919983
34.610802,7.529,580.039978
34.610802,7.527,582.119995
34.610199,7.523,584.039978
34.611401,7.498,586.0
34.6106,7.468,588.039978
34.6092,7.456,590.080017
34.6096,7.441,592.039978
34.609001,7.426,594.039978
34.6082,7.416,596.0
34.608002,7.412,597.919983
34.607399,7.406,599.960022
34.607201,7.399,601.960022
34.6064,7.393,604.0
34.6064,7.377,606.039978
34.605801,7.347,608.0
34.605202,7.312,609.960022
34.604198,7.291,611.960022
34.603401,7.274,614.0
34.602001,7.268,616.0
34.6022,7.247,617.960022
34.601002,7.226,620.0
34.600399,7.196,622.0
34.600201,7.152,624.0
34.597801,7.129,626.0
34.597,7.125,627.960022
34.596802,7.118,630.039978
34.596802,7.085,632.080017
34.5956,7.056,634.039978
34.594799,7.031,636.039978
34.594002,7.009,638.0
34.593601,6.987,640.0
34.592602,6.973,642.0
34.592201,6.957,644.0
34.591999,6.932,646.0
34.5914,6.9,648.039978
34.5896,6.878,650.0
34.589199,6.865,651.919983
34.5882,6.853,653.919983
34.5886,6.831,656.0
34.587399,6.813,658.039978
34.586399,6.798,659.960022
34.586201,6.787,662.0
34.587399,6.757,664.039978
34.584801,6.724,666.039978
34.584599,6.724,668.039978
34.5844,6.722,669.960022
34.5844,6.718,671.960022
34.583401,6.713,674.039978
34.583199,6.698,676.039978
34.583401,6.678,678.0
34.582401,6.641,679.960022
34.581799,6.593,681.960022
34.5812,6.547,683.960022
34.579201,6.513,686.0
34.580799,6.471,688.0
34.5788,6.441,690.0
34.577999,6.43,692.0
34.5784,6.416,694.039978
34.577801,6.401,696.039978
34.577801,6.388,698.0
34.576599,6.384,699.919983
34.576401,6.38,701.960022
34.579601,6.328,704.0
34.575802,6.28,705.919983
34.576,6.271,707.960022
34.576,6.247,710.0
34.575199,6.236,712.039978
34.575401,6.225,714.0
34.575199,6.215,715.960022
34.574799,6.21,718.0
34.574799,6.204,719.960022
34.574402,6.199,721.960022
34.574402,6.194,724.0
34.5742,6.187,726.080017
34.5756,6.147,728.039978
34.5732,6.128,730.039978
34.572601,6.128,732.039978
34.573399,6.117,734.039978
34.574001,6.083,736.039978
34.572399,6.066,738.0
34.571999,6.058,739.960022
34.571201,6.055,742.0
34.572201,6.032,744.039978
34.5728,5.981,746.0
34.5718,5.942,748.0
34.570999,5.908,749.960022
34.57,5.896,751.960022
34.57,5.882,754.0
34.570202,5.862,756.080017
34.569801,5.851,758.080017
34.569599,5.843,760.039978
34.57,5.829,761.960022
34.569199,5.808,763.919983
34.568001,5.787,765.960022
34.568802,5.759,768.0
34.567001,5.726,769.960022
34.5676,5.709,772.0
34.567001,5.675,774.039978
34.5662,5.669,776.039978
34.566399,5.663,778.0
34.5672,5.638,780.0
34.567001,5.623,781.960022
34.566799,5.618,783.960022
34.566799,5.616,786.0
34.566601,5.615,787.960022
34.566601,5.611,789.919983
34.567402,5.6,791.919983
34.566799,5.584,793.960022
34.567799,5.563,796.0
34.5662,5.552,797.960022
34.566002,5.551,799.919983
34.565601,5.55,801.960022
34.5672,5.534,804.0
34.567799,5.489,806.0
34.566399,5.47,807.960022
34.566601,5.464,809.960022
34.566601,5.459,812.039978
34.566399,5.457,814.039978
34.566799,5.454,816.0
34.567001,5.45,818.039978
34.567402,5.449,820.039978
34.568001,5.449,822.0
34.568401,5.45,823.919983
34.5686,5.45,825.960022
34.5686,5.451,828.0
34.5686,5.452,830.0
34.5686,5.451,832.039978
34.571602,5.426,833.960022
34.570999,5.362,836.0
34.568001,5.338,838.039978
34.5676,5.331,840.0
34.567799,5.317,842.0
34.566601,5.305,843.960022
34.566002,5.295,846.0
34.565399,5.288,848.080017
34.565399,5.281,850.0
34.564999,5.273,852.039978
34.565201,5.262,854.080017
34.564999,5.242,856.039978
34.5658,5.221,858.039978
34.565201,5.2,860.0
34.564999,5.19,862.0
34.5658,5.17,863.960022
34.565201,5.163,865.960022
34.565201,5.16,868.0
34.565201,5.155,870.119995
34.564999,5.154,872.119995
34.565201,5.151,874.0
34.5648,5.147,875.919983
34.5648,5.146,877.960022
34.564602,5.144,880.039978
34.5648,5.14,882.0
34.5648,5.135,884.0
34.564999,5.124,885.960022
34.564602,5.12,887.960022
34.564602,5.12,889.960022
34.564602,5.12,891.960022
34.564602,5.118,894.0
34.5648,5.116,896.0
34.564999,5.113,898.0
34.5648,5.109,900.0
34.5648,5.106,902.0
34.565201,5.1,904.0
34.565399,5.093,906.0
34.565201,5.088,907.960022
34.565201,5.082,910.0
34.564602,5.08,912.080017
34.564602,5.077,914.080017
34.564602,5.07,916.080017
34.564602,5.06,918.080017
34.5644,5.051,920.080017
34.565201,5.037,922.119995
34.565601,5.018,924.039978
34.565201,5.013,925.960022
34.564999,5.013,927.960022
34.564999,5.012,930.0
34.565201,5.01,932.039978
34.565601,5.008,934.039978
34.5658,5.003,935.960022
34.566002,4.997,937.919983
34.566399,4.991,939.960022
34.5662,4.985,941.960022
34.566399,4.981,944.0
34.5662,4.976,946.0
34.5658,4.974,948.0
34.5658,4.971,949.960022
34.567001,4.956,952.0
34.566399,4.946,954.039978
34.5662,4.935,956.039978
34.565399,4.919,958.039978
34.564602,4.91,960.0
34.566002,4.886,962.0
34.566799,4.855,964.0
34.566002,4.839,966.0
34.565601,4.834,968.0
34.565399,4.83,970.0
34.5672,4.804,972.0
34.5662,4.791,973.960022
34.566002,4.783,976.0
34.5658,4.776,978.080017
34.566399,4.763,980.080017
34.566799,4.748,982.039978
34.5672,4.725,984.039978
34.567001,4.712,986.0
34.567001,4.703,988.039978
34.566601,4.696,990.0
34.566799,4.689,991.960022
34.569199,4.66,993.960022
34.569199,4.638,995.960022
34.569199,4.633,998.0
34.569401,4.63,999.960022
34.569801,4.625,1002.0
34.570599,4.611,1004.0
34.571201,4.587,1006.0
34.570801,4.583,1008.039978
34.570801,4.578,1010.039978
34.570801,4.575,1011.960022
34.570801,4.57,1013.960022
34.570999,4.564,1016.0
34.572601,4.546,1018.0
34.573002,4.533,1020.039978
34.5728,4.527,1022.039978
34.573799,4.513,1024.0
34.5742,4.492,1026.0
34.574799,4.475,1027.959961
34.575001,4.461,1029.959961
34.576199,4.444,1032.0
34.576599,4.416,1034.0
34.576801,4.401,1036.0
34.577,4.39,1038.0
34.576801,4.388,1039.959961
34.576801,4.385,1041.959961
34.576801,4.379,1044.040039
34.5774,4.367,1046.0
34.576801,4.358,1047.959961
34.576801,4.351,1049.959961
34.579399,4.316,1051.920044
34.5788,4.292,1054.0
34.5784,4.289,1056.040039
34.5784,4.286,1058.0
34.5784,4.281,1060.040039
34.578602,4.278,1062.040039
34.5784,4.266,1063.959961
34.579601,4.247,1065.920044
34.580399,4.225,1067.959961
34.580399,4.209,1070.0
34.580601,4.201,1071.959961
34.580799,4.192,1073.959961
34.580799,4.188,1076.0
34.581001,4.182,1078.0
34.581001,4.179,1080.0
34.581001,4.178,1082.0
34.5816,4.172,1084.0
34.5816,4.168,1086.040039
34.581799,4.164,1088.040039
34.582001,4.162,1090.0
34.582001,4.16,1092.0
34.582001,4.158,1093.959961
34.582199,4.154,1095.959961
34.582199,4.152,1097.959961
34.582199,4.149,1099.959961
34.582401,4.144,1101.959961
34.5826,4.142,1103.959961
34.582401,4.141,1106.0
34.582401,4.139,1108.0
34.582401,4.136,1110.040039
34.5826,4.134,1112.0
34.582802,4.131,1113.959961
34.583,4.128,1116.0
34.583199,4.123,1118.0
34.583,4.121,1119.959961
34.583599,4.114,1122.040039
34.583599,4.108,1124.0
34.583401,4.106,1126.0
34.583199,4.104,1128.0
34.5844,4.091,1130.0
34.584599,4.072,1132.079956
34.584801,4.056,1134.040039
34.584599,4.047,1135.959961
34.584599,4.039,1137.959961
34.584202,4.032,1139.959961
34.584999,4.019,1141.959961
34.584801,4.011,1144.040039
34.586399,3.988,1146.0
