salinity,temperature,pressure
35.464001,28.355,4.35
35.464001,28.354,6.05
35.464001,28.358,8.05
35.464001,28.358,10.05
35.464001,28.358999,12.05
35.464001,28.358,14.05
35.464001,28.358999,16.049999
35.464001,28.358999,18.049999
35.464001,28.361,20.049999
35.464001,28.362,22.049999
35.464001,28.363001,24.049999
35.464001,28.363001,26.049999
35.464001,28.364,28.049999
35.464001,28.365,30.049999
35.464001,28.365999,32.049999
35.464001,28.365,34.049999
35.464001,28.365999,36.049999
35.464001,28.365999,38.149998
35.464001,28.365999,40.049999
35.465,28.365999,42.049999
35.466,28.365999,44.049999
35.466,28.367001,46.049999
35.466,28.367001,48.049999
35.466,28.368,50.049999
35.465,28.368,52.049999
35.465,28.368999,54.049999
35.465,28.368999,56.049999
35.465,28.370001,58.049999
35.465,28.370001,60.049999
35.466,28.371,62.049999
35.465,28.371,64.050003
35.465,28.372,66.050003
35.466,28.372,68.050003
35.470001,28.377001,70.050003
35.474998,28.382999,72.050003
35.477001,28.386,74.050003
35.474998,28.385,76.050003
35.519001,28.421,78.050003
35.548,28.414,80.050003
35.580002,28.288,82.050003
35.581001,28.216,84.050003
35.581001,28.209999,85.950005
35.582001,28.198,88.050003
35.581001,28.194,90.050003
35.587002,28.138,92.050003
35.601002,28.025,94.150002
35.612999,27.851999,95.850006
35.630001,27.392,97.950005
35.632999,27.108,100.050003
35.658001,26.764999,102.050003
35.696999,26.620001,104.050003
35.73,26.362,106.050003
35.812,25.431,108.150002
35.854,24.924999,109.950005
35.909,24.145,112.050003
35.917,23.857,114.050003
35.917,23.837999,116.050003
35.917999,23.812,118.050003
35.917999,23.805,120.050003
35.918999,23.785,122.050003
35.922001,23.688999,124.050003
35.943001,23.278,126.050003
35.950001,22.959,128.150009
35.955002,22.591999,130.050003
35.952,21.996,132.050003
35.925999,21.513,134.050003
35.880001,21.006001,136.050003
35.810001,20.341999,138.050003
35.758999,20.007,140.050003
35.709,19.464001,142.050003
35.645,18.933001,144.050003
35.625999,18.820999,146.050003
35.581001,18.308001,148.050003
35.521999,17.854,150.050003
35.477001,17.500999,152.050003
35.452,17.336,154.050003
35.417,16.98,156.050003
35.382,16.705,158.050003
35.359001,16.524,160.050003
35.330002,16.264999,162.050003
35.264,15.707,164.050003
35.213001,15.356,166.050003
35.169998,14.983,168.050003
35.122002,14.336,170.050003
35.084,13.947,172.050003
35.07,13.822,174.050003
35.056,13.695,176.050003
35.036999,13.526,178.050003
35.016998,13.407,180.050003
34.978001,12.958,182.050003
34.945999,12.745,184.050003
34.938,12.645,186.050003
34.931999,12.593,188.050003
34.929001,12.564,190.050003
34.925999,12.525,192.050003
34.922001,12.479,194.050003
34.916,12.39,196.050003
34.898998,12.224,198.050003
34.891998,12.164,200.050003
34.889,12.142,202.050003
34.886002,12.124,204.050003
34.884998,12.109,206.050003
34.881001,12.075,208.050003
34.877998,12.033,210.050003
34.875999,12.021,212.050003
34.875,12.019,214.050003
34.873001,11.986,216.050003
34.863998,11.889,218.050003
34.861,11.874,220.050003
34.858002,11.848,222.050003
34.855999,11.833,224.050003
