salinity,temperature,pressure
35.416,29.566,4.27
35.416,29.568001,6.07
35.416,29.569,8.07
35.416,29.57,10.07
35.416,29.57,12.07
35.416,29.569,14.07
35.416,29.570999,16.07
35.416,29.570999,18.07
35.416,29.568001,20.07
35.415001,29.561001,22.07
35.414001,29.551001,24.07
35.414001,29.549999,26.07
35.414001,29.562,28.07
35.414001,29.563999,30.07
35.414001,29.559999,31.969999
35.412998,29.545,34.07
35.412998,29.541,36.07
35.411999,29.528999,38.07
35.411999,29.518,40.07
35.411999,29.521999,42.07
35.410999,29.521,44.07
35.410999,29.496,46.07
35.410999,29.481001,48.07
35.41,29.478001,50.07
35.41,29.487,52.07
35.41,29.475,53.970001
35.409,29.438,55.970001
35.408001,29.426001,58.07
35.408001,29.419001,60.07
35.408001,29.417,62.07
35.408001,29.406,64.07
35.407001,29.396999,66.07
35.405998,29.379999,68.07
35.404999,29.356001,70.07
35.403,29.341,72.07
35.400002,29.291,74.07
35.396,29.257999,76.07
35.394001,29.228001,78.07
35.389999,29.184999,80.07
35.386002,29.139999,82.07
35.382999,29.106001,84.07
35.379002,29.073,86.07
35.375,29.032,88.07
35.370998,29.002001,90.07
35.367001,28.947001,92.07
35.358002,28.863001,94.07
35.348,28.77,96.07
35.338001,28.643999,98.07
35.361,28.377001,100.07
35.391998,28.295,102.470001
35.41,28.039,103.870003
35.419998,27.160999,105.970001
35.337002,26.177,108.07
35.271999,25.754,110.07
35.286999,25.621,112.07
35.332001,25.555,114.07
35.334999,25.488001,116.07
35.268002,25.238001,118.07
35.247002,25.188,120.169998
35.237999,24.884001,122.07
35.298,24.559,124.07
35.319,24.552,126.07
35.359001,24.445999,128.070007
35.359001,24.427999,130.070007
35.387001,24.437,132.070007
35.417999,24.424999,134.070007
35.539001,24.173,136.070007
35.577999,23.882999,138.070007
35.596001,23.763,140.070007
35.616001,23.570999,142.070007
35.623001,23.4,144.070007
35.625999,23.325001,146.070007
35.639999,23.296,148.070007
35.639999,23.277,150.070007
35.66,23.077,152.070007
35.673,22.872999,154.070007
35.639999,22.728001,156.070007
35.658001,22.507,158.070007
35.694,22.327999,160.070007
35.686001,22.194,162.070007
35.703999,21.945999,164.070007
35.73,21.806999,166.070007
35.698002,21.34,168.070007
35.652,20.995001,170.070007
35.615002,20.695,172.070007
35.603001,20.552999,174.070007
35.581001,20.268,176.070007
35.533001,19.875999,178.070007
35.476002,19.434999,180.070007
35.476002,19.292999,182.070007
35.537998,19.337999,184.070007
35.568001,19.16,186.070007
35.543999,18.951,188.070007
35.535999,18.884001,190.070007
35.527,18.657,192.070007
35.491001,18.332001,194.070007
35.459999,18.115999,196.070007
35.424,17.802,198.070007
35.382999,17.447001,200.070007
35.366001,17.238001,202.070007
35.342999,16.827,204.070007
35.352001,16.702999,206.070007
35.326,16.490999,208.070007
35.306999,16.292,210.070007
35.289001,16.083,212.070007
35.272999,15.995,214.070007
35.268002,15.97,216.070007
35.261002,15.876,218.070007
35.245998,15.726,220.070007
35.224998,15.524,222.070007
35.188,14.952,224.070007
35.118,14.447,226.070007
35.102001,14.368,228.070007
35.094002,14.332,230.070007
35.085999,14.274,232.070007
35.070999,14.154,234.070007
35.056,14.07,236.070007
35.047001,14.019,238.070007
35.035999,13.952,240.070007
35.021,13.881,242.070007
35.001999,13.73,244.070007
34.979,13.579,246.070007
34.952,13.315,248.070007
34.93,13.196,250.070007
34.922001,13.121,252.070007
34.921001,13.074,254.070007
34.918999,13.009,256.070007
34.917,12.892,258.070007
34.911999,12.792,260.070007
34.907001,12.724,262.070007
34.902,12.649,264.070007
34.889999,12.485,266.070007
34.882,12.348,268.170013
34.879002,12.272,270.070007
34.880001,12.245,272.070007
34.880001,12.21,274.070007
34.875999,12.145,276.070007
34.860001,11.929,278.070007
34.849998,11.808,279.970001
34.84,11.677,282.070007
34.827999,11.506,284.070007
34.813999,11.215,286.070007
34.805,11.139,288.070007
34.804001,11.135,290.070007
34.804001,11.134,292.070007
34.804001,11.133,294.070007
34.804001,11.132,296.070007
34.804001,11.13,298.070007
34.804001,11.129,300.070007
34.803001,11.123,302.070007
34.801998,11.101,304.070007
34.799999,11.076,306.070007
34.799,11.037,308.070007
34.793999,10.99,310.070007
34.792,10.973,312.070007
34.790001,10.948,314.070007
34.787998,10.935,316.070007
34.785,10.912,318.070007
34.784,10.79,320.070007
34.765999,10.584,322.070007
34.757999,10.429,324.070007
34.748001,10.348,326.070007
34.747002,10.338,328.070007
34.745998,10.321,330.070007
34.744999,10.299,332.070007
34.742001,10.258,334.070007
34.738998,10.235,336.070007
34.737,10.184,338.070007
34.733002,10.126,340.070007
34.730999,10.109,342.070007
34.730999,10.099,344.070007
34.73,10.091,346.070007
34.73,10.088,348.070007
34.729,10.082,350.070007
34.729,10.075,352.070007
34.728001,10.069,354.070007
34.728001,10.063,356.070007
34.727001,10.056,358.070007
34.727001,10.044,360.070007
34.726002,10.032,362.070007
34.723999,10.016,364.070007
34.722,9.991,366.070007
34.721001,9.964,368.070007
34.719002,9.926,370.070007
34.717999,9.907,372.070007
34.716999,9.896,374.070007
34.715,9.89,376.070007
34.715,9.855,378.070007
34.709,9.754,380.070007
34.705002,9.688,382.070007
34.702,9.629,384.070007
34.698002,9.561,386.070007
34.694,9.537,388.070007
34.693001,9.53,390.070007
34.693001,9.523,392.070007
34.692001,9.515,394.070007
34.691002,9.506,396.070007
34.688999,9.481,398.070007
34.687,9.425,400.070007
34.683998,9.347,402.070007
34.679001,9.289,404.070007
34.676998,9.245,406.070007
34.673,9.202,408.070007
34.669998,9.104,410.070007
34.662998,9.02,412.070007
34.659,8.983,414.070007
34.658001,8.956,416.070007
34.657001,8.928,418.070007
34.654999,8.902,420.070007
34.653999,8.883,422.070007
34.653,8.87,424.070007
34.653,8.866,426.070007
34.652,8.863,428.070007
34.650002,8.846,430.070007
34.646999,8.825,432.070007
34.643002,8.806,434.070007
34.640999,8.759,436.070007
34.633999,8.7,438.070007
34.631001,8.665,440.070007
34.627998,8.646,442.070007
34.632,8.654,444.070007
34.634998,8.66,446.070007
34.639,8.67,448.070007
34.641998,8.629,450.070007
34.639,8.573,452.070007
34.636002,8.515,454.070007
34.633999,8.486,456.070007
34.632999,8.47,458.070007
34.632999,8.462,460.070007
34.632,8.453,462.070007
34.631001,8.438,464.070007
34.630001,8.413,466.070007
34.627998,8.376,468.070007
34.625999,8.356,470.070007
34.625,8.318,472.070007
34.619999,8.246,474.170013
34.616001,8.208,476.170013
34.613998,8.201,478.070007
34.612999,8.187,480.070007
34.609001,8.14,482.070007
34.604,8.09,484.070007
34.601002,8.068,486.070007
34.598999,8.036,488.070007
34.596001,7.995,490.070007
34.592999,7.948,492.070007
34.591,7.916,494.070007
34.591,7.9,496.070007
34.59,7.894,498.070007
34.59,7.895,500.070007
34.589001,7.889,502.070007
34.588001,7.819,504.070007
34.580002,7.661,506.070007
34.577,7.601,508.070007
34.575001,7.551,510.070007
34.574001,7.535,512.070007
34.574001,7.509,514.070007
34.574001,7.486,516.070007
34.575001,7.482,518.070007
34.575001,7.482,520.070007
34.575001,7.48,522.070007
34.575001,7.476,524.070007
34.575001,7.472,526.070007
34.575001,7.47,528.070007
34.575001,7.466,530.070007
34.574001,7.456,532.070007
34.574001,7.381,534.070007
34.571999,7.286,536.070007
34.57,7.248,538.070007
34.569,7.234,540.070007
34.569,7.211,542.070007
34.569,7.178,544.070007
34.568001,7.165,546.070007
34.568001,7.161,548.070007
34.568001,7.145,550.070007
34.567001,7.131,552.070007
34.567001,7.121,554.070007
34.567001,7.102,556.070007
34.566002,7.091,558.070007
34.566002,7.086,560.070007
34.566002,7.081,562.070007
34.564999,7.075,564.070007
34.564999,7.068,566.070007
34.563999,7.063,568.070007
34.563999,7.05,570.070007
34.563,7.011,572.070007
34.561001,6.979,574.070007
34.560001,6.959,576.070007
34.558998,6.934,578.070007
34.557999,6.91,580.070007
34.556999,6.891,582.070007
34.556,6.874,584.070007
34.555,6.86,586.070007
34.554001,6.839,588.070007
34.553001,6.816,590.070007
34.554001,6.792,592.070007
34.553001,6.755,594.070007
34.553001,6.698,596.070007
34.553001,6.665,598.070007
34.551998,6.644,600.070007
34.551998,6.615,602.070007
34.553001,6.593,604.070007
34.553001,6.585,606.070007
34.553001,6.579,608.070007
34.553001,6.574,610.070007
34.553001,6.566,612.070007
34.551998,6.559,614.070007
34.551998,6.546,616.070007
34.550999,6.538,618.070007
34.549999,6.508,620.070007
34.547001,6.448,622.070007
34.544998,6.419,624.070007
34.544998,6.392,626.070007
34.542999,6.369,628.070007
34.542999,6.348,630.070007
34.542,6.326,632.070007
34.542,6.307,634.070007
34.542,6.304,636.070007
34.542,6.303,638.070007
34.542,6.29,640.070007
34.542,6.266,642.070007
34.542,6.237,644.070007
34.541,6.214,646.070007
34.541,6.196,648.070007
34.540001,6.164,650.070007
34.539001,6.135,652.070007
34.537998,6.113,654.070007
34.537998,6.104,656.070007
34.536999,6.095,658.070007
34.537998,6.078,660.070007
34.536999,6.062,662.070007
34.535999,6.053,664.070007
34.535999,6.027,666.070007
34.535999,6.007,668.070007
34.535,5.997,670.070007
34.535999,5.988,672.070007
34.535999,5.982,674.070007
34.535999,5.973,676.070007
34.535999,5.966,678.070007
34.535999,5.96,680.070007
34.535999,5.948,682.070007
34.536999,5.913,684.070007
34.536999,5.875,686.070007
34.535999,5.858,688.070007
34.535,5.854,690.070007
34.535999,5.837,692.070007
34.535999,5.835,694.070007
34.537998,5.83,696.070007
34.537998,5.822,698.070007
34.537998,5.814,700.070007
34.537998,5.811,702.070007
34.539001,5.811,704.070007
34.539001,5.81,706.070007
34.540001,5.809,708.070007
34.540001,5.808,710.070007
34.540001,5.803,712.070007
34.540001,5.794,714.070007
34.540001,5.787,716.070007
34.540001,5.777,718.070007
34.540001,5.767,720.070007
34.540001,5.757,722.070007
34.540001,5.754,724.070007
34.540001,5.748,726.070007
34.540001,5.742,728.070007
34.540001,5.726,730.070007
34.539001,5.706,732.070007
34.539001,5.688,734.070007
34.539001,5.675,736.070007
34.539001,5.658,738.070007
34.539001,5.649,740.070007
34.537998,5.621,742.070007
34.537998,5.58,744.070007
34.537998,5.559,746.070007
34.537998,5.548,748.070007
34.537998,5.543,750.070007
34.537998,5.538,752.070007
34.537998,5.526,754.070007
34.536999,5.504,756.070007
34.536999,5.472,758.070007
34.536999,5.442,760.070007
34.536999,5.418,762.070007
34.535999,5.415,764.070007
