salinity_sfile,temperature_sfile,pressure,doxy
35.252998,29.617001,4.49,
35.251999,29.59,5.99,
35.250118,29.56274,7.87,196.221481
35.25,29.561001,7.99,
35.25,29.546,9.99,
35.249107,29.53705,11.78,196.583282
35.249001,29.535999,11.99,
35.249001,29.521999,13.99,
35.25,29.52,15.99,
35.25,29.52,16.610001,196.303146
35.25,29.52,17.99,
35.25,29.52,19.99,
35.250809,29.518379,21.610001,195.943024
35.250999,29.518,21.99,
35.252998,29.516001,23.99,
35.255001,29.514999,25.99,
35.255329,29.514669,26.65,195.855896
35.256001,29.514,27.99,
35.257999,29.513,29.99,
35.257999,29.512094,31.799999,195.609909
35.257999,29.511999,31.99,
35.258999,29.511,33.990002,
35.263,29.507999,35.990002,
35.263401,29.5072,36.790001,195.169891
35.264,29.506001,37.990002,
35.265999,29.504,39.990002,
35.266979,29.503019,41.950001,194.654816
35.266998,29.503,41.990002,
35.269001,29.497,43.990002,
35.271999,29.489,45.990002,
35.275116,29.484106,46.880001,194.279617
35.278999,29.478001,47.990002,
35.282001,29.474001,49.990002,
35.287697,29.4664,51.890003,193.803787
35.287998,29.466,51.990002,
35.292,29.457001,53.990002,
35.298,29.441999,55.990002,
35.300678,29.432619,56.66,192.874008
35.306,29.414,57.990002,
35.319,29.371,59.990002,
35.323952,29.362751,61.640003,192.04953
35.325001,29.361,61.990002,
35.328999,29.354,63.990002,
35.339001,29.351999,65.989998,
35.338566,29.347649,66.860001,189.849747
35.338001,29.341999,67.989998,
35.341999,29.343,69.989998,
35.3447,29.344799,71.790001,188.517197
35.345001,29.344999,71.989998,
35.353001,29.351999,73.989998,
35.369999,29.378,75.989998,
35.374599,29.383289,76.449997,186.418381
35.389999,29.400999,77.989998,
35.401001,29.412001,79.989998,
35.404697,29.409225,81.839996,185.488281
35.404999,29.409,81.989998,
35.402,29.391001,84.089996,
35.402,29.385,85.989998,
35.404278,29.385454,86.900002,184.891357
35.407001,29.386,87.989998,
35.414001,29.391001,89.989998,
35.426453,29.401789,91.650002,182.913712
35.429001,29.403999,91.989998,
35.452999,29.433001,93.989998,
35.493999,29.417,96.389999,
35.501934,29.3876,96.949997,176.216278
35.511002,29.354,97.589996,
35.604,28.879,100.089996,
35.601002,28.820999,101.589996,
35.600121,28.814064,101.879997,163.285278
35.594002,28.766001,103.889999,
35.633999,28.618,105.989998,
35.693001,28.474001,107.989998,
35.699001,28.469,110.089996,
35.7173,28.2372,111.919998,148.511093
35.720001,28.202999,112.189995,
35.744999,27.914,113.689995,
35.764999,27.544001,115.989998,
35.771,27.514999,117.989998,
35.779999,27.445999,119.989998,
35.789459,27.360861,121.709999,143.702454
35.791,27.347,121.989998,
35.784,27.225,123.989998,
35.77,26.701,125.989998,
35.780998,26.514999,128.490005,
