salinity,temperature,pressure
35.320866,30.135,7.8
35.317871,30.115,8.4
35.315872,30.073999,9.4
35.313869,30.025999,10.7
35.31287,30.007999,12.5
35.311874,29.992001,14.4
35.311874,29.985001,16.4
35.310883,29.964001,18.4
35.310883,29.937,20.4
35.313881,29.91,22.4
35.319889,29.899,24.4
35.326889,29.888,26.4
35.323895,29.85,28.4
35.317894,29.812,30.5
35.311893,29.771,32.5
35.311901,29.75,34.5
35.314899,29.707001,36.5
35.312901,29.691999,38.5
35.309906,29.676001,40.400002
35.307907,29.653,42.5
35.304913,29.638,44.400002
35.305912,29.632999,46.299999
35.304913,29.631001,48.5
35.304916,29.629,50.400002
35.304916,29.611,52.5
35.301922,29.606001,54.5
35.297924,29.559999,56.400002
35.290928,29.459999,58.400002
35.266926,29.235001,60.5
35.215931,28.825001,62.5
35.137932,28.312,64.5
35.109932,28.166,66.5
35.095936,28.080999,68.300003
35.099934,28.044001,70.400002
35.111935,28.038,72.400002
35.131943,28.028999,74.400002
35.163944,28.014,76.400002
35.201942,27.993,78.400002
35.231945,27.934999,80.5
35.237949,27.832001,82.5
35.221954,27.75,84.5
35.187954,27.625,86.5
35.165955,27.457001,88.5
35.160957,27.254999,90.5
35.176956,27.242001,92.5
35.226963,27.266001,94.5
35.25296,27.228001,96.400002
35.244961,26.999001,98.400002
35.243965,26.899,100.199997
35.249966,26.893,102.199997
35.264969,26.847,104.400002
35.263973,26.687,106.699997
35.260975,26.587999,108.599998
35.254978,26.462,110.5
35.251976,26.365,112.5
35.246986,26.315001,114.400002
35.253986,26.280001,116.300003
35.26498,26.184,118.400002
35.262989,26.062,120.599998
35.251987,26.000999,122.5
35.247993,25.941,124.400002
35.248997,25.856001,126.400002
35.253998,25.711,128.399994
35.303997,25.156,130.399994
35.299995,24.813,132.699997
35.298996,24.601,134.5
35.299999,24.402,136.5
35.300999,24.299,138.399994
35.363003,24.084,140.399994
35.380009,23.812,142.600006
35.387001,23.514999,144.399994
35.428013,23.399,146.5
35.466011,23.410999,148.399994
35.486015,23.399,150.399994
35.510014,23.313,152.5
35.512016,23.152,154.399994
35.524017,22.924999,156.300003
35.511021,22.837999,158.399994
35.475014,22.580999,160.600006
35.441021,22.341,162.399994
35.391014,21.211,164.399994
35.29002,20.091999,166.600006
35.314018,19.764,168.699997
35.33802,19.659,170.699997
35.334023,19.525,172.5
35.313023,19.273001,174.300003
35.277027,19.076,176.5
35.179024,18.507,178.600006
35.11702,17.809999,180.600006
35.064018,16.959,182.5
34.961014,16.259001,184.399994
34.911018,15.967,186.399994
34.898022,15.959,188.5
34.894028,15.881,190.399994
34.887028,15.818,192.5
34.885025,15.772,194.5
34.879032,15.67,196.199997
34.872032,15.547,198.399994
34.861031,15.237,200.600006
34.832031,14.902,202.600006
34.811031,14.682,204.399994
34.776035,14.361,206.399994
34.766037,14.233,208.399994
34.745033,13.781,210.399994
34.714039,13.627,212.399994
34.707039,13.498,214.199997
34.691044,13.385,216.399994
34.708042,13.342,218.399994
34.71804,13.134,220.5
34.657047,12.494,222.699997
34.690041,12.454,224.399994
34.738049,12.269,226.5
34.787048,12.099,228.600006
34.82605,12.163,230.399994
34.851055,12.226,232.300003
34.859055,12.231,234.5
34.858055,12.231,236.600006
34.855057,12.198,238.300003
34.853058,12.158,240.399994
34.852066,12.134,242.600006
34.850063,12.111,244.300003
34.847069,12.098,246.5
34.849072,12.038,248.600006
34.843071,11.948,250.399994
34.839073,11.887,252.199997
34.827076,11.831,254.399994
34.818077,11.728,256.5
34.809078,11.575,258.200012
34.804081,11.531,260.399994
34.802082,11.449,262.600006
34.795078,11.294,264.399994
34.791088,11.241,266.100006
34.790089,11.211,268.399994
34.791092,11.21,270.600006
34.791096,11.199,272.5
34.790096,11.184,274.399994
34.790096,11.183,276.600006
34.7901,11.176,278.700012
34.7901,11.172,280.600006
34.790104,11.165,282.5
34.789104,11.161,284.299988
34.788109,11.149,286.200012
34.786114,11.135,288.5
34.784115,11.115,290.700012
34.783115,11.086,292.5
34.78212,11.056,294.5
34.781116,11.05,296.399994
34.78112,11.043,298.299988
34.780121,11.034,300.200012
34.779125,11.022,302.399994
34.779129,10.986,304.600006
34.776131,10.972,306.5
34.775135,10.955,308.399994
34.773132,10.928,310.299988
34.771137,10.896,312.299988
34.770138,10.887,314.200012
34.768143,10.883,316.200012
34.76614,10.876,318.200012
34.764145,10.846,320.399994
34.759144,10.814,322.700012
34.754154,10.787,324.700012
34.745152,10.745,326.600006
34.745155,10.726,328.5
34.748158,10.685,330.5
34.739159,10.614,332.399994
34.73616,10.6,334.200012
34.73616,10.591,336.399994
34.735165,10.58,338.799988
34.734169,10.574,340.600006
34.734169,10.573,342.5
34.734173,10.571,344.5
34.733173,10.564,346.399994
34.733181,10.564,348.399994
34.732178,10.544,350.299988
34.730183,10.536,352.299988
34.730183,10.527,354.5
34.728184,10.514,356.700012
34.728188,10.508,358.600006
34.727192,10.498,360.5
34.729191,10.5,362.399994
34.733196,10.493,364.399994
34.736195,10.51,366.399994
34.744198,10.458,368.200012
34.730198,10.278,370.200012
34.724201,10.208,372.200012
34.722202,10.159,374.5
34.717205,10.097,376.700012
34.717205,10.055,378.700012
34.712212,10.033,380.600006
34.712215,10.03,382.5
34.712215,10.025,384.399994
34.711212,10.018,386.399994
34.711216,10.008,388.299988
34.709221,9.985,390.5
34.706223,9.975,392.700012
34.704224,9.959,394.600006
34.704227,9.925,396.5
34.69923,9.89,398.399994
34.698235,9.829,400.399994
34.693233,9.781,402.299988
34.686237,9.695,404.200012
34.683235,9.672,406.399994
34.68124,9.627,408.700012
34.676239,9.604,410.600006
34.673244,9.555,412.5
34.669243,9.455,414.399994
34.667244,9.427,416.399994
34.667248,9.404,418.5
34.666248,9.361,420.700012
34.662251,9.324,422.700012
34.660252,9.282,424.600006
34.655258,9.257,426.600006
34.648258,9.223,428.5
34.645264,9.151,430.399994
34.636265,9.054,432.299988
34.633263,9.02,434.5
34.631268,8.979,436.600006
34.630272,8.945,438.5
34.629272,8.929,440.5
34.630276,8.924,442.299988
34.628273,8.919,444.5
34.627277,8.913,446.600006
34.625282,8.898,448.5
34.623283,8.896,450.399994
34.617283,8.852,452.200012
34.613285,8.744,454.299988
34.608288,8.56,456.5
34.603287,8.531,458.299988
34.602291,8.519,460.5
34.600288,8.461,462.399994
34.597294,8.421,464.299988
34.597298,8.383,466.399994
34.595299,8.369,468.299988
34.595303,8.368,470.5
34.595303,8.366,472.600006
34.595306,8.361,474.5
34.59631,8.348,476.299988
34.594311,8.337,478.5
34.593311,8.317,480.700012
34.592312,8.313,482.600006
34.591316,8.301,484.5
34.591316,8.273,486.600006
34.592319,8.24,488.799988
34.590324,8.212,490.799988
34.588326,8.176,492.700012
34.58733,8.162,494.700012
34.585327,8.146,496.5
34.584328,8.12,498.5
34.583332,8.06,500.0
34.582333,7.995,502.299988
34.581337,7.986,504.799988
34.58334,7.97,506.799988
34.583344,7.936,508.600006
