salinity_sfile,temperature_sfile,pressure,doxy
34.852001,24.836,4.54,
34.849998,24.652,6.04,
34.848171,24.447039,7.87,193.89003
34.848,24.427999,8.04,
34.855,24.396999,10.04,
34.85965,24.377625,11.59,192.846451
34.861,24.372,12.04,
34.865002,24.357,14.04,
34.868999,24.344999,16.040001,
34.87085,24.339449,16.780001,192.158539
34.874001,24.33,18.040001,
34.875999,24.323999,20.040001,
34.876778,24.320101,21.6,191.851395
34.876999,24.319,22.040001,
34.879002,24.313999,24.040001,
34.882999,24.306,26.040001,
34.883961,24.30504,26.52,191.603928
34.887001,24.302,28.040001,
34.891998,24.301001,30.040001,
34.896126,24.301001,31.690001,191.396011
34.896999,24.301001,32.040001,
34.897999,24.302,34.040001,
34.902,24.304001,36.040001,
34.90308,24.304541,36.400002,191.272842
34.908001,24.306999,38.040001,
34.917,24.312,40.040001,
34.921776,24.315821,41.950001,191.150833
34.922001,24.316,42.040001,
34.925999,24.32,44.040001,
34.929882,24.32291,45.98,190.989243
34.93,24.323,46.040001,
34.935001,24.326,48.040001,
34.937,24.327999,50.040001,
34.937237,24.328238,50.290001,190.905945
34.938999,24.33,52.139999,
34.941002,24.332001,54.040001,
34.945,24.336,56.040001,
34.946602,24.3396,56.84,190.8405
34.949001,24.344999,58.040001,
34.952999,24.354,59.940002,
34.960716,24.370972,61.560001,191.158676
34.963001,24.375999,62.040001,
34.974998,24.403999,64.040001,
34.990002,24.437,66.040001,
35.000443,24.459681,66.760002,191.893784
35.019001,24.5,68.040001,
35.036999,24.538,70.040001,
35.056438,24.580481,71.480003,192.027115
35.063999,24.597,72.040001,
35.089001,24.648001,74.040001,
35.106998,24.684999,76.040001,
35.117149,24.705589,76.620003,191.342834
35.141998,24.756001,78.040001,
35.199001,24.837,80.239998,
35.221867,24.825071,81.93,186.792816
35.222,24.825001,81.940002,
35.242001,24.681,83.940002,
35.248001,24.413,86.540001,
35.265202,24.356199,86.980003,171.338821
35.291,24.271,87.639999,
35.376999,23.827,90.139999,
35.388,22.988001,91.940002,
35.387512,22.965706,92.010002,149.008972
35.374001,22.351,93.940002,
35.363998,22.051001,96.040001,
35.36507,22.015644,96.489998,145.487442
35.368999,21.886,98.139999,
35.376999,21.875,100.139999,
35.379967,21.863142,101.820007,141.205185
35.380001,21.863001,101.840004,
