salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
35.367001,21.775,2.58,208.017471,-6.7,-89.44,2024-08-21
35.367001,21.773001,3.58,207.933548,-6.7,-89.44,2024-08-21
35.367001,21.775,5.98,207.932022,-6.7,-89.44,2024-08-21
35.367001,21.778,8.08,207.898178,-6.7,-89.44,2024-08-21
35.367001,21.778999,10.08,207.868652,-6.7,-89.44,2024-08-21
35.366001,21.780001,12.08,207.90152,-6.7,-89.44,2024-08-21
35.367001,21.780001,14.08,207.857559,-6.7,-89.44,2024-08-21
35.366001,21.778999,16.08,207.840652,-6.7,-89.44,2024-08-21
35.365002,21.775999,18.08,207.828995,-6.7,-89.44,2024-08-21
35.358002,21.777,20.08,207.699081,-6.7,-89.44,2024-08-21
35.367001,21.781,21.98,207.647995,-6.7,-89.44,2024-08-21
35.368,21.785999,24.08,207.635651,-6.7,-89.44,2024-08-21
35.367001,21.785999,26.08,207.550812,-6.7,-89.44,2024-08-21
35.367001,21.787001,28.08,207.493698,-6.7,-89.44,2024-08-21
35.367001,21.787001,30.08,207.482635,-6.7,-89.44,2024-08-21
35.367001,21.787001,32.080002,207.395905,-6.7,-89.44,2024-08-21
35.368,21.788,34.080002,207.285385,-6.7,-89.44,2024-08-21
35.368,21.789,36.080002,206.976791,-6.7,-89.44,2024-08-21
35.373001,21.791,38.080002,206.774033,-6.7,-89.44,2024-08-21
35.375999,21.792,40.080002,206.669067,-6.7,-89.44,2024-08-21
35.376999,21.792999,42.080002,206.544174,-6.7,-89.44,2024-08-21
35.376999,21.794001,44.080002,206.43457,-6.7,-89.44,2024-08-21
35.376999,21.794001,46.18,206.147629,-6.7,-89.44,2024-08-21
35.382999,21.797001,48.18,205.594574,-6.7,-89.44,2024-08-21
35.397999,21.794001,50.18,204.083878,-6.7,-89.44,2024-08-21
35.417,21.761,51.980003,,-6.7,-89.44,2024-08-21
35.417076,21.759733,52.000004,200.979538,-6.7,-89.44,2024-08-21
35.424999,21.628,54.080002,195.418961,-6.7,-89.44,2024-08-21
35.424,21.438999,55.980003,190.625732,-6.7,-89.44,2024-08-21
35.422001,21.392,58.080002,187.517044,-6.7,-89.44,2024-08-21
35.401001,21.115999,60.080002,168.835983,-6.7,-89.44,2024-08-21
35.269001,18.483,62.18,99.970276,-6.7,-89.44,2024-08-21
35.162998,16.804001,63.980003,58.766319,-6.7,-89.44,2024-08-21
35.133999,16.395,65.980003,48.085804,-6.7,-89.44,2024-08-21
35.105,15.845,67.980003,43.348732,-6.7,-89.44,2024-08-21
35.106998,15.627,70.080002,40.227451,-6.7,-89.44,2024-08-21
35.095001,15.486,72.080002,37.165138,-6.7,-89.44,2024-08-21
35.089001,15.419,74.080002,34.685097,-6.7,-89.44,2024-08-21
35.083,15.341,76.080002,32.140217,-6.7,-89.44,2024-08-21
35.073002,15.164,78.080002,30.043245,-6.7,-89.44,2024-08-21
35.061001,15.019,80.080002,28.873602,-6.7,-89.44,2024-08-21
35.054001,14.872,82.080002,28.417376,-6.7,-89.44,2024-08-21
35.049,14.772,84.080002,27.594624,-6.7,-89.44,2024-08-21
35.040001,14.658,86.080002,25.41147,-6.7,-89.44,2024-08-21
35.033001,14.571,88.080002,23.879581,-6.7,-89.44,2024-08-21
35.025002,14.498,90.080002,22.109554,-6.7,-89.44,2024-08-21
35.014,14.258,92.080002,20.346323,-6.7,-89.44,2024-08-21
35.002998,14.13,94.080002,20.263647,-6.7,-89.44,2024-08-21
34.999001,14.057,96.080002,21.599091,-6.7,-89.44,2024-08-21
34.995998,13.957,98.080002,25.214872,-6.7,-89.44,2024-08-21
35.006001,13.912,100.080002,24.344093,-6.7,-89.44,2024-08-21
34.993,13.788,102.080002,19.321575,-6.7,-89.44,2024-08-21
34.98,13.673,104.080002,17.035593,-6.7,-89.44,2024-08-21
34.970001,13.571,106.080002,16.029314,-6.7,-89.44,2024-08-21
34.960999,13.501,108.080002,15.787883,-6.7,-89.44,2024-08-21
34.956001,13.453,110.080002,14.941531,-6.7,-89.44,2024-08-21
34.952999,13.409,112.080002,14.01717,-6.7,-89.44,2024-08-21
34.951,13.353,114.080002,13.864665,-6.7,-89.44,2024-08-21
34.945,13.3,116.080002,14.028017,-6.7,-89.44,2024-08-21
34.941002,13.257,118.080002,13.698644,-6.7,-89.44,2024-08-21
34.938999,13.242,120.080002,13.155353,-6.7,-89.44,2024-08-21
34.938,13.235,122.080002,12.433085,-6.7,-89.44,2024-08-21
34.936001,13.201,124.080002,12.076837,-6.7,-89.44,2024-08-21
34.933998,13.163,126.080002,12.936447,-6.7,-89.44,2024-08-21
34.931999,13.142,128.080002,14.026509,-6.7,-89.44,2024-08-21
34.931,13.136,130.180008,14.47999,-6.7,-89.44,2024-08-21
34.93,13.129,132.080002,14.5517,-6.7,-89.44,2024-08-21
34.929001,13.097,134.080002,14.627176,-6.7,-89.44,2024-08-21
34.926998,13.07,136.080002,14.030456,-6.7,-89.44,2024-08-21
34.925999,13.052,138.080002,12.699589,-6.7,-89.44,2024-08-21
34.925999,13.041,140.080002,11.994116,-6.7,-89.44,2024-08-21
34.924999,13.031,142.080002,11.247391,-6.7,-89.44,2024-08-21
34.924,13.02,144.080002,10.351199,-6.7,-89.44,2024-08-21
34.923,13.01,146.080002,9.652421,-6.7,-89.44,2024-08-21
34.923,12.999,148.080002,8.701126,-6.7,-89.44,2024-08-21
34.921001,12.973,150.080002,8.046909,-6.7,-89.44,2024-08-21
34.918999,12.953,152.080002,7.670353,-6.7,-89.44,2024-08-21
34.917999,12.942,154.080002,7.29842,-6.7,-89.44,2024-08-21
34.917,12.927,156.080002,7.062747,-6.7,-89.44,2024-08-21
34.917,12.914,158.080002,7.092556,-6.7,-89.44,2024-08-21
34.915001,12.898,160.080002,7.606893,-6.7,-89.44,2024-08-21
34.914001,12.887,162.080002,8.805042,-6.7,-89.44,2024-08-21
34.914001,12.862,164.080002,10.315395,-6.7,-89.44,2024-08-21
34.912998,12.843,166.080002,11.669638,-6.7,-89.44,2024-08-21
34.912998,12.824,168.080002,12.433024,-6.7,-89.44,2024-08-21
34.911999,12.799,170.080002,12.357382,-6.7,-89.44,2024-08-21
34.911999,12.797,172.080002,12.21618,-6.7,-89.44,2024-08-21
34.910999,12.796,174.080002,11.800838,-6.7,-89.44,2024-08-21
34.910999,12.795,176.080002,11.055481,-6.7,-89.44,2024-08-21
34.91,12.793,178.080002,9.7292,-6.7,-89.44,2024-08-21
34.909,12.785,180.080002,7.616035,-6.7,-89.44,2024-08-21
34.905998,12.762,182.080002,6.292313,-6.7,-89.44,2024-08-21
34.904999,12.744,184.080002,6.134924,-6.7,-89.44,2024-08-21
34.903999,12.722,186.080002,6.34835,-6.7,-89.44,2024-08-21
34.903,12.703,188.080002,6.745628,-6.7,-89.44,2024-08-21
34.903,12.695,190.080002,6.899099,-6.7,-89.44,2024-08-21
34.902,12.689,192.080002,6.910571,-6.7,-89.44,2024-08-21
34.901001,12.674,194.080002,7.096047,-6.7,-89.44,2024-08-21
34.898998,12.651,196.080002,7.294245,-6.7,-89.44,2024-08-21
34.897999,12.634,198.080002,7.449908,-6.7,-89.44,2024-08-21
34.896999,12.612,200.080002,7.486743,-6.7,-89.44,2024-08-21
34.896,12.597,202.080002,7.160239,-6.7,-89.44,2024-08-21
34.896,12.59,204.080002,6.826735,-6.7,-89.44,2024-08-21
34.895,12.587,206.080002,6.658574,-6.7,-89.44,2024-08-21
34.895,12.577,208.080002,6.607987,-6.7,-89.44,2024-08-21
34.894001,12.568,210.080002,6.631607,-6.7,-89.44,2024-08-21
34.893002,12.551,212.080002,6.717174,-6.7,-89.44,2024-08-21
34.891998,12.534,214.080002,6.878759,-6.7,-89.44,2024-08-21
34.890999,12.521,216.080002,7.050656,-6.7,-89.44,2024-08-21
34.889999,12.509,218.080002,7.163111,-6.7,-89.44,2024-08-21
34.889,12.494,220.080002,7.436534,-6.7,-89.44,2024-08-21
34.888,12.48,222.080002,7.962298,-6.7,-89.44,2024-08-21
34.886002,12.452,224.080002,8.290626,-6.7,-89.44,2024-08-21
34.884998,12.424,226.080002,8.441231,-6.7,-89.44,2024-08-21
34.882999,12.397,228.080002,8.746016,-6.7,-89.44,2024-08-21
34.881001,12.37,230.080002,8.741103,-6.7,-89.44,2024-08-21
34.881001,12.357,232.080002,8.586474,-6.7,-89.44,2024-08-21
34.880001,12.349,234.080002,8.400046,-6.7,-89.44,2024-08-21
