salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
34.817001,27.121401,-0.09,199.102875,19.92,-156.78,2024-08-20
34.817001,27.121401,0.01,199.154114,19.92,-156.78,2024-08-20
34.817001,27.121401,0.11,199.176804,19.92,-156.78,2024-08-20
34.817001,27.121401,0.232,,19.92,-156.78,2024-08-20
34.817001,27.121401,0.332,,19.92,-156.78,2024-08-20
34.817001,27.121401,0.432,199.134995,19.92,-156.78,2024-08-20
34.817001,27.121401,0.61,,19.92,-156.78,2024-08-20
34.822521,27.107414,0.732,199.055145,19.92,-156.78,2024-08-20
34.831566,27.084486,0.932,,19.92,-156.78,2024-08-20
34.83609,27.073021,1.032,199.12822,19.92,-156.78,2024-08-20
34.840614,27.061558,1.132,,19.92,-156.78,2024-08-20
34.845139,27.050093,1.232,,19.92,-156.78,2024-08-20
34.849663,27.03863,1.332,,19.92,-156.78,2024-08-20
34.854187,27.027164,1.432,,19.92,-156.78,2024-08-20
34.855,27.025101,1.45,,19.92,-156.78,2024-08-20
34.857426,27.021627,1.532,199.355499,19.92,-156.78,2024-08-20
34.860386,27.017393,1.632,,19.92,-156.78,2024-08-20
34.863346,27.013159,1.732,,19.92,-156.78,2024-08-20
34.866302,27.008924,1.832,,19.92,-156.78,2024-08-20
34.871571,27.001387,2.01,199.37114,19.92,-156.78,2024-08-20
34.875179,26.99622,2.132,,19.92,-156.78,2024-08-20
34.878139,26.991985,2.232,,19.92,-156.78,2024-08-20
34.8811,26.987751,2.332,,19.92,-156.78,2024-08-20
34.883999,26.983601,2.43,,19.92,-156.78,2024-08-20
34.884167,26.982809,2.52,,19.92,-156.78,2024-08-20
34.884377,26.981825,2.632,199.319138,19.92,-156.78,2024-08-20
34.884563,26.980947,2.732,,19.92,-156.78,2024-08-20
34.884937,26.979191,2.932,,19.92,-156.78,2024-08-20
34.885124,26.978312,3.032,,19.92,-156.78,2024-08-20
34.885311,26.977432,3.132,199.24614,19.92,-156.78,2024-08-20
34.886002,26.974199,3.5,,19.92,-156.78,2024-08-20
34.886002,26.974024,3.52,,19.92,-156.78,2024-08-20
34.886002,26.972172,3.732,,19.92,-156.78,2024-08-20
34.886002,26.970425,3.932,199.267044,19.92,-156.78,2024-08-20
34.886002,26.968782,4.12,,19.92,-156.78,2024-08-20
34.886002,26.967804,4.232,,19.92,-156.78,2024-08-20
34.886002,26.96693,4.332,,19.92,-156.78,2024-08-20
34.886002,26.966057,4.432,,19.92,-156.78,2024-08-20
34.886002,26.9652,4.53,,19.92,-156.78,2024-08-20
34.886002,26.964375,4.632,199.321457,19.92,-156.78,2024-08-20
34.886002,26.962753,4.832,,19.92,-156.78,2024-08-20
34.886002,26.961945,4.932,,19.92,-156.78,2024-08-20
34.886002,26.961134,5.032,,19.92,-156.78,2024-08-20
