salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
35.2826,30.566,0.64,,-3.79,162.53,2024-08-13
35.283798,30.563999,0.76,,-3.79,162.53,2024-08-13
35.282799,30.565001,0.92,,-3.79,162.53,2024-08-13
35.282799,30.565001,0.96,,-3.79,162.53,2024-08-13
35.282421,30.566259,1.64,193.355408,-3.79,162.53,2024-08-13
35.2822,30.566999,2.04,,-3.79,162.53,2024-08-13
35.282566,30.566542,2.48,,-3.79,162.53,2024-08-13
35.283001,30.566,3.0,,-3.79,162.53,2024-08-13
35.282673,30.566,3.52,193.209366,-3.79,162.53,2024-08-13
35.282398,30.566,3.96,,-3.79,162.53,2024-08-13
35.282856,30.566,4.72,,-3.79,162.53,2024-08-13
35.283001,30.566,4.96,,-3.79,162.53,2024-08-13
35.282677,30.566538,5.52,193.138199,-3.79,162.53,2024-08-13
35.282398,30.566999,6.0,,-3.79,162.53,2024-08-13
35.282845,30.566999,6.68,,-3.79,162.53,2024-08-13
35.283001,30.566999,6.92,,-3.79,162.53,2024-08-13
35.282719,30.566999,7.68,193.320587,-3.79,162.53,2024-08-13
35.2826,30.566999,8.0,,-3.79,162.53,2024-08-13
35.2826,30.566999,8.6,,-3.79,162.53,2024-08-13
35.2826,30.566999,9.04,,-3.79,162.53,2024-08-13
35.282715,30.566999,9.6,193.276642,-3.79,162.53,2024-08-13
35.282799,30.566999,10.0,,-3.79,162.53,2024-08-13
35.282021,30.569332,10.56,,-3.79,162.53,2024-08-13
35.281799,30.57,10.72,,-3.79,162.53,2024-08-13
35.28231,30.570635,11.56,193.485489,-3.79,162.53,2024-08-13
35.2826,30.570999,12.04,,-3.79,162.53,2024-08-13
35.2826,30.570999,12.84,,-3.79,162.53,2024-08-13
35.2826,30.570999,13.8,193.223221,-3.79,162.53,2024-08-13
35.2826,30.570999,14.04,,-3.79,162.53,2024-08-13
35.2826,30.570999,14.76,,-3.79,162.53,2024-08-13
35.2826,30.570999,15.84,193.266052,-3.79,162.53,2024-08-13
35.2826,30.570999,16.0,,-3.79,162.53,2024-08-13
35.282681,30.5702,16.799999,,-3.79,162.53,2024-08-13
35.282772,30.569281,17.719999,193.24469,-3.79,162.53,2024-08-13
35.282799,30.569,18.0,,-3.79,162.53,2024-08-13
35.28265,30.569,18.76,,-3.79,162.53,2024-08-13
35.282459,30.569,19.719999,193.035858,-3.79,162.53,2024-08-13
35.282398,30.569,20.040001,,-3.79,162.53,2024-08-13
35.282558,30.568199,20.84,,-3.79,162.53,2024-08-13
35.282742,30.56728,21.76,193.0858,-3.79,162.53,2024-08-13
35.282799,30.566999,22.040001,,-3.79,162.53,2024-08-13
35.282719,30.568224,22.84,,-3.79,162.53,2024-08-13
35.282631,30.56951,23.68,193.109482,-3.79,162.53,2024-08-13
35.2826,30.57,24.0,,-3.79,162.53,2024-08-13
35.282745,30.569639,24.719999,,-3.79,162.53,2024-08-13
35.282959,30.569099,25.799999,193.042068,-3.79,162.53,2024-08-13
35.283001,30.569,26.0,,-3.79,162.53,2024-08-13
35.283848,30.565617,26.879999,,-3.79,162.53,2024-08-13
35.284771,30.561924,27.84,192.970352,-3.79,162.53,2024-08-13
35.285,30.561001,28.08,,-3.79,162.53,2024-08-13
35.285084,30.559715,28.92,,-3.79,162.53,2024-08-13
35.285172,30.55843,29.76,192.958252,-3.79,162.53,2024-08-13
35.285198,30.558001,30.040001,,-3.79,162.53,2024-08-13
35.285034,30.558834,30.84,,-3.79,162.53,2024-08-13
35.284843,30.559792,31.76,192.850235,-3.79,162.53,2024-08-13
35.284801,30.559999,31.959999,,-3.79,162.53,2024-08-13
35.284969,30.559999,32.799999,,-3.79,162.53,2024-08-13
35.285175,30.559999,33.84,192.732819,-3.79,162.53,2024-08-13
35.285198,30.559999,33.959999,,-3.79,162.53,2024-08-13
35.285679,30.558559,34.919998,,-3.79,162.53,2024-08-13
35.28616,30.557119,35.880001,192.384872,-3.79,162.53,2024-08-13
35.286201,30.556999,35.959999,,-3.79,162.53,2024-08-13
35.286728,30.555239,36.84,,-3.79,162.53,2024-08-13
35.287254,30.55348,37.720001,192.628052,-3.79,162.53,2024-08-13
35.287399,30.552999,37.959999,,-3.79,162.53,2024-08-13
35.287479,30.5534,38.759998,,-3.79,162.53,2024-08-13
35.28759,30.55394,39.84,192.54248,-3.79,162.53,2024-08-13
35.287601,30.554001,39.959999,,-3.79,162.53,2024-08-13
35.287853,30.553577,40.84,,-3.79,162.53,2024-08-13
35.288143,30.553095,41.84,192.346085,-3.79,162.53,2024-08-13
35.2882,30.552999,42.040001,,-3.79,162.53,2024-08-13
35.28828,30.552999,42.84,,-3.79,162.53,2024-08-13
35.288372,30.552999,43.759998,192.17215,-3.79,162.53,2024-08-13
35.288399,30.552999,44.040001,,-3.79,162.53,2024-08-13
35.288158,30.5518,44.84,,-3.79,162.53,2024-08-13
35.287884,30.550419,45.759998,192.416687,-3.79,162.53,2024-08-13
35.2878,30.549999,46.040001,,-3.79,162.53,2024-08-13
35.288208,30.550407,46.84,,-3.79,162.53,2024-08-13
35.288738,30.55094,47.880001,192.12915,-3.79,162.53,2024-08-13
35.288799,30.551001,48.0,,-3.79,162.53,2024-08-13
35.288879,30.551001,48.799999,,-3.79,162.53,2024-08-13
35.288979,30.551001,49.759998,192.030762,-3.79,162.53,2024-08-13
35.289001,30.551001,50.0,,-3.79,162.53,2024-08-13
35.289001,30.550589,50.84,,-3.79,162.53,2024-08-13
35.289001,30.550137,51.759998,192.085022,-3.79,162.53,2024-08-13
35.289001,30.549999,52.040001,,-3.79,162.53,2024-08-13
35.288673,30.549183,52.84,,-3.79,162.53,2024-08-13
35.28828,30.548204,53.799999,192.243515,-3.79,162.53,2024-08-13
35.2882,30.548,54.0,,-3.79,162.53,2024-08-13
35.288582,30.549141,54.759998,,-3.79,162.53,2024-08-13
35.289082,30.55064,55.759998,192.178635,-3.79,162.53,2024-08-13
35.2892,30.551001,56.0,,-3.79,162.53,2024-08-13
35.289116,30.54974,56.84,,-3.79,162.53,2024-08-13
35.289021,30.5483,57.799999,192.066833,-3.79,162.53,2024-08-13
35.289001,30.548,58.0,,-3.79,162.53,2024-08-13
35.288918,30.547592,58.799999,,-3.79,162.53,2024-08-13
35.288818,30.547102,59.759998,191.980453,-3.79,162.53,2024-08-13
35.288799,30.547001,59.959999,,-3.79,162.53,2024-08-13
35.288578,30.545883,60.720001,,-3.79,162.53,2024-08-13
35.288284,30.544413,61.720001,192.202591,-3.79,162.53,2024-08-13
35.2882,30.544001,62.0,,-3.79,162.53,2024-08-13
35.289215,30.546539,62.880001,,-3.79,162.53,2024-08-13
35.290371,30.549423,63.880001,192.191223,-3.79,162.53,2024-08-13
35.2906,30.549999,64.080002,,-3.79,162.53,2024-08-13
35.29417,30.556839,64.839996,,-3.79,162.53,2024-08-13
35.298119,30.5644,65.68,192.056305,-3.79,162.53,2024-08-13
35.299999,30.568001,66.080002,,-3.79,162.53,2024-08-13
35.30225,30.572166,66.879997,,-3.79,162.53,2024-08-13
35.304611,30.576542,67.720001,191.996948,-3.79,162.53,2024-08-13
35.305401,30.577999,68.0,,-3.79,162.53,2024-08-13
35.305473,30.577999,68.720001,,-3.79,162.53,2024-08-13
35.305588,30.577999,69.879997,191.817703,-3.79,162.53,2024-08-13
35.305599,30.577999,70.0,,-3.79,162.53,2024-08-13
35.305336,30.577999,70.879997,,-3.79,162.53,2024-08-13
35.305134,30.577999,71.559998,191.917831,-3.79,162.53,2024-08-13
35.305,30.577999,72.0,,-3.79,162.53,2024-08-13
35.303368,30.571878,72.68,,-3.79,162.53,2024-08-13
35.300587,30.56144,73.839996,191.787415,-3.79,162.53,2024-08-13
35.300201,30.559999,74.0,,-3.79,162.53,2024-08-13
35.297318,30.556293,74.839996,,-3.79,162.53,2024-08-13
35.293888,30.551884,75.839996,191.825577,-3.79,162.53,2024-08-13
35.293201,30.551001,76.040001,,-3.79,162.53,2024-08-13
35.293762,30.552999,76.839996,,-3.79,162.53,2024-08-13
35.29446,30.5555,77.839996,191.827728,-3.79,162.53,2024-08-13
35.294601,30.556,78.040001,,-3.79,162.53,2024-08-13
35.296696,30.560654,78.800003,,-3.79,162.53,2024-08-13
35.29945,30.566776,79.800003,191.546967,-3.79,162.53,2024-08-13
35.299999,30.568001,80.0,,-3.79,162.53,2024-08-13
35.302238,30.572001,80.800003,,-3.79,162.53,2024-08-13
35.305038,30.577,81.800003,190.852219,-3.79,162.53,2024-08-13
35.305599,30.577999,82.0,,-3.79,162.53,2024-08-13
35.306606,30.579163,82.760002,,-3.79,162.53,2024-08-13
35.307934,30.580692,83.760002,189.760712,-3.79,162.53,2024-08-13
35.308201,30.580999,83.959999,,-3.79,162.53,2024-08-13
35.314327,30.573666,84.839996,,-3.79,162.53,2024-08-13
35.321285,30.565332,85.839996,187.185043,-3.79,162.53,2024-08-13
35.322399,30.563999,86.0,,-3.79,162.53,2024-08-13
35.332798,30.5516,86.800003,,-3.79,162.53,2024-08-13
35.345798,30.5361,87.800003,184.52356,-3.79,162.53,2024-08-13
35.3484,30.533001,88.0,,-3.79,162.53,2024-08-13
35.361584,30.504694,88.760002,,-3.79,162.53,2024-08-13
35.379623,30.465958,89.800003,181.595322,-3.79,162.53,2024-08-13
35.382401,30.459999,89.959999,,-3.79,162.53,2024-08-13
35.391323,30.43,90.760002,,-3.79,162.53,2024-08-13
35.40337,30.3895,91.839996,180.742798,-3.79,162.53,2024-08-13
35.405602,30.382,92.040001,,-3.79,162.53,2024-08-13
35.407482,30.380823,92.839996,,-3.79,162.53,2024-08-13
35.40974,30.379412,93.800003,180.12558,-3.79,162.53,2024-08-13
35.4104,30.379,94.080002,,-3.79,162.53,2024-08-13
35.414074,30.375937,94.919998,,-3.79,162.53,2024-08-13
35.417927,30.372728,95.800003,178.672577,-3.79,162.53,2024-08-13
35.4188,30.372,96.0,,-3.79,162.53,2024-08-13
