salinity,temperature,pressure,lat,lon,date
34.702003,27.51,4.3,15.37,-147.93,2024-08-18
34.703003,27.51,5.7,15.37,-147.93,2024-08-18
34.703003,27.509001,7.9,15.37,-147.93,2024-08-18
34.704002,27.51,9.9,15.37,-147.93,2024-08-18
34.703003,27.51,11.799999,15.37,-147.93,2024-08-18
34.703003,27.51,13.9,15.37,-147.93,2024-08-18
34.703003,27.511,15.9,15.37,-147.93,2024-08-18
34.704002,27.511999,17.9,15.37,-147.93,2024-08-18
34.706001,27.514999,19.9,15.37,-147.93,2024-08-18
34.707001,27.516001,21.9,15.37,-147.93,2024-08-18
34.709003,27.517,23.9,15.37,-147.93,2024-08-18
34.709003,27.518,25.9,15.37,-147.93,2024-08-18
34.709003,27.518999,27.9,15.37,-147.93,2024-08-18
34.709003,27.518999,29.9,15.37,-147.93,2024-08-18
34.708,27.518999,31.9,15.37,-147.93,2024-08-18
34.709003,27.518999,33.900002,15.37,-147.93,2024-08-18
34.709003,27.518999,35.900002,15.37,-147.93,2024-08-18
34.709003,27.52,37.900002,15.37,-147.93,2024-08-18
34.709003,27.52,39.900002,15.37,-147.93,2024-08-18
34.709003,27.52,41.900002,15.37,-147.93,2024-08-18
34.709003,27.52,43.900002,15.37,-147.93,2024-08-18
34.709003,27.52,45.900002,15.37,-147.93,2024-08-18
34.709003,27.518999,47.900002,15.37,-147.93,2024-08-18
34.709003,27.518999,49.900002,15.37,-147.93,2024-08-18
34.709003,27.518,51.900002,15.37,-147.93,2024-08-18
34.714001,27.469,53.900002,15.37,-147.93,2024-08-18
34.736,27.322001,55.900002,15.37,-147.93,2024-08-18
34.768002,27.26,57.900002,15.37,-147.93,2024-08-18
34.773003,27.160999,59.900002,15.37,-147.93,2024-08-18
34.760002,26.993999,61.900002,15.37,-147.93,2024-08-18
34.751003,26.882,63.900002,15.37,-147.93,2024-08-18
34.739002,26.740999,65.900002,15.37,-147.93,2024-08-18
34.739002,26.615999,67.900002,15.37,-147.93,2024-08-18
34.737003,26.573999,69.900002,15.37,-147.93,2024-08-18
34.729,26.493,71.900002,15.37,-147.93,2024-08-18
34.723003,26.403999,73.900002,15.37,-147.93,2024-08-18
34.721001,26.371,75.900002,15.37,-147.93,2024-08-18
34.723003,26.312,77.900002,15.37,-147.93,2024-08-18
34.724003,26.281,79.900002,15.37,-147.93,2024-08-18
34.724003,26.195,81.900002,15.37,-147.93,2024-08-18
34.718002,26.121,83.900002,15.37,-147.93,2024-08-18
34.713001,26.093,85.900002,15.37,-147.93,2024-08-18
34.705002,26.066999,87.900002,15.37,-147.93,2024-08-18
34.687,25.955,89.900002,15.37,-147.93,2024-08-18
34.633003,25.586,91.900002,15.37,-147.93,2024-08-18
34.614002,25.493999,93.900002,15.37,-147.93,2024-08-18
34.597,25.313999,95.900002,15.37,-147.93,2024-08-18
34.59,25.106001,97.900002,15.37,-147.93,2024-08-18
34.580002,24.906,100.0,15.37,-147.93,2024-08-18
34.573002,24.653,101.900002,15.37,-147.93,2024-08-18
34.564003,24.302,103.900002,15.37,-147.93,2024-08-18
34.557003,24.155001,105.900002,15.37,-147.93,2024-08-18
34.552002,24.077999,107.900002,15.37,-147.93,2024-08-18
34.550003,23.857,109.900002,15.37,-147.93,2024-08-18
34.549,23.511999,111.900002,15.37,-147.93,2024-08-18
34.546001,23.153999,113.900002,15.37,-147.93,2024-08-18
34.548,22.921,115.900002,15.37,-147.93,2024-08-18
34.545002,22.848,117.900002,15.37,-147.93,2024-08-18
34.543003,22.729,119.900002,15.37,-147.93,2024-08-18
34.534,22.459,121.900002,15.37,-147.93,2024-08-18
34.535,22.306,123.900002,15.37,-147.93,2024-08-18
34.521,22.049,125.900002,15.37,-147.93,2024-08-18
34.495003,21.839001,127.900002,15.37,-147.93,2024-08-18
34.482002,21.729,129.899994,15.37,-147.93,2024-08-18
34.449001,21.426001,131.899994,15.37,-147.93,2024-08-18
34.418003,21.113001,133.899994,15.37,-147.93,2024-08-18
34.395,20.870001,135.899994,15.37,-147.93,2024-08-18
34.375,20.591,137.899994,15.37,-147.93,2024-08-18
34.369003,20.403,139.899994,15.37,-147.93,2024-08-18
34.372002,20.316,141.899994,15.37,-147.93,2024-08-18
34.366001,20.236,143.899994,15.37,-147.93,2024-08-18
34.361,20.132,145.899994,15.37,-147.93,2024-08-18
34.348003,19.886999,147.899994,15.37,-147.93,2024-08-18
34.329002,19.635,150.0,15.37,-147.93,2024-08-18
34.295002,19.327,152.0,15.37,-147.93,2024-08-18
34.267002,19.018,153.899994,15.37,-147.93,2024-08-18
34.219002,18.535999,155.799988,15.37,-147.93,2024-08-18
34.193001,17.955999,157.899994,15.37,-147.93,2024-08-18
34.183002,17.436001,159.899994,15.37,-147.93,2024-08-18
34.195,17.308001,161.899994,15.37,-147.93,2024-08-18
34.208,17.239,163.899994,15.37,-147.93,2024-08-18
34.217003,17.115,166.0,15.37,-147.93,2024-08-18
34.217003,17.075001,167.899994,15.37,-147.93,2024-08-18
34.219002,16.941,169.899994,15.37,-147.93,2024-08-18
34.248001,16.528999,171.899994,15.37,-147.93,2024-08-18
34.249001,16.218,173.799988,15.37,-147.93,2024-08-18
34.243,15.421,175.799988,15.37,-147.93,2024-08-18
34.233002,14.576,177.899994,15.37,-147.93,2024-08-18
34.222,14.217,179.899994,15.37,-147.93,2024-08-18
34.221001,14.008,181.899994,15.37,-147.93,2024-08-18
34.223003,13.812,183.899994,15.37,-147.93,2024-08-18
34.229,13.633,185.899994,15.37,-147.93,2024-08-18
34.262001,13.404,187.899994,15.37,-147.93,2024-08-18
34.267002,13.134,189.899994,15.37,-147.93,2024-08-18
34.262001,12.972,191.899994,15.37,-147.93,2024-08-18
34.259003,12.784,193.899994,15.37,-147.93,2024-08-18
34.257,12.552,195.899994,15.37,-147.93,2024-08-18
34.256001,12.492,197.899994,15.37,-147.93,2024-08-18
34.253002,12.442,199.899994,15.37,-147.93,2024-08-18
34.256001,12.391,201.899994,15.37,-147.93,2024-08-18
34.266003,12.059,203.899994,15.37,-147.93,2024-08-18
34.267002,11.936,205.899994,15.37,-147.93,2024-08-18
34.267002,11.874,207.899994,15.37,-147.93,2024-08-18
34.266003,11.827,209.899994,15.37,-147.93,2024-08-18
34.27,11.745,211.899994,15.37,-147.93,2024-08-18
34.269001,11.625,214.0,15.37,-147.93,2024-08-18
34.27,11.551,215.899994,15.37,-147.93,2024-08-18
34.271,11.414,217.899994,15.37,-147.93,2024-08-18
34.275002,11.204,219.899994,15.37,-147.93,2024-08-18
34.276001,11.095,221.899994,15.37,-147.93,2024-08-18
34.287003,11.024,223.899994,15.37,-147.93,2024-08-18
34.291,10.982,225.899994,15.37,-147.93,2024-08-18
34.296001,10.946,227.899994,15.37,-147.93,2024-08-18
34.304001,10.886,229.899994,15.37,-147.93,2024-08-18
34.309002,10.828,231.899994,15.37,-147.93,2024-08-18
34.327003,10.759,233.899994,15.37,-147.93,2024-08-18
34.343002,10.707,235.899994,15.37,-147.93,2024-08-18
34.345001,10.701,237.899994,15.37,-147.93,2024-08-18
34.345001,10.705,239.899994,15.37,-147.93,2024-08-18
34.350002,10.68,241.899994,15.37,-147.93,2024-08-18
34.357002,10.668,243.899994,15.37,-147.93,2024-08-18
34.360001,10.655,245.899994,15.37,-147.93,2024-08-18
34.367001,10.606,247.899994,15.37,-147.93,2024-08-18
34.371002,10.579,249.899994,15.37,-147.93,2024-08-18
34.382,10.525,251.899994,15.37,-147.93,2024-08-18
34.386002,10.499,253.899994,15.37,-147.93,2024-08-18
34.385002,10.424,255.899994,15.37,-147.93,2024-08-18
34.387001,10.402,257.899994,15.37,-147.93,2024-08-18
34.388,10.362,259.899994,15.37,-147.93,2024-08-18
34.393002,10.347,261.899994,15.37,-147.93,2024-08-18
34.398003,10.347,263.899994,15.37,-147.93,2024-08-18
34.405003,10.339,265.899994,15.37,-147.93,2024-08-18
34.411003,10.312,267.899994,15.37,-147.93,2024-08-18
34.431,10.339,269.899994,15.37,-147.93,2024-08-18
34.440002,10.348,271.899994,15.37,-147.93,2024-08-18
34.455002,10.317,273.899994,15.37,-147.93,2024-08-18
34.456001,10.288,275.899994,15.37,-147.93,2024-08-18
34.456001,10.24,277.899994,15.37,-147.93,2024-08-18
34.454002,10.192,279.899994,15.37,-147.93,2024-08-18
34.455002,10.14,281.899994,15.37,-147.93,2024-08-18
34.454002,10.115,283.899994,15.37,-147.93,2024-08-18
34.454002,10.056,285.899994,15.37,-147.93,2024-08-18
34.449001,9.996,287.899994,15.37,-147.93,2024-08-18
34.448002,9.973,289.899994,15.37,-147.93,2024-08-18
34.447002,9.944,291.899994,15.37,-147.93,2024-08-18
34.456001,9.913,293.899994,15.37,-147.93,2024-08-18
34.470001,9.906,295.799988,15.37,-147.93,2024-08-18
34.474003,9.897,297.799988,15.37,-147.93,2024-08-18
34.474003,9.848,299.899994,15.37,-147.93,2024-08-18
34.473003,9.812,301.899994,15.37,-147.93,2024-08-18
34.487003,9.788,303.899994,15.37,-147.93,2024-08-18
34.491001,9.769,305.899994,15.37,-147.93,2024-08-18
34.496002,9.741,307.899994,15.37,-147.93,2024-08-18
34.497002,9.713,309.899994,15.37,-147.93,2024-08-18
34.497002,9.707,311.899994,15.37,-147.93,2024-08-18
34.498001,9.693,313.899994,15.37,-147.93,2024-08-18
34.5,9.675,315.899994,15.37,-147.93,2024-08-18
34.501003,9.656,317.899994,15.37,-147.93,2024-08-18
34.501003,9.653,319.899994,15.37,-147.93,2024-08-18
34.501003,9.646,321.899994,15.37,-147.93,2024-08-18
34.501003,9.64,323.899994,15.37,-147.93,2024-08-18
