salinity,temperature,pressure,lat,lon,date
35.041,29.822001,3.88,-8.36,173.12,2024-08-12
35.041,29.823,5.98,-8.36,173.12,2024-08-12
35.041,29.822001,7.68,-8.36,173.12,2024-08-12
35.041,29.820999,9.679999,-8.36,173.12,2024-08-12
35.041,29.820999,11.78,-8.36,173.12,2024-08-12
35.041,29.83,13.78,-8.36,173.12,2024-08-12
35.041,29.830999,15.78,-8.36,173.12,2024-08-12
35.042,29.830999,17.780001,-8.36,173.12,2024-08-12
35.041,29.830999,19.780001,-8.36,173.12,2024-08-12
35.041,29.830999,21.780001,-8.36,173.12,2024-08-12
35.041,29.832001,23.780001,-8.36,173.12,2024-08-12
35.041,29.832001,25.780001,-8.36,173.12,2024-08-12
35.040001,29.833,27.780001,-8.36,173.12,2024-08-12
35.040001,29.833,29.780001,-8.36,173.12,2024-08-12
35.041,29.833,31.780001,-8.36,173.12,2024-08-12
35.041,29.834,33.779999,-8.36,173.12,2024-08-12
35.041,29.834,35.779999,-8.36,173.12,2024-08-12
35.041,29.834,37.779999,-8.36,173.12,2024-08-12
35.041,29.834999,39.779999,-8.36,173.12,2024-08-12
35.042,29.836,41.779999,-8.36,173.12,2024-08-12
35.041,29.837,43.779999,-8.36,173.12,2024-08-12
35.042,29.837,45.779999,-8.36,173.12,2024-08-12
35.042,29.837,47.779999,-8.36,173.12,2024-08-12
35.041,29.837999,49.779999,-8.36,173.12,2024-08-12
35.041,29.839001,51.779999,-8.36,173.12,2024-08-12
35.041,29.839001,53.779999,-8.36,173.12,2024-08-12
35.040001,29.839001,55.779999,-8.36,173.12,2024-08-12
35.041,29.839001,57.779999,-8.36,173.12,2024-08-12
35.042999,29.839001,59.779999,-8.36,173.12,2024-08-12
35.043999,29.839001,61.779999,-8.36,173.12,2024-08-12
35.046001,29.839001,63.779999,-8.36,173.12,2024-08-12
35.051998,29.84,65.779999,-8.36,173.12,2024-08-12
35.053001,29.841,67.779999,-8.36,173.12,2024-08-12
35.063,29.841,69.779999,-8.36,173.12,2024-08-12
35.081001,29.837999,71.779999,-8.36,173.12,2024-08-12
35.104,29.833,73.68,-8.36,173.12,2024-08-12
35.333,29.735001,75.779999,-8.36,173.12,2024-08-12
35.530998,29.552,77.779999,-8.36,173.12,2024-08-12
35.661999,29.365999,79.879997,-8.36,173.12,2024-08-12
35.710999,29.209,81.779999,-8.36,173.12,2024-08-12
35.764,28.992001,83.68,-8.36,173.12,2024-08-12
35.820999,28.698,85.779999,-8.36,173.12,2024-08-12
35.827,28.656,87.779999,-8.36,173.12,2024-08-12
35.861,28.499001,89.779999,-8.36,173.12,2024-08-12
35.891998,28.337999,91.779999,-8.36,173.12,2024-08-12
35.902,28.290001,93.779999,-8.36,173.12,2024-08-12
35.904999,28.274,95.779999,-8.36,173.12,2024-08-12
35.912998,28.237,97.779999,-8.36,173.12,2024-08-12
35.924999,28.181,99.779999,-8.36,173.12,2024-08-12
35.952999,28.059999,101.779999,-8.36,173.12,2024-08-12
36.000999,27.839001,103.779999,-8.36,173.12,2024-08-12
36.013,27.757,105.879997,-8.36,173.12,2024-08-12
36.019001,27.698999,107.779999,-8.36,173.12,2024-08-12
36.028999,27.601999,109.779999,-8.36,173.12,2024-08-12
36.050999,27.451,111.779999,-8.36,173.12,2024-08-12
36.062,27.386999,113.779999,-8.36,173.12,2024-08-12
36.075001,27.306,115.779999,-8.36,173.12,2024-08-12
36.069,27.159,117.779999,-8.36,173.12,2024-08-12
36.081001,26.891001,119.779999,-8.36,173.12,2024-08-12
36.105999,26.792,121.779999,-8.36,173.12,2024-08-12
36.116001,26.635,123.779999,-8.36,173.12,2024-08-12
36.136002,26.367001,125.879997,-8.36,173.12,2024-08-12
36.174,26.128,127.779999,-8.36,173.12,2024-08-12
36.201,25.952,129.779999,-8.36,173.12,2024-08-12
36.215,25.83,131.779999,-8.36,173.12,2024-08-12
36.242001,25.577999,133.779999,-8.36,173.12,2024-08-12
36.254002,25.379999,135.779999,-8.36,173.12,2024-08-12
36.261002,25.228001,137.779999,-8.36,173.12,2024-08-12
36.269001,24.997,139.779999,-8.36,173.12,2024-08-12
36.273998,24.781,141.779999,-8.36,173.12,2024-08-12
36.276001,24.684999,143.779999,-8.36,173.12,2024-08-12
36.277,24.639,145.779999,-8.36,173.12,2024-08-12
36.287998,24.424999,147.779999,-8.36,173.12,2024-08-12
36.291,24.035,149.779999,-8.36,173.12,2024-08-12
36.283001,23.917,151.779999,-8.36,173.12,2024-08-12
36.279999,23.877001,153.779999,-8.36,173.12,2024-08-12
36.275002,23.812,155.779999,-8.36,173.12,2024-08-12
36.264,23.688,157.779999,-8.36,173.12,2024-08-12
36.25,23.483999,159.779999,-8.36,173.12,2024-08-12
36.234001,23.339001,161.779999,-8.36,173.12,2024-08-12
36.227001,23.24,163.779999,-8.36,173.12,2024-08-12
36.215,23.125,165.779999,-8.36,173.12,2024-08-12
36.209999,23.1,167.779999,-8.36,173.12,2024-08-12
36.202,22.968,169.779999,-8.36,173.12,2024-08-12
36.182999,22.750999,171.779999,-8.36,173.12,2024-08-12
36.172001,22.673,173.779999,-8.36,173.12,2024-08-12
36.166,22.621,175.779999,-8.36,173.12,2024-08-12
36.159,22.563,177.779999,-8.36,173.12,2024-08-12
36.152,22.504999,179.779999,-8.36,173.12,2024-08-12
36.140999,22.389999,181.779999,-8.36,173.12,2024-08-12
36.127998,22.304001,183.779999,-8.36,173.12,2024-08-12
36.122002,22.266001,185.779999,-8.36,173.12,2024-08-12
36.118,22.233999,187.779999,-8.36,173.12,2024-08-12
36.115002,22.198999,189.779999,-8.36,173.12,2024-08-12
36.106998,22.152,191.779999,-8.36,173.12,2024-08-12
36.101002,22.084999,193.779999,-8.36,173.12,2024-08-12
36.084999,21.976,195.779999,-8.36,173.12,2024-08-12
36.076,21.917,197.779999,-8.36,173.12,2024-08-12
36.070999,21.868999,199.779999,-8.36,173.12,2024-08-12
36.062,21.805,201.779999,-8.36,173.12,2024-08-12
36.056,21.754,203.779999,-8.36,173.12,2024-08-12
36.047001,21.686001,205.779999,-8.36,173.12,2024-08-12
36.039001,21.632999,207.779999,-8.36,173.12,2024-08-12
36.034,21.599001,209.880005,-8.36,173.12,2024-08-12
36.018002,21.482,211.779999,-8.36,173.12,2024-08-12
35.993,21.304001,213.779999,-8.36,173.12,2024-08-12
35.963001,21.103001,215.779999,-8.36,173.12,2024-08-12
35.941002,20.952999,217.779999,-8.36,173.12,2024-08-12
35.925999,20.856001,219.779999,-8.36,173.12,2024-08-12
35.914001,20.771999,221.779999,-8.36,173.12,2024-08-12
35.886002,20.613001,223.779999,-8.36,173.12,2024-08-12
35.852001,20.348,225.779999,-8.36,173.12,2024-08-12
35.806999,20.006001,227.779999,-8.36,173.12,2024-08-12
35.776001,19.827999,229.779999,-8.36,173.12,2024-08-12
35.759998,19.688,231.779999,-8.36,173.12,2024-08-12
35.743999,19.59,233.779999,-8.36,173.12,2024-08-12
35.722,19.417999,235.779999,-8.36,173.12,2024-08-12
35.698002,19.247,237.779999,-8.36,173.12,2024-08-12
35.68,19.134001,239.779999,-8.36,173.12,2024-08-12
35.641998,18.820999,241.779999,-8.36,173.12,2024-08-12
35.610001,18.575001,243.779999,-8.36,173.12,2024-08-12
35.577999,18.375999,245.779999,-8.36,173.12,2024-08-12
35.567001,18.273001,247.779999,-8.36,173.12,2024-08-12
35.546001,18.131001,249.779999,-8.36,173.12,2024-08-12
35.522999,17.945999,251.779999,-8.36,173.12,2024-08-12
35.500999,17.82,253.679993,-8.36,173.12,2024-08-12
35.438999,17.232,255.779999,-8.36,173.12,2024-08-12
35.400002,16.992001,257.779999,-8.36,173.12,2024-08-12
35.394001,16.958,259.779999,-8.36,173.12,2024-08-12
35.383999,16.891001,261.779999,-8.36,173.12,2024-08-12
35.355,16.597,263.779999,-8.36,173.12,2024-08-12
35.307999,16.222,265.779999,-8.36,173.12,2024-08-12
35.286999,16.013,267.779999,-8.36,173.12,2024-08-12
35.27,15.864,269.779999,-8.36,173.12,2024-08-12
35.258999,15.765,271.779999,-8.36,173.12,2024-08-12
35.243,15.639,273.779999,-8.36,173.12,2024-08-12
35.229,15.498,275.779999,-8.36,173.12,2024-08-12
35.203999,15.27,277.779999,-8.36,173.12,2024-08-12
35.182999,15.069,279.779999,-8.36,173.12,2024-08-12
35.148998,14.735,281.779999,-8.36,173.12,2024-08-12
35.130001,14.56,283.779999,-8.36,173.12,2024-08-12
35.110001,14.373,285.779999,-8.36,173.12,2024-08-12
35.089001,14.158,287.779999,-8.36,173.12,2024-08-12
35.069,13.983,289.779999,-8.36,173.12,2024-08-12
35.049,13.791,291.779999,-8.36,173.12,2024-08-12
35.012001,13.377,293.779999,-8.36,173.12,2024-08-12
34.994999,13.212,295.779999,-8.36,173.12,2024-08-12
34.987,13.157,297.779999,-8.36,173.12,2024-08-12
34.973999,12.979,299.779999,-8.36,173.12,2024-08-12
34.956001,12.786,301.779999,-8.36,173.12,2024-08-12
34.950001,12.736,303.779999,-8.36,173.12,2024-08-12
34.943001,12.67,305.779999,-8.36,173.12,2024-08-12
34.933998,12.544,307.779999,-8.36,173.12,2024-08-12
