salinity,temperature,pressure,lat,lon,date
34.401562,29.798,6.4,5.53,-178.44,2024-08-13
34.404564,29.813999,7.6,5.53,-178.44,2024-08-13
34.404572,29.818001,8.5,5.53,-178.44,2024-08-13
34.402569,29.816,9.5,5.53,-178.44,2024-08-13
34.402569,29.804001,10.7,5.53,-178.44,2024-08-13
34.402569,29.812,12.6,5.53,-178.44,2024-08-13
34.403572,29.806,14.6,5.53,-178.44,2024-08-13
34.405571,29.822001,16.700001,5.53,-178.44,2024-08-13
34.402573,29.815001,18.4,5.53,-178.44,2024-08-13
34.401569,29.812,20.200001,5.53,-178.44,2024-08-13
34.40057,29.809999,22.299999,5.53,-178.44,2024-08-13
34.410576,29.822001,24.4,5.53,-178.44,2024-08-13
34.444576,29.875,26.6,5.53,-178.44,2024-08-13
34.466576,29.902,28.6,5.53,-178.44,2024-08-13
34.487579,29.93,30.6,5.53,-178.44,2024-08-13
34.509579,29.951,32.599998,5.53,-178.44,2024-08-13
34.550583,29.988001,34.5,5.53,-178.44,2024-08-13
34.598579,30.014999,36.5,5.53,-178.44,2024-08-13
34.661579,30.035999,38.5,5.53,-178.44,2024-08-13
34.682583,30.056,40.400002,5.53,-178.44,2024-08-13
34.687584,30.063999,42.5,5.53,-178.44,2024-08-13
34.693588,30.063999,44.5,5.53,-178.44,2024-08-13
34.698582,30.066999,46.400002,5.53,-178.44,2024-08-13
34.692589,30.049999,48.400002,5.53,-178.44,2024-08-13
34.688591,30.024,50.400002,5.53,-178.44,2024-08-13
34.684589,30.002001,52.299999,5.53,-178.44,2024-08-13
34.681595,29.988001,54.400002,5.53,-178.44,2024-08-13
34.677593,29.957001,56.400002,5.53,-178.44,2024-08-13
34.684593,29.9,58.400002,5.53,-178.44,2024-08-13
34.711594,29.802,60.400002,5.53,-178.44,2024-08-13
34.747593,29.749001,62.400002,5.53,-178.44,2024-08-13
34.820599,29.771999,64.400002,5.53,-178.44,2024-08-13
34.880596,29.827,66.400002,5.53,-178.44,2024-08-13
34.890598,29.788,68.400002,5.53,-178.44,2024-08-13
34.891598,29.728001,70.400002,5.53,-178.44,2024-08-13
34.883598,29.611,72.5,5.53,-178.44,2024-08-13
34.862602,29.417,74.5,5.53,-178.44,2024-08-13
34.8606,29.296,76.599998,5.53,-178.44,2024-08-13
34.853596,29.177,78.699997,5.53,-178.44,2024-08-13
34.850605,29.018,80.400002,5.53,-178.44,2024-08-13
34.852596,28.862,82.300003,5.53,-178.44,2024-08-13
34.865601,28.753,84.300003,5.53,-178.44,2024-08-13
34.869602,28.74,86.300003,5.53,-178.44,2024-08-13
34.870609,28.708,88.300003,5.53,-178.44,2024-08-13
34.869606,28.555,90.300003,5.53,-178.44,2024-08-13
34.8596,28.165001,92.400002,5.53,-178.44,2024-08-13
34.8666,27.966999,94.599998,5.53,-178.44,2024-08-13
34.874603,27.863001,96.599998,5.53,-178.44,2024-08-13
34.855606,27.704,98.5,5.53,-178.44,2024-08-13
34.86161,27.313999,100.300003,5.53,-178.44,2024-08-13
34.879604,26.976999,102.400002,5.53,-178.44,2024-08-13
34.867603,26.587,104.199997,5.53,-178.44,2024-08-13
34.880604,26.172001,106.400002,5.53,-178.44,2024-08-13
34.879601,26.025999,108.5,5.53,-178.44,2024-08-13
34.863605,25.745001,110.599998,5.53,-178.44,2024-08-13
34.860603,25.252001,112.699997,5.53,-178.44,2024-08-13
34.869606,25.028,114.699997,5.53,-178.44,2024-08-13
34.867607,24.945999,116.599998,5.53,-178.44,2024-08-13
34.834602,24.5,118.599998,5.53,-178.44,2024-08-13
34.806606,23.659,120.5,5.53,-178.44,2024-08-13
34.7966,23.278,122.400002,5.53,-178.44,2024-08-13
34.734596,22.431,124.599998,5.53,-178.44,2024-08-13
34.690594,20.372999,126.400002,5.53,-178.44,2024-08-13
34.718586,19.402,128.199997,5.53,-178.44,2024-08-13
34.701591,19.115999,130.300003,5.53,-178.44,2024-08-13
34.67659,18.882999,132.600006,5.53,-178.44,2024-08-13
34.666584,18.16,134.5,5.53,-178.44,2024-08-13
34.657589,17.766001,136.199997,5.53,-178.44,2024-08-13
34.636585,17.458,138.399994,5.53,-178.44,2024-08-13
34.613586,16.573999,140.600006,5.53,-178.44,2024-08-13
34.604584,16.129999,142.399994,5.53,-178.44,2024-08-13
34.577583,15.558,144.199997,5.53,-178.44,2024-08-13
34.577579,14.959,146.399994,5.53,-178.44,2024-08-13
34.552578,14.641,148.5,5.53,-178.44,2024-08-13
34.561577,14.004,150.5,5.53,-178.44,2024-08-13
34.55658,13.742,152.600006,5.53,-178.44,2024-08-13
34.555569,13.351,154.600006,5.53,-178.44,2024-08-13
34.557575,13.169,156.600006,5.53,-178.44,2024-08-13
34.557575,12.931,158.699997,5.53,-178.44,2024-08-13
34.564571,12.768,160.699997,5.53,-178.44,2024-08-13
34.563576,12.661,162.699997,5.53,-178.44,2024-08-13
34.56657,12.542,164.5,5.53,-178.44,2024-08-13
34.567574,12.48,166.199997,5.53,-178.44,2024-08-13
34.567574,12.392,168.199997,5.53,-178.44,2024-08-13
34.573578,12.133,170.199997,5.53,-178.44,2024-08-13
34.592575,11.86,172.300003,5.53,-178.44,2024-08-13
34.599571,11.717,174.399994,5.53,-178.44,2024-08-13
34.603573,11.596,176.600006,5.53,-178.44,2024-08-13
34.619576,11.434,178.399994,5.53,-178.44,2024-08-13
34.622578,11.34,180.300003,5.53,-178.44,2024-08-13
34.624577,11.272,182.5,5.53,-178.44,2024-08-13
34.631577,11.161,184.5,5.53,-178.44,2024-08-13
34.624573,10.858,186.399994,5.53,-178.44,2024-08-13
34.637573,10.727,188.399994,5.53,-178.44,2024-08-13
34.652576,10.708,190.399994,5.53,-178.44,2024-08-13
34.641579,10.621,192.399994,5.53,-178.44,2024-08-13
34.634579,10.533,194.399994,5.53,-178.44,2024-08-13
34.63158,10.462,196.399994,5.53,-178.44,2024-08-13
34.644577,10.421,198.399994,5.53,-178.44,2024-08-13
34.64658,10.384,200.5,5.53,-178.44,2024-08-13
34.646584,10.31,202.5,5.53,-178.44,2024-08-13
34.643578,10.181,204.600006,5.53,-178.44,2024-08-13
34.648586,10.134,206.300003,5.53,-178.44,2024-08-13
34.651585,10.118,208.399994,5.53,-178.44,2024-08-13
34.66058,10.103,210.5,5.53,-178.44,2024-08-13
34.662586,10.1,212.5,5.53,-178.44,2024-08-13
34.662586,10.076,214.699997,5.53,-178.44,2024-08-13
34.66259,10.052,216.399994,5.53,-178.44,2024-08-13
34.661591,10.041,218.199997,5.53,-178.44,2024-08-13
34.661591,10.03,220.399994,5.53,-178.44,2024-08-13
34.662594,10.007,222.600006,5.53,-178.44,2024-08-13
34.661591,9.995,224.300003,5.53,-178.44,2024-08-13
34.660595,9.975,226.5,5.53,-178.44,2024-08-13
34.656593,9.942,228.699997,5.53,-178.44,2024-08-13
34.657593,9.885,230.399994,5.53,-178.44,2024-08-13
34.656593,9.853,232.199997,5.53,-178.44,2024-08-13
34.653595,9.82,234.399994,5.53,-178.44,2024-08-13
34.652592,9.803,236.600006,5.53,-178.44,2024-08-13
34.652596,9.793,238.399994,5.53,-178.44,2024-08-13
34.648598,9.777,240.600006,5.53,-178.44,2024-08-13
34.6446,9.734,242.699997,5.53,-178.44,2024-08-13
34.645599,9.703,244.5,5.53,-178.44,2024-08-13
34.646603,9.69,246.300003,5.53,-178.44,2024-08-13
34.642601,9.646,248.399994,5.53,-178.44,2024-08-13
34.645599,9.618,250.600006,5.53,-178.44,2024-08-13
34.647606,9.615,252.399994,5.53,-178.44,2024-08-13
34.644604,9.543,254.5,5.53,-178.44,2024-08-13
34.647606,9.502,256.700012,5.53,-178.44,2024-08-13
34.645603,9.482,258.5,5.53,-178.44,2024-08-13
34.64661,9.464,260.200012,5.53,-178.44,2024-08-13
34.648609,9.438,262.299988,5.53,-178.44,2024-08-13
34.648609,9.4,264.600006,5.53,-178.44,2024-08-13
34.64761,9.381,266.299988,5.53,-178.44,2024-08-13
34.64661,9.369,268.399994,5.53,-178.44,2024-08-13
34.643608,9.341,270.600006,5.53,-178.44,2024-08-13
34.642612,9.299,272.299988,5.53,-178.44,2024-08-13
34.643612,9.284,274.399994,5.53,-178.44,2024-08-13
34.644611,9.281,276.600006,5.53,-178.44,2024-08-13
34.645615,9.281,278.299988,5.53,-178.44,2024-08-13
34.645615,9.273,280.399994,5.53,-178.44,2024-08-13
34.644619,9.255,282.600006,5.53,-178.44,2024-08-13
34.645615,9.232,284.200012,5.53,-178.44,2024-08-13
34.644619,9.214,286.299988,5.53,-178.44,2024-08-13
34.64362,9.198,288.399994,5.53,-178.44,2024-08-13
34.641621,9.166,290.5,5.53,-178.44,2024-08-13
34.641621,9.149,292.700012,5.53,-178.44,2024-08-13
34.639622,9.133,294.200012,5.53,-178.44,2024-08-13
34.639622,9.127,296.399994,5.53,-178.44,2024-08-13
34.638622,9.114,298.399994,5.53,-178.44,2024-08-13
34.637623,9.101,300.399994,5.53,-178.44,2024-08-13
34.636627,9.077,302.5,5.53,-178.44,2024-08-13
34.636627,9.056,304.5,5.53,-178.44,2024-08-13
