salinity,temperature,pressure,lat,lon,date
34.473999,29.702999,4.5,8.51,171.99,2024-08-13
34.476002,29.698999,6.2,8.51,171.99,2024-08-13
34.478001,29.697001,8.2,8.51,171.99,2024-08-13
34.478001,29.697001,10.2,8.51,171.99,2024-08-13
34.479,29.697001,12.2,8.51,171.99,2024-08-13
34.479,29.697001,14.2,8.51,171.99,2024-08-13
34.483002,29.688,16.200001,8.51,171.99,2024-08-13
34.486,29.679001,18.200001,8.51,171.99,2024-08-13
34.486,29.683001,20.200001,8.51,171.99,2024-08-13
34.485001,29.687,22.200001,8.51,171.99,2024-08-13
34.487,29.681999,24.200001,8.51,171.99,2024-08-13
34.488998,29.667999,26.200001,8.51,171.99,2024-08-13
34.484001,29.657,28.200001,8.51,171.99,2024-08-13
34.481998,29.652,30.200001,8.51,171.99,2024-08-13
34.473999,29.632999,32.200001,8.51,171.99,2024-08-13
34.469002,29.620001,34.200001,8.51,171.99,2024-08-13
34.478001,29.610001,36.200001,8.51,171.99,2024-08-13
34.508999,29.603001,38.200001,8.51,171.99,2024-08-13
34.527,29.597,40.200001,8.51,171.99,2024-08-13
34.540001,29.594999,42.200001,8.51,171.99,2024-08-13
34.547001,29.594,44.200001,8.51,171.99,2024-08-13
34.553001,29.587999,46.200001,8.51,171.99,2024-08-13
34.57,29.569,48.200001,8.51,171.99,2024-08-13
34.589001,29.537001,50.200001,8.51,171.99,2024-08-13
34.606998,29.524,52.200001,8.51,171.99,2024-08-13
34.643002,29.518999,54.200001,8.51,171.99,2024-08-13
34.644001,29.462,56.299999,8.51,171.99,2024-08-13
34.630001,29.311001,58.200001,8.51,171.99,2024-08-13
34.629002,28.92,60.299999,8.51,171.99,2024-08-13
34.624001,28.111,62.200001,8.51,171.99,2024-08-13
34.651001,27.608999,64.199997,8.51,171.99,2024-08-13
34.667,27.417999,66.099998,8.51,171.99,2024-08-13
34.737,27.146999,68.199997,8.51,171.99,2024-08-13
34.814999,26.878,70.199997,8.51,171.99,2024-08-13
34.834999,26.768999,72.199997,8.51,171.99,2024-08-13
34.835999,26.736,74.199997,8.51,171.99,2024-08-13
34.851002,26.559999,76.199997,8.51,171.99,2024-08-13
34.868,26.395,78.199997,8.51,171.99,2024-08-13
34.873001,26.263,80.199997,8.51,171.99,2024-08-13
34.879002,25.979,82.199997,8.51,171.99,2024-08-13
34.874001,25.716999,84.199997,8.51,171.99,2024-08-13
34.861,25.209,86.199997,8.51,171.99,2024-08-13
34.865002,24.658001,88.199997,8.51,171.99,2024-08-13
