salinity,temperature,pressure,lat,lon,date
35.299866,29.969999,4.6,-4.17,178.58,2024-08-20
35.299866,29.969999,5.6,-4.17,178.58,2024-08-20
35.299866,29.971001,6.5,-4.17,178.58,2024-08-20
35.299866,29.971001,7.5,-4.17,178.58,2024-08-20
35.29987,29.971001,8.5,-4.17,178.58,2024-08-20
35.29887,29.971001,9.4,-4.17,178.58,2024-08-20
35.29987,29.971001,10.5,-4.17,178.58,2024-08-20
35.299873,29.971001,12.3,-4.17,178.58,2024-08-20
35.299873,29.972,14.3,-4.17,178.58,2024-08-20
35.299873,29.971001,16.4,-4.17,178.58,2024-08-20
35.299881,29.972,18.5,-4.17,178.58,2024-08-20
35.299885,29.975,20.6,-4.17,178.58,2024-08-20
35.299881,29.976999,22.4,-4.17,178.58,2024-08-20
35.298885,29.976999,24.299999,-4.17,178.58,2024-08-20
35.298889,29.976999,26.5,-4.17,178.58,2024-08-20
35.298893,29.978001,28.5,-4.17,178.58,2024-08-20
35.298893,29.976999,30.5,-4.17,178.58,2024-08-20
35.298897,29.978001,32.599998,-4.17,178.58,2024-08-20
35.298901,29.978001,34.400002,-4.17,178.58,2024-08-20
35.2999,29.98,36.400002,-4.17,178.58,2024-08-20
35.2999,29.981001,38.599998,-4.17,178.58,2024-08-20
35.298908,29.981001,40.599998,-4.17,178.58,2024-08-20
35.298908,29.98,42.5,-4.17,178.58,2024-08-20
35.298916,29.979,44.5,-4.17,178.58,2024-08-20
35.299915,29.98,46.299999,-4.17,178.58,2024-08-20
35.299919,29.98,48.299999,-4.17,178.58,2024-08-20
35.299919,29.982,50.299999,-4.17,178.58,2024-08-20
35.299919,29.982,52.5,-4.17,178.58,2024-08-20
35.298923,29.982,54.599998,-4.17,178.58,2024-08-20
35.298923,29.981001,56.5,-4.17,178.58,2024-08-20
35.298923,29.982,58.5,-4.17,178.58,2024-08-20
35.298927,29.983999,60.5,-4.17,178.58,2024-08-20
35.299927,29.986,62.400002,-4.17,178.58,2024-08-20
35.299934,29.987,64.300003,-4.17,178.58,2024-08-20
35.298939,29.987,66.300003,-4.17,178.58,2024-08-20
35.298943,29.987,68.300003,-4.17,178.58,2024-08-20
35.298943,29.988001,70.400002,-4.17,178.58,2024-08-20
35.299942,29.989,72.400002,-4.17,178.58,2024-08-20
35.298946,29.99,74.5,-4.17,178.58,2024-08-20
35.299946,29.985001,76.400002,-4.17,178.58,2024-08-20
35.299946,29.983999,78.5,-4.17,178.58,2024-08-20
35.299953,29.983,80.400002,-4.17,178.58,2024-08-20
35.299953,29.981001,82.300003,-4.17,178.58,2024-08-20
35.298958,29.981001,84.300003,-4.17,178.58,2024-08-20
35.299961,29.981001,86.400002,-4.17,178.58,2024-08-20
35.305962,29.976999,88.599998,-4.17,178.58,2024-08-20
35.321964,29.973,90.5,-4.17,178.58,2024-08-20
35.341965,29.968,92.300003,-4.17,178.58,2024-08-20
35.385975,29.941999,94.400002,-4.17,178.58,2024-08-20
35.445969,29.855,96.599998,-4.17,178.58,2024-08-20
35.557968,29.732,98.5,-4.17,178.58,2024-08-20
35.607979,29.659,100.199997,-4.17,178.58,2024-08-20
35.681973,29.5,102.5,-4.17,178.58,2024-08-20
35.763985,29.297001,104.5,-4.17,178.58,2024-08-20
35.821983,29.028999,106.5,-4.17,178.58,2024-08-20
35.877979,28.823999,108.5,-4.17,178.58,2024-08-20
35.932983,28.59,110.300003,-4.17,178.58,2024-08-20
36.000984,28.198,112.5,-4.17,178.58,2024-08-20
36.031986,27.978001,114.599998,-4.17,178.58,2024-08-20
36.043987,27.862,116.5,-4.17,178.58,2024-08-20
36.067989,27.712999,118.300003,-4.17,178.58,2024-08-20
36.074993,27.607,120.599998,-4.17,178.58,2024-08-20
36.075993,27.403999,122.5,-4.17,178.58,2024-08-20
36.085995,27.052,124.199997,-4.17,178.58,2024-08-20
36.097,26.912001,126.400002,-4.17,178.58,2024-08-20
36.106998,26.739,128.699997,-4.17,178.58,2024-08-20
36.114002,26.608999,130.600006,-4.17,178.58,2024-08-20
36.135002,26.441999,132.600006,-4.17,178.58,2024-08-20
36.168003,26.237,134.5,-4.17,178.58,2024-08-20
36.210007,26.011999,136.399994,-4.17,178.58,2024-08-20
