salinity,temperature,pressure,lat,lon,date
35.247864,29.737,5.3,1.63,178.08,2024-08-18
35.247864,29.737,6.4,1.63,178.08,2024-08-18
35.247864,29.736,7.6,1.63,178.08,2024-08-18
35.247864,29.737,8.6,1.63,178.08,2024-08-18
35.247868,29.738001,9.6,1.63,178.08,2024-08-18
35.247868,29.738001,10.9,1.63,178.08,2024-08-18
35.247868,29.738001,12.6,1.63,178.08,2024-08-18
35.247871,29.735001,14.4,1.63,178.08,2024-08-18
35.247871,29.735001,16.4,1.63,178.08,2024-08-18
35.246872,29.732,18.6,1.63,178.08,2024-08-18
35.24688,29.732,20.5,1.63,178.08,2024-08-18
35.247883,29.733,22.5,1.63,178.08,2024-08-18
35.247887,29.733999,24.5,1.63,178.08,2024-08-18
35.246887,29.732,26.6,1.63,178.08,2024-08-18
35.245888,29.731001,28.6,1.63,178.08,2024-08-18
35.245892,29.728001,30.6,1.63,178.08,2024-08-18
35.244892,29.726,32.400002,1.63,178.08,2024-08-18
35.245899,29.726,34.299999,1.63,178.08,2024-08-18
35.2449,29.718,36.5,1.63,178.08,2024-08-18
35.2449,29.712999,38.5,1.63,178.08,2024-08-18
35.238903,29.674,40.400002,1.63,178.08,2024-08-18
35.237904,29.643999,42.400002,1.63,178.08,2024-08-18
35.234909,29.618999,44.599998,1.63,178.08,2024-08-18
35.23391,29.606001,46.5,1.63,178.08,2024-08-18
35.231911,29.589001,48.299999,1.63,178.08,2024-08-18
35.230915,29.573,50.400002,1.63,178.08,2024-08-18
35.225914,29.533001,52.599998,1.63,178.08,2024-08-18
35.221924,29.468,54.400002,1.63,178.08,2024-08-18
35.211922,29.362,56.400002,1.63,178.08,2024-08-18
35.203926,29.271999,58.400002,1.63,178.08,2024-08-18
35.189926,29.073999,60.5,1.63,178.08,2024-08-18
35.178921,28.893999,62.5,1.63,178.08,2024-08-18
35.159935,28.642,64.599998,1.63,178.08,2024-08-18
35.12793,28.047001,66.599998,1.63,178.08,2024-08-18
35.107929,27.775,68.599998,1.63,178.08,2024-08-18
35.078934,27.586,70.400002,1.63,178.08,2024-08-18
35.075935,27.488001,72.400002,1.63,178.08,2024-08-18
35.141937,27.593,74.5,1.63,178.08,2024-08-18
35.179935,27.674999,76.300003,1.63,178.08,2024-08-18
35.209938,27.726999,78.400002,1.63,178.08,2024-08-18
35.210941,27.556,80.5,1.63,178.08,2024-08-18
35.20594,27.445999,82.5,1.63,178.08,2024-08-18
35.205948,27.34,84.5,1.63,178.08,2024-08-18
35.207951,27.341999,86.300003,1.63,178.08,2024-08-18
35.203945,27.242001,88.400002,1.63,178.08,2024-08-18
35.212955,27.051001,90.5,1.63,178.08,2024-08-18
35.200958,26.908001,92.5,1.63,178.08,2024-08-18
35.200962,26.855,94.400002,1.63,178.08,2024-08-18
35.200962,26.841,96.300003,1.63,178.08,2024-08-18
35.201962,26.839001,98.300003,1.63,178.08,2024-08-18
35.203964,26.834999,100.199997,1.63,178.08,2024-08-18
35.210964,26.839001,102.199997,1.63,178.08,2024-08-18
35.212967,26.823999,104.400002,1.63,178.08,2024-08-18
35.213966,26.804001,106.5,1.63,178.08,2024-08-18
35.210968,26.743,108.300003,1.63,178.08,2024-08-18
35.210972,26.701,110.300003,1.63,178.08,2024-08-18
35.185978,26.556,112.5,1.63,178.08,2024-08-18
35.152977,26.296,114.5,1.63,178.08,2024-08-18
35.135983,26.252001,116.5,1.63,178.08,2024-08-18
35.085979,26.013,118.599998,1.63,178.08,2024-08-18
35.042984,25.787001,120.599998,1.63,178.08,2024-08-18
34.994984,25.485001,122.599998,1.63,178.08,2024-08-18
34.957985,25.264,124.599998,1.63,178.08,2024-08-18
34.944988,25.091999,126.5,1.63,178.08,2024-08-18
34.941986,25.065001,128.399994,1.63,178.08,2024-08-18
34.94899,25.040001,130.300003,1.63,178.08,2024-08-18
34.985992,24.639,132.399994,1.63,178.08,2024-08-18
35.024994,24.261999,134.5,1.63,178.08,2024-08-18
34.998997,24.052999,136.600006,1.63,178.08,2024-08-18
34.993996,23.716999,138.600006,1.63,178.08,2024-08-18
35.043999,23.483999,140.600006,1.63,178.08,2024-08-18
35.139999,22.999001,142.5,1.63,178.08,2024-08-18
35.150993,22.429001,144.399994,1.63,178.08,2024-08-18
35.118996,21.135,146.5,1.63,178.08,2024-08-18
35.05999,20.298,148.699997,1.63,178.08,2024-08-18
35.087994,19.999001,150.5,1.63,178.08,2024-08-18
35.181992,19.598,152.5,1.63,178.08,2024-08-18
35.18399,19.535999,154.399994,1.63,178.08,2024-08-18
35.176998,19.504,156.399994,1.63,178.08,2024-08-18
35.161003,19.365,158.399994,1.63,178.08,2024-08-18
35.143997,18.976,160.600006,1.63,178.08,2024-08-18
35.127003,18.698999,162.699997,1.63,178.08,2024-08-18
35.095001,18.419001,164.399994,1.63,178.08,2024-08-18
34.938004,17.486,166.199997,1.63,178.08,2024-08-18
34.884998,17.114,168.199997,1.63,178.08,2024-08-18
34.923004,17.177,170.5,1.63,178.08,2024-08-18
35.067005,17.457001,172.399994,1.63,178.08,2024-08-18
35.163006,17.669001,174.300003,1.63,178.08,2024-08-18
35.184017,17.708,176.600006,1.63,178.08,2024-08-18
35.148018,17.542999,178.5,1.63,178.08,2024-08-18
35.106014,17.311001,180.5,1.63,178.08,2024-08-18
35.079018,17.004,182.300003,1.63,178.08,2024-08-18
35.071022,16.752001,184.199997,1.63,178.08,2024-08-18
35.08802,16.525999,186.600006,1.63,178.08,2024-08-18
35.101021,16.323,188.600006,1.63,178.08,2024-08-18
35.086018,16.275999,190.600006,1.63,178.08,2024-08-18
35.070026,16.225,192.399994,1.63,178.08,2024-08-18
35.03302,16.1,194.399994,1.63,178.08,2024-08-18
34.989025,15.891,196.399994,1.63,178.08,2024-08-18
34.941025,15.575,198.300003,1.63,178.08,2024-08-18
34.923027,15.456,200.600006,1.63,178.08,2024-08-18
34.916031,15.378,202.5,1.63,178.08,2024-08-18
34.880032,15.197,204.399994,1.63,178.08,2024-08-18
34.819035,14.666,206.600006,1.63,178.08,2024-08-18
34.807034,14.467,208.600006,1.63,178.08,2024-08-18
34.787029,14.114,210.5,1.63,178.08,2024-08-18
34.729034,13.52,212.399994,1.63,178.08,2024-08-18
34.691029,13.312,214.199997,1.63,178.08,2024-08-18
34.630032,13.017,216.399994,1.63,178.08,2024-08-18
34.59103,12.428,218.399994,1.63,178.08,2024-08-18
34.564034,11.985,220.600006,1.63,178.08,2024-08-18
34.562038,11.856,222.699997,1.63,178.08,2024-08-18
34.564037,11.753,224.5,1.63,178.08,2024-08-18
34.576038,11.701,226.199997,1.63,178.08,2024-08-18
34.581039,11.674,228.300003,1.63,178.08,2024-08-18
34.602039,11.65,230.399994,1.63,178.08,2024-08-18
34.634045,11.608,232.600006,1.63,178.08,2024-08-18
34.738045,11.746,234.699997,1.63,178.08,2024-08-18
34.78405,11.756,236.399994,1.63,178.08,2024-08-18
34.795052,11.75,238.199997,1.63,178.08,2024-08-18
34.801056,11.75,240.199997,1.63,178.08,2024-08-18
34.806057,11.747,242.300003,1.63,178.08,2024-08-18
34.807056,11.737,244.399994,1.63,178.08,2024-08-18
34.807064,11.734,246.5,1.63,178.08,2024-08-18
34.808064,11.735,248.600006,1.63,178.08,2024-08-18
34.809063,11.737,250.699997,1.63,178.08,2024-08-18
34.808067,11.735,252.600006,1.63,178.08,2024-08-18
34.808067,11.73,254.300003,1.63,178.08,2024-08-18
34.806076,11.722,256.399994,1.63,178.08,2024-08-18
34.805073,11.717,258.600006,1.63,178.08,2024-08-18
34.804077,11.712,260.700012,1.63,178.08,2024-08-18
34.806084,11.712,262.600006,1.63,178.08,2024-08-18
34.804077,11.705,264.299988,1.63,178.08,2024-08-18
34.79808,11.68,266.399994,1.63,178.08,2024-08-18
34.794086,11.658,268.600006,1.63,178.08,2024-08-18
34.789085,11.637,270.5,1.63,178.08,2024-08-18
34.78009,11.6,272.200012,1.63,178.08,2024-08-18
34.782089,11.589,274.399994,1.63,178.08,2024-08-18
34.78109,11.583,276.700012,1.63,178.08,2024-08-18
34.784096,11.582,278.5,1.63,178.08,2024-08-18
34.783096,11.571,280.299988,1.63,178.08,2024-08-18
34.7831,11.555,282.5,1.63,178.08,2024-08-18
34.791103,11.555,284.600006,1.63,178.08,2024-08-18
34.792107,11.522,286.5,1.63,178.08,2024-08-18
34.792107,11.482,288.299988,1.63,178.08,2024-08-18
34.796108,11.453,290.399994,1.63,178.08,2024-08-18
34.798111,11.441,292.299988,1.63,178.08,2024-08-18
34.798111,11.441,294.200012,1.63,178.08,2024-08-18
34.802113,11.444,296.399994,1.63,178.08,2024-08-18
34.80212,11.43,298.600006,1.63,178.08,2024-08-18
34.80212,11.418,300.399994,1.63,178.08,2024-08-18
34.800125,11.406,302.200012,1.63,178.08,2024-08-18
34.803123,11.41,304.399994,1.63,178.08,2024-08-18
34.803123,11.4,306.600006,1.63,178.08,2024-08-18
34.803131,11.381,308.5,1.63,178.08,2024-08-18
