salinity,temperature,pressure,lat,lon,date
35.609001,28.079,0.28,-7.39,-154.02,2024-08-17
35.610001,28.073,0.92,-7.39,-154.02,2024-08-17
35.606998,28.07,1.92,-7.39,-154.02,2024-08-17
35.606998,28.07,2.96,-7.39,-154.02,2024-08-17
35.608002,28.061001,4.0,-7.39,-154.02,2024-08-17
35.606998,28.052999,4.92,-7.39,-154.02,2024-08-17
35.606998,28.048,6.0,-7.39,-154.02,2024-08-17
35.605999,28.045,7.0,-7.39,-154.02,2024-08-17
35.606998,28.047001,8.08,-7.39,-154.02,2024-08-17
35.606998,28.048,9.0,-7.39,-154.02,2024-08-17
35.608002,28.040001,10.24,-7.39,-154.02,2024-08-17
35.606998,28.031,11.96,-7.39,-154.02,2024-08-17
35.606998,28.027,13.92,-7.39,-154.02,2024-08-17
35.606998,28.021999,16.0,-7.39,-154.02,2024-08-17
35.606998,28.017,18.040001,-7.39,-154.02,2024-08-17
35.606998,28.011999,20.08,-7.39,-154.02,2024-08-17
35.606998,28.011,22.040001,-7.39,-154.02,2024-08-17
35.606998,28.007999,24.0,-7.39,-154.02,2024-08-17
35.606998,28.007,26.0,-7.39,-154.02,2024-08-17
35.606998,28.007,27.959999,-7.39,-154.02,2024-08-17
35.606998,28.007,29.959999,-7.39,-154.02,2024-08-17
35.606998,28.004,32.0,-7.39,-154.02,2024-08-17
35.606998,28.0,34.0,-7.39,-154.02,2024-08-17
35.606998,27.997,36.0,-7.39,-154.02,2024-08-17
35.606998,27.996,38.040001,-7.39,-154.02,2024-08-17
35.606998,27.995001,40.040001,-7.39,-154.02,2024-08-17
35.606998,27.993999,42.0,-7.39,-154.02,2024-08-17
35.606998,27.993999,43.959999,-7.39,-154.02,2024-08-17
35.608002,27.993,45.959999,-7.39,-154.02,2024-08-17
35.608002,27.992001,47.959999,-7.39,-154.02,2024-08-17
35.608002,27.99,49.959999,-7.39,-154.02,2024-08-17
35.611,27.983999,51.959999,-7.39,-154.02,2024-08-17
35.618999,27.965,54.040001,-7.39,-154.02,2024-08-17
35.622002,27.955,56.0,-7.39,-154.02,2024-08-17
35.623001,27.948,57.959999,-7.39,-154.02,2024-08-17
35.623001,27.941999,59.919998,-7.39,-154.02,2024-08-17
35.623001,27.934999,62.0,-7.39,-154.02,2024-08-17
35.622002,27.927999,64.040001,-7.39,-154.02,2024-08-17
35.622002,27.926001,66.0,-7.39,-154.02,2024-08-17
35.622002,27.922001,68.0,-7.39,-154.02,2024-08-17
35.622002,27.919001,69.959999,-7.39,-154.02,2024-08-17
35.622002,27.917999,72.040001,-7.39,-154.02,2024-08-17
35.622002,27.912001,74.040001,-7.39,-154.02,2024-08-17
35.622002,27.903,75.959999,-7.39,-154.02,2024-08-17
35.622002,27.895,77.959999,-7.39,-154.02,2024-08-17
35.620998,27.886999,79.959999,-7.39,-154.02,2024-08-17
35.620998,27.882,81.959999,-7.39,-154.02,2024-08-17
35.620998,27.879999,83.959999,-7.39,-154.02,2024-08-17
35.620998,27.881001,85.959999,-7.39,-154.02,2024-08-17
35.620998,27.881001,88.0,-7.39,-154.02,2024-08-17
35.620998,27.882,89.959999,-7.39,-154.02,2024-08-17
35.620998,27.882,91.959999,-7.39,-154.02,2024-08-17
35.620998,27.882,94.0,-7.39,-154.02,2024-08-17
35.620998,27.881001,95.959999,-7.39,-154.02,2024-08-17
35.620998,27.881001,98.040001,-7.39,-154.02,2024-08-17
35.620998,27.879999,100.0,-7.39,-154.02,2024-08-17
35.619999,27.872999,101.959999,-7.39,-154.02,2024-08-17
35.618999,27.851999,103.959999,-7.39,-154.02,2024-08-17
35.617001,27.843,106.040001,-7.39,-154.02,2024-08-17
35.617001,27.839001,108.0,-7.39,-154.02,2024-08-17
35.618,27.83,110.0,-7.39,-154.02,2024-08-17
35.624001,27.799999,111.959999,-7.39,-154.02,2024-08-17
35.625999,27.756001,113.959999,-7.39,-154.02,2024-08-17
35.626999,27.732,115.959999,-7.39,-154.02,2024-08-17
35.627998,27.712999,117.959999,-7.39,-154.02,2024-08-17
35.630001,27.695,119.959999,-7.39,-154.02,2024-08-17
35.636002,27.663,122.040001,-7.39,-154.02,2024-08-17
35.660999,27.461,124.0,-7.39,-154.02,2024-08-17
35.653,26.973,125.959999,-7.39,-154.02,2024-08-17
35.641998,26.514,128.0,-7.39,-154.02,2024-08-17
35.655998,26.284,130.080002,-7.39,-154.02,2024-08-17
35.674999,26.059999,132.039993,-7.39,-154.02,2024-08-17
35.68,26.025999,134.0,-7.39,-154.02,2024-08-17
35.695999,25.910999,135.960007,-7.39,-154.02,2024-08-17
35.726002,25.827999,137.960007,-7.39,-154.02,2024-08-17
35.752998,25.801001,140.240005,-7.39,-154.02,2024-08-17
35.757999,25.785999,141.919998,-7.39,-154.02,2024-08-17
35.803001,25.712,143.960007,-7.39,-154.02,2024-08-17
35.84,25.634001,146.0,-7.39,-154.02,2024-08-17
35.876999,25.535999,148.039993,-7.39,-154.02,2024-08-17
35.904999,25.468,149.960007,-7.39,-154.02,2024-08-17
36.023998,24.951,151.960007,-7.39,-154.02,2024-08-17
36.162998,24.330999,154.0,-7.39,-154.02,2024-08-17
36.174999,23.954,155.960007,-7.39,-154.02,2024-08-17
36.189999,23.499001,158.039993,-7.39,-154.02,2024-08-17
36.195999,23.306999,159.960007,-7.39,-154.02,2024-08-17
36.199001,23.080999,162.0,-7.39,-154.02,2024-08-17
36.195,22.948,164.039993,-7.39,-154.02,2024-08-17
36.194,22.823,166.0,-7.39,-154.02,2024-08-17
36.189999,22.733999,167.960007,-7.39,-154.02,2024-08-17
36.186001,22.559999,169.919998,-7.39,-154.02,2024-08-17
36.172001,22.408001,171.960007,-7.39,-154.02,2024-08-17
36.164001,22.353001,173.919998,-7.39,-154.02,2024-08-17
36.152,22.246,175.960007,-7.39,-154.02,2024-08-17
36.134998,22.068001,177.919998,-7.39,-154.02,2024-08-17
36.119999,21.927999,179.960007,-7.39,-154.02,2024-08-17
36.110001,21.858999,181.960007,-7.39,-154.02,2024-08-17
36.097,21.761999,183.919998,-7.39,-154.02,2024-08-17
36.073002,21.608,185.960007,-7.39,-154.02,2024-08-17
36.046001,21.464001,188.0,-7.39,-154.02,2024-08-17
36.023998,21.33,189.960007,-7.39,-154.02,2024-08-17
35.986,21.125,191.960007,-7.39,-154.02,2024-08-17
35.957001,20.965,194.0,-7.39,-154.02,2024-08-17
35.912998,20.750999,196.039993,-7.39,-154.02,2024-08-17
35.880001,20.527,198.039993,-7.39,-154.02,2024-08-17
35.819,20.214001,200.0,-7.39,-154.02,2024-08-17
35.780998,19.962999,202.0,-7.39,-154.02,2024-08-17
35.733002,19.688,204.0,-7.39,-154.02,2024-08-17
35.709999,19.502001,205.919998,-7.39,-154.02,2024-08-17
35.673,19.298,208.0,-7.39,-154.02,2024-08-17
35.664001,19.264,210.039993,-7.39,-154.02,2024-08-17
35.652,19.165001,212.0,-7.39,-154.02,2024-08-17
35.622002,18.955999,214.0,-7.39,-154.02,2024-08-17
35.580002,18.691,216.0,-7.39,-154.02,2024-08-17
35.549999,18.521999,218.0,-7.39,-154.02,2024-08-17
35.541,18.471001,220.039993,-7.39,-154.02,2024-08-17
35.516998,18.254,222.039993,-7.39,-154.02,2024-08-17
35.476002,17.955,224.039993,-7.39,-154.02,2024-08-17
35.451,17.743,226.0,-7.39,-154.02,2024-08-17
