salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
1.163,27.614,-0.4,229.217422,-6.82,-146.29,2024-08-17
1.163,27.614,-0.3,229.54837,-6.82,-146.29,2024-08-17
1.163,27.614,-0.2,217.805756,-6.82,-146.29,2024-08-17
1.163,27.614,-0.1,204.401077,-6.82,-146.29,2024-08-17
1.163,27.614,0.0,193.896118,-6.82,-146.29,2024-08-17
9.73275,27.67075,0.1,183.442139,-6.82,-146.29,2024-08-17
18.3025,27.727501,0.2,183.502472,-6.82,-146.29,2024-08-17
26.872252,27.78425,0.3,183.558868,-6.82,-146.29,2024-08-17
35.442001,27.841,0.4,,-6.82,-146.29,2024-08-17
35.442001,27.841,0.6,183.313629,-6.82,-146.29,2024-08-17
