salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
34.479,29.145,2.65,198.017929,9.25,177.46,2024-08-15
34.479,29.138,4.15,198.028519,9.25,177.46,2024-08-15
34.479,29.136,6.25,198.009995,9.25,177.46,2024-08-15
34.479,29.134001,8.25,198.050568,9.25,177.46,2024-08-15
34.479,29.132,10.25,198.069427,9.25,177.46,2024-08-15
34.479,29.132,12.25,197.96965,9.25,177.46,2024-08-15
34.479,29.132,14.25,198.077377,9.25,177.46,2024-08-15
34.479,29.132999,16.25,198.068985,9.25,177.46,2024-08-15
34.479,29.132999,18.25,198.058929,9.25,177.46,2024-08-15
34.479,29.134001,20.25,198.028061,9.25,177.46,2024-08-15
34.479,29.132999,22.25,198.040939,9.25,177.46,2024-08-15
34.479,29.132999,24.25,198.086731,9.25,177.46,2024-08-15
34.479,29.132999,26.25,197.978424,9.25,177.46,2024-08-15
34.479,29.132,28.25,197.991394,9.25,177.46,2024-08-15
34.479,29.134001,30.25,197.939499,9.25,177.46,2024-08-15
34.48,29.134001,32.25,197.963287,9.25,177.46,2024-08-15
34.48,29.135,34.25,197.896973,9.25,177.46,2024-08-15
34.48,29.134001,36.25,197.899353,9.25,177.46,2024-08-15
34.48,29.132999,38.25,197.939087,9.25,177.46,2024-08-15
34.48,29.132,40.25,197.802704,9.25,177.46,2024-08-15
34.48,29.132999,42.25,197.817856,9.25,177.46,2024-08-15
34.479,29.132999,44.25,197.844727,9.25,177.46,2024-08-15
34.479,29.132999,46.25,197.777481,9.25,177.46,2024-08-15
34.479,29.134001,48.25,197.821243,9.25,177.46,2024-08-15
34.48,29.132999,50.349998,197.722839,9.25,177.46,2024-08-15
34.486,28.753,52.450001,199.80574,9.25,177.46,2024-08-15
34.484001,28.812,54.650002,199.445465,9.25,177.46,2024-08-15
34.498001,28.306999,56.25,202.071228,9.25,177.46,2024-08-15
34.507,28.209999,58.049999,202.191116,9.25,177.46,2024-08-15
34.536999,27.968,60.25,203.125839,9.25,177.46,2024-08-15
34.549,27.834999,62.450001,203.583984,9.25,177.46,2024-08-15
34.818001,26.497,64.150002,209.627609,9.25,177.46,2024-08-15
34.918999,26.200001,66.25,209.486526,9.25,177.46,2024-08-15
34.922001,26.062,68.349998,209.015396,9.25,177.46,2024-08-15
34.917999,25.697001,70.050003,207.8508,9.25,177.46,2024-08-15
34.870998,25.042999,72.25,206.541,9.25,177.46,2024-08-15
34.858002,24.752001,74.25,206.674286,9.25,177.46,2024-08-15
34.855999,24.705999,76.150002,206.279999,9.25,177.46,2024-08-15
34.853001,24.555,78.25,205.930145,9.25,177.46,2024-08-15
34.849998,24.323,80.25,205.49321,9.25,177.46,2024-08-15
34.844002,24.098,82.25,205.243683,9.25,177.46,2024-08-15
34.835999,23.815001,84.349998,204.909637,9.25,177.46,2024-08-15
34.823002,23.344999,86.050003,202.386871,9.25,177.46,2024-08-15
34.823002,22.719999,88.150002,199.658661,9.25,177.46,2024-08-15
34.820999,22.438999,90.25,199.403671,9.25,177.46,2024-08-15
34.817001,22.309,92.25,199.045883,9.25,177.46,2024-08-15
34.810001,22.150999,94.25,198.388916,9.25,177.46,2024-08-15
34.803001,21.959999,96.349998,196.811722,9.25,177.46,2024-08-15
34.786999,21.524,98.25,192.551956,9.25,177.46,2024-08-15
34.762001,20.82,100.150002,187.841721,9.25,177.46,2024-08-15
34.754002,20.559,102.25,184.611008,9.25,177.46,2024-08-15
34.744999,20.299999,104.25,183.666061,9.25,177.46,2024-08-15
34.740002,20.261,106.25,181.666931,9.25,177.46,2024-08-15
34.729,20.131001,108.25,177.226242,9.25,177.46,2024-08-15
34.707001,19.612,110.25,172.077484,9.25,177.46,2024-08-15
34.682999,19.103001,112.25,168.049515,9.25,177.46,2024-08-15
34.668999,18.782,114.25,165.042877,9.25,177.46,2024-08-15
34.659,18.656,116.25,161.26712,9.25,177.46,2024-08-15
34.636002,18.226999,118.25,158.04039,9.25,177.46,2024-08-15
34.618999,17.872999,120.25,156.596069,9.25,177.46,2024-08-15
34.612,17.756001,122.25,154.796631,9.25,177.46,2024-08-15
34.601002,17.612,124.349998,151.888687,9.25,177.46,2024-08-15
34.585022,17.362589,125.669998,147.071075,9.25,177.46,2024-08-15
34.577999,17.253,126.25,,9.25,177.46,2024-08-15
34.570061,17.139147,126.769997,142.630539,9.25,177.46,2024-08-15
34.549,16.837,128.149994,136.463745,9.25,177.46,2024-08-15
34.515999,16.177999,130.25,128.682098,9.25,177.46,2024-08-15
34.497002,15.845,132.25,125.007988,9.25,177.46,2024-08-15
34.490002,15.714,134.25,120.904411,9.25,177.46,2024-08-15
34.483002,15.581,136.25,115.107582,9.25,177.46,2024-08-15
34.473999,15.204,138.25,110.417725,9.25,177.46,2024-08-15
34.467999,15.128,140.25,104.090492,9.25,177.46,2024-08-15
34.460999,14.844,142.25,95.026451,9.25,177.46,2024-08-15
34.451,14.42,144.25,86.884224,9.25,177.46,2024-08-15
34.467999,13.933,146.25,78.184639,9.25,177.46,2024-08-15
34.458,13.51,148.25,73.44278,9.25,177.46,2024-08-15
34.472,13.092,150.25,69.113609,9.25,177.46,2024-08-15
34.477001,12.822,152.25,67.814369,9.25,177.46,2024-08-15
34.478001,12.752,154.25,65.010437,9.25,177.46,2024-08-15
34.485001,12.671,156.25,58.425659,9.25,177.46,2024-08-15
34.508999,12.584,158.25,46.182014,9.25,177.46,2024-08-15
34.548,12.308,160.25,35.577919,9.25,177.46,2024-08-15
34.564999,12.129,162.25,30.673708,9.25,177.46,2024-08-15
34.584999,11.952,164.25,25.382456,9.25,177.46,2024-08-15
34.599998,11.828,166.25,22.378586,9.25,177.46,2024-08-15
34.612999,11.76,168.25,21.439777,9.25,177.46,2024-08-15
