id,platform,cycle,lat,lon,date
5905707_222,5905707,222,-12.62743,-167.34396,2024-08-21
7900845_060,7900845,60,-10.639,-106.614,2024-08-21
5906779_067,5906779,67,-12.9289,-141.20316,2024-08-21
3902367_055,3902367,55,2.9273,-142.5663,2024-08-21
5906302_144,5906302,144,0.826,-166.338,2024-08-21
6902927_198,6902927,198,-18.985013333333335,-179.37108833333335,2024-08-21
5907049_032,5907049,32,7.107,-160.317,2024-08-21
5906320_236,5906320,236,-17.988,-119.084,2024-08-21
2903857_010,2903857,10,18.325,-106.089,2024-08-21
3901817_521,3901817,521,-4.16203,-93.10903,2024-08-21
5906448_102,5906448,102,-18.2614,-119.0298,2024-08-21
5906731_107,5906731,107,-2.16736,-150.83039,2024-08-21
5906017_201,5906017,201,24.866,-123.14,2024-08-21
3902379_028,3902379,28,-5.71721,-95.72733,2024-08-21
5905696_224,5905696,224,-8.38767,-99.2494,2024-08-21
3902196_066,3902196,66,-14.71422,-119.68191,2024-08-21
5906842_026,5906842,26,-5.72197,-131.23177,2024-08-21
5905662_222,5905662,222,-13.695,-138.913,2024-08-21
5906476_097,5906476,97,6.0125,-146.3858,2024-08-21
3902293_065,3902293,65,-21.50025,-104.55627,2024-08-21
5905239_259,5905239,259,-23.18882,-148.11168,2024-08-21
4903543_088,4903543,88,22.02439,-95.87516,2024-08-21
3902355_060,3902355,60,-18.9119,-147.6305,2024-08-21
5904642_326,5904642,326,-15.621,-143.028,2024-08-21
5904946_267,5904946,267,-2.3132,-178.4819,2024-08-21
6902859_225,6902859,225,-8.98573,-138.81641166666665,2024-08-21
5904612_325,5904612,325,-15.789,-132.633,2024-08-21
4903507_044,4903507,44,24.8405,-158.2876,2024-08-21
5906680_115,5906680,115,11.4853,-141.9218,2024-08-21
5906693_090,5906693,90,1.6477,-110.7949,2024-08-21
5907056_010,5907056,10,18.704,-105.308,2024-08-21
5906824_070,5906824,70,-0.1753,-169.7562,2024-08-21
4902948_252,4902948,252,16.4851,-151.2648,2024-08-21
4903393_089,4903393,89,-3.3172,-149.4483,2024-08-21
4902999_231,4902999,231,2.7567,-113.931,2024-08-21
3901801_224,3901801,224,-10.69052,-131.02113,2024-08-21
5905340_247,5905340,247,-20.803,-112.098,2024-08-21
5905796_201,5905796,201,18.61596,-175.74267,2024-08-21
4902949_252,4902949,252,16.0005,-136.724,2024-08-21
5904972_277,5904972,277,-3.8882,-145.0842,2024-08-21
5906097_192,5906097,192,-5.6166,-130.1289,2024-08-21
2903463_046,2903463,46,2.1766,-101.0542,2024-08-21
3901299_216,3901299,216,2.0568,-114.4529,2024-08-21
4903192_131,4903192,131,3.2634,-104.8479,2024-08-21
4902947_258,4902947,258,28.7876,-135.4393,2024-08-21
3902140_239,3902140,239,-21.6093,-85.5511,2024-08-21
5906843_022,5906843,22,6.07898,-153.39066,2024-08-21
3902296_065,3902296,65,-21.42305,-115.32343,2024-08-21
3902138_239,3902138,239,-19.48295,-102.23648,2024-08-21
5905537_059,5905537,59,-25.28292710376649,-155.42955785062767,2024-08-21
5906815_080,5906815,80,24.0691,-150.2186,2024-08-21
5906163_177,5906163,177,0.1647,-90.3193,2024-08-21
3901290_281,3901290,281,-20.3509,-101.6137,2024-08-21
1902641_011,1902641,11,3.265,-84.338,2024-08-21
7902102_006,7902102,6,-1.3599,-94.2138,2024-08-21
5905265_250,5905265,250,-19.54075,-166.50136,2024-08-21
3902359_058,3902359,58,-24.0806,-157.2222,2024-08-21
6902922_199,6902922,199,-8.520821666666667,-142.19386833333334,2024-08-21
1902501_011,1902501,11,-6.7,-89.4384,2024-08-21
5906023_203,5906023,203,8.693,-96.387,2024-08-21
6902925_199,6902925,199,-7.077553333333333,-109.77238833333334,2024-08-21
3902369_056,3902369,56,6.2611,-135.7024,2024-08-21
4903547_088,4903547,88,22.56607,-95.8015,2024-08-21
6902961_171,6902961,171,-10.030931666666667,-83.26967,2024-08-21
5905966_218,5905966,218,-15.489,-176.068,2024-08-21
5905765_447,5905765,447,-3.75521,-179.51923,2024-08-21
7900840_061,7900840,61,-13.666,-129.55,2024-08-21
3902295_065,3902295,65,-19.96882,-110.35053,2024-08-20
5906755_104,5906755,104,9.90751,-141.45902,2024-08-20
5906012_207,5906012,207,0.836,-89.749,2024-08-20
3902292_065,3902292,65,-19.79116,-101.20438,2024-08-20
1902685_065,1902685,65,19.920394333333334,-156.78423066666667,2024-08-20
5906681_128D,5906681_,128,6.53125,-173.46161,2024-08-20
6902907_277D,6902907_,277,-7.192145,-124.43082833333334,2024-08-20
5906570_062,5906570,62,-26.9893,-150.1682,2024-08-20
6902907_276,6902907,276,-7.190506666666667,-124.42769666666666,2024-08-20
4902901_281,4902901,281,-19.7308,-93.4371,2024-08-20
5905791_221,5905791,221,21.21379,-173.77783,2024-08-20
1902197_217,1902197,217,0.8055,-167.4253,2024-08-20
3901794_250,3901794,250,-23.67846,-105.46575,2024-08-20
5905349_247,5905349,247,-21.785,-118.103,2024-08-20
3902358_058,3902358,58,-19.5035,-155.9055,2024-08-20
5905763_229D,5905763_,229,-25.11236,-163.84184,2024-08-20
5905270_242,5905270,242,22.2177,-141.5561,2024-08-20
5905763_228,5905763,228,-25.11328,-163.84561,2024-08-20
4902319_293,4902319,293,8.00554,-102.08851,2024-08-20
7900837_062,7900837,62,-21.0535,-146.2405,2024-08-20
3902291_065,3902291,65,-19.76814,-101.68427,2024-08-20
5906131_173,5906131,173,-26.07398,-145.74767,2024-08-20
5905670_221,5905670,221,5.9459,-172.2901,2024-08-20
5905315_221,5905315,221,1.3281,-140.0916,2024-08-20
5905275_243,5905275,243,16.76309,-156.92719,2024-08-20
5906475_096,5906475,96,6.3992,-136.9749,2024-08-20
5904863_296,5904863,296,0.2442,-171.387,2024-08-20
5905746_157,5905746,157,12.6318,-154.4922,2024-08-20
4903546_088,4903546,88,22.81272,-96.15643,2024-08-20
5905118_255,5905118,255,-28.532,-123.211,2024-08-20
5906677_115,5906677,115,11.2879,-167.0983,2024-08-20
4902907_277,4902907,277,1.186,-143.353,2024-08-20
5906825_070,5906825,70,3.1996,-160.5375,2024-08-20
5906691_089,5906691,89,-5.338,-116.3825,2024-08-20
4903386_090,4903386,90,6.1076,-132.0901,2024-08-20
5906791_064,5906791,64,-19.87135,-151.45494,2024-08-20
5905717_221,5905717,221,-5.37219,-173.43564,2024-08-20
5906703_111,5906703,111,-10.98426,-175.58637,2024-08-20
5906134_173,5906134,173,-25.9358,-141.61368,2024-08-20
4903173_214,4903173,214,23.3568,-134.8416,2024-08-20
5905669_216,5905669,216,-2.1885,-155.3815,2024-08-20
4903194_199,4903194,199,20.2689,-128.1348,2024-08-20
3902381_028,3902381,28,-9.27077,-82.02986,2024-08-20
6902923_199,6902923,199,-8.627566666666667,-132.86349833333333,2024-08-20
4902905_279,4902905,279,18.4728,-116.8185,2024-08-20
5906132_173,5906132,173,-28.84514,-134.54134,2024-08-20
5906162_179,5906162,179,9.3338,-134.0747,2024-08-20
5906845_026,5906845,26,-0.83308,-146.40713,2024-08-20
1902270_150,1902270,150,10.9612,-110.7617,2024-08-20
5906404_181,5906404,181,5.82182,-117.86899,2024-08-20
3901799_224,3901799,224,-10.71723,-97.91732,2024-08-20
5906793_066,5906793,66,-24.49491,-158.35465,2024-08-20
4903197_199,4903197,199,18.0028,-130.9287,2024-08-20
3902212_175,3902212,175,27.7446,-131.2986,2024-08-20
5906022_204,5906022,204,9.131,-121.85,2024-08-20
6902921_199,6902921,199,-1.38246,-94.504925,2024-08-20
5907062_036,5907062,36,1.4739,-175.4233,2024-08-20
5906548_063,5906548,63,-2.936,-131.5895,2024-08-20
5905838_208,5905838,208,-0.705,-112.395,2024-08-20
5905260_347,5905260,347,-17.1033,-139.68932,2024-08-19
5906406_140,5906406,140,-17.07469,-165.42788,2024-08-19
4902318_282,4902318,282,4.5939,-116.14555,2024-08-19
6903002_170,6903002,170,-3.2465183333333334,-81.96869,2024-08-19
6903003_170,6903003,170,-3.0576583333333334,-85.969135,2024-08-19
3902250_155,3902250,155,-20.03977,-83.75301,2024-08-19
3901796_249,3901796,249,-23.7646,-113.93613,2024-08-19
3902365_055,3902365,55,-4.0013,-118.9673,2024-08-19
7902104_005,7902104,5,11.5732,-99.7617,2024-08-19
1902642_010,1902642,10,12.188,-104.018,2024-08-19
5905274_243,5905274,243,15.36572,-165.64334,2024-08-19
5906055_169,5906055,169,-28.966,-135.633,2024-08-19
5906841_022,5906841,22,-0.35221,-171.02128,2024-08-19
3901802_224,3901802,224,-9.50147,-111.30424,2024-08-19
5906470_098,5906470,98,18.8658,-149.8631,2024-08-19
5906564_065,5906564,65,7.8708,-163.7909,2024-08-19
4903562_053,4903562,53,20.5192,-86.396,2024-08-19
4903559_053,4903559,53,19.13888,-82.97633,2024-08-19
3902311_016,3902311,16,5.54491,-97.94968,2024-08-19
5906822_070,5906822,70,3.5908,-153.9426,2024-08-19
5906692_090,5906692,90,7.2615,-127.1914,2024-08-19
3902385_028,3902385,28,-8.45555,-85.60583,2024-08-19
5905714_221,5905714,221,-13.73246,-175.01902,2024-08-19
5906674_107,5906674,107,-7.3561,-157.9122,2024-08-19
5904974_276,5904974,276,-2.6023,-133.2666,2024-08-19
5905290_219,5905290,219,-3.7824,-120.1382,2024-08-19
5906814_079,5906814,79,21.8642,-146.5446,2024-08-19
3902320_103,3902320,103,7.8035,-123.4272,2024-08-19
5906088_107,5906088,107,16.7219,-106.368,2024-08-19
3902353_059,3902353,59,-20.3799,-124.6104,2024-08-19
5906081_169,5906081,169,-28.929,-136.89,2024-08-19
5906566_063,5906566,63,-26.0889,-155.0157,2024-08-19
4902935_258,4902935,258,25.9953,-134.9724,2024-08-19
1902489_011,1902489,11,1.1424,-85.7443,2024-08-19
5905317_247,5905317,247,-23.734,-114.262,2024-08-19
5906747_113D,5906747_,113,-1.21219,-166.60198,2024-08-19
3901269_317,3901269,317,-17.1183,-97.10464,2024-08-19
5906747_112,5906747,112,-1.21289,-166.60097,2024-08-19
3902318_106,3902318,106,-16.8106,-116.9185,2024-08-19
5906303_144,5906303,144,2.956,-173.979,2024-08-19
2903462_046,2903462,46,-0.1359,-105.4141,2024-08-19
4903240_383,4903240,383,23.82265,-95.66378,2024-08-19
5906790_064,5906790,64,-21.55231,-142.38162,2024-08-19
7900836_062,7900836,62,-26.0444,-144.7681,2024-08-19
3901995_206,3901995,206,-21.816575,-158.69835166666667,2024-08-19
5906683_121D,5906683_,121,-1.34722,-165.7084,2024-08-19
5906789_064,5906789,64,-19.08587,-135.66534,2024-08-19
5906840_026,5906840,26,1.56761,-133.99784,2024-08-19
1902518_013,1902518,13,-3.13755,-95.00451,2024-08-19
3901797_224,3901797,224,-12.33172,-120.55538,2024-08-18
5905705_222,5905705,222,-13.60495,-171.29857,2024-08-18
3901789_257,3901789,257,-20.91969,-97.63206,2024-08-18
5905297_217,5905297,217,3.1372,-137.325,2024-08-18
7900844_060,7900844,60,-13.6121,-113.049,2024-08-18
3902561_059,3902561,59,15.3734,-147.926,2024-08-18
4903753_010,4903753,10,9.925,-100.338,2024-08-18
5905658_222,5905658,222,-14.909,-147.779,2024-08-18
5906321_137,5906321,137,-15.56,-103.738,2024-08-18
3901798_224,3901798,224,-14.13758,-122.17053,2024-08-18
3902290_065,3902290,65,-17.8689,-93.3969,2024-08-18
5905345_247,5905345,247,-21.666,-105.319,2024-08-18
6902906_245D,6902906_,245,-6.785943333333333,-114.75637,2024-08-18
3901803_290,3901803,290,-10.06912,-119.25494,2024-08-18
5905765_446,5905765,446,-3.71118,-179.40749,2024-08-18
6903005_111,6903005,111,-16.164755,-82.52576333333333,2024-08-18
5905738_261D,5905738_,261,13.40276,-155.15077,2024-08-18
6902906_244,6902906,244,-6.787921666666667,-114.75609833333333,2024-08-18
3901806_066,3901806,66,-13.21718,-126.24458,2024-08-18
4903232_386,4903232,386,23.64242,-96.76328,2024-08-18
3901287_282,3901287,282,-18.2831,-95.2159,2024-08-18
5905295_253,5905295,253,-2.138,-135.3163,2024-08-18
5905291_253,5905291,253,0.6668,-123.7439,2024-08-18
3901246_350,3901246,350,-8.66143,-118.68197,2024-08-18
4903397_090,4903397,90,11.334,-121.5088,2024-08-18
5905748_215,5905748,215,4.0424,-96.8393,2024-08-18
4902906_277,4902906,277,1.2056,-162.6976,2024-08-18
5906576_059,5906576,59,-19.4786,-109.4868,2024-08-18
5904976_274,5904976,274,27.383,-143.102,2024-08-18
5906794_089,5906794,89,-7.1616,-129.7249,2024-08-18
5905666_222,5905666,222,-15.756,-160.199,2024-08-18
4902476_194,4902476,194,7.7958083152771,-83.33191680908203,2024-08-18
1902282_104,1902282,104,17.2783,-121.1823,2024-08-18
5906164_179,5906164,179,14.2446,-137.4201,2024-08-18
3901303_231,3901303,231,-0.052,-105.4709,2024-08-18
4903174_214,4903174,214,20.3571,-155.202,2024-08-18
3901805_066,3901805,66,-12.25769,-124.6508,2024-08-18
4903177_212,4903177,212,1.3229,-153.3224,2024-08-18
1902654_032,1902654,32,0.253,-152.989,2024-08-18
4903175_213,4903175,213,18.4298,-157.3372,2024-08-18
4903323_150,4903323,150,-2.2345,-92.0629,2024-08-18
5906787_064,5906787,64,-19.04918,-130.19053,2024-08-18
4902329_255,4902329,255,17.58892,-117.6775,2024-08-18
6902857_226,6902857,226,-7.896796666666667,-148.976035,2024-08-18
5906682_129D,5906682_,129,1.28516,-168.67762,2024-08-18
7901106_107,7901106,107,23.6101,-162.2989,2024-08-18
5906890_063,5906890,63,-23.21476,-166.06426,2024-08-18
5906889_063,5906889,63,-24.28771,-159.57592,2024-08-18
6902963_199,6902963,199,-8.56829,-85.53875666666667,2024-08-18
2903450_053,2903450,53,5.0577,-175.8009,2024-08-18
6902996_155,6902996,155,-20.569293333333334,-83.32461,2024-08-18
3902299_059,3902299,59,3.87117,-92.74925,2024-08-18
3902373_053,3902373,53,15.2265,-161.2885,2024-08-18
5906846_022,5906846,22,-7.39104,-154.0181,2024-08-17
3901795_253,3901795,253,-20.03284,-132.14322,2024-08-17
5906401_143,5906401,143,5.24916,-114.46424,2024-08-17
5906753_112,5906753,112,13.05703,-140.89074,2024-08-17
5905703_223,5905703,223,-12.08508,-139.84456,2024-08-17
3901252_313,3901252,313,-19.55507,-97.11292,2024-08-17
5905855_201,5905855,201,17.729,-161.697,2024-08-17
5905870_104,5905870,104,18.985,-178.686,2024-08-17
6903000_170,6903000,170,-12.174988333333333,-82.67962,2024-08-17
3902352_059,3902352,59,-21.8856,-115.1991,2024-08-17
5906322_137,5906322,137,-19.228,-96.2,2024-08-17
5905256_249,5905256,249,-21.34072,-125.60677,2024-08-17
4902352_300,4902352,300,24.03806,-96.55178,2024-08-17
3902301_059,3902301,59,0.80785,-99.39389,2024-08-17
5905704_222,5905704,222,-12.23634,-153.2254,2024-08-17
5905115_256,5905115,256,-26.094,-153.831,2024-08-17
3902300_059,3902300,59,1.13087,-87.62412,2024-08-17
4902908_280,4902908,280,21.0578,-108.1565,2024-08-17
7900838_061,7900838,61,-15.2386,-156.8307,2024-08-17
5906701_111,5906701,111,-7.90581,-168.08545,2024-08-17
7900877_031,7900877,31,25.764,-154.914,2024-08-17
5906835_050,5906835,50,5.5275,-132.1113,2024-08-17
1902517_013,1902517,13,-5.11861,-88.96409,2024-08-17
5905745_157,5905745,157,8.0754,-143.0731,2024-08-17
1902649_057,1902649,57,17.9532,-155.532,2024-08-17
5905842_121,5905842,121,-6.272,-151.031,2024-08-17
4903389_108,4903389,108,-1.7892,-161.9868,2024-08-17
5905673_220,5905673,220,2.1769,-166.759,2024-08-17
5905296_254,5905296,254,3.1544,-150.7733,2024-08-17
5906784_066,5906784,66,-12.67365,-132.45024,2024-08-17
5906823_070,5906823,70,8.1497,-150.7312,2024-08-17
5906403_143,5906403,143,9.59726,-136.48937,2024-08-17
5905712_221,5905712,221,-10.70016,-172.53274,2024-08-17
