salinity,temperature,pressure,lat,lon,date
34.778549,26.586,4.36,-2.51,-90.72,2017-04-14
34.77869,26.15,6.06,-2.51,-90.72,2017-04-14
34.793583,26.006001,8.06,-2.51,-90.72,2017-04-14
34.837566,25.723,10.06,-2.51,-90.72,2017-04-14
34.915749,25.176001,12.06,-2.51,-90.72,2017-04-14
34.966225,24.712999,14.06,-2.51,-90.72,2017-04-14
34.961475,24.628,16.059999,-2.51,-90.72,2017-04-14
34.959518,24.489,18.059999,-2.51,-90.72,2017-04-14
34.954491,24.429001,20.059999,-2.51,-90.72,2017-04-14
34.975822,24.448,22.059999,-2.51,-90.72,2017-04-14
34.984856,24.455,24.059999,-2.51,-90.72,2017-04-14
34.997547,24.461,26.059999,-2.51,-90.72,2017-04-14
35.015282,24.483,28.059999,-2.51,-90.72,2017-04-14
35.026764,24.410999,30.059999,-2.51,-90.72,2017-04-14
35.034187,24.042999,32.060001,-2.51,-90.72,2017-04-14
35.060711,23.827,34.060001,-2.51,-90.72,2017-04-14
35.064903,23.615999,36.060001,-2.51,-90.72,2017-04-14
34.935444,23.266001,38.060001,-2.51,-90.72,2017-04-14
35.028164,23.056999,40.060001,-2.51,-90.72,2017-04-14
35.004116,22.927,42.060001,-2.51,-90.72,2017-04-14
34.980236,22.801001,44.060001,-2.51,-90.72,2017-04-14
34.980579,22.672001,46.060001,-2.51,-90.72,2017-04-14
34.988327,22.589001,48.060001,-2.51,-90.72,2017-04-14
35.105072,22.521,50.16,-2.51,-90.72,2017-04-14
35.360779,22.235001,51.960003,-2.51,-90.72,2017-04-14
35.398617,20.489,54.060001,-2.51,-90.72,2017-04-14
35.331902,19.681,56.060001,-2.51,-90.72,2017-04-14
35.310585,19.256001,58.060001,-2.51,-90.72,2017-04-14
35.298378,18.943001,60.060001,-2.51,-90.72,2017-04-14
35.274853,18.531,62.060001,-2.51,-90.72,2017-04-14
35.252274,18.188,64.059998,-2.51,-90.72,2017-04-14
35.230873,17.900999,66.059998,-2.51,-90.72,2017-04-14
35.216721,17.664,68.059998,-2.51,-90.72,2017-04-14
35.196663,17.386999,70.059998,-2.51,-90.72,2017-04-14
35.18676,17.264,72.059998,-2.51,-90.72,2017-04-14
35.179676,17.205999,74.059998,-2.51,-90.72,2017-04-14
35.173943,17.118,76.059998,-2.51,-90.72,2017-04-14
35.167614,17.028999,78.059998,-2.51,-90.72,2017-04-14
35.165627,16.893,80.059998,-2.51,-90.72,2017-04-14
35.149841,16.540001,82.059998,-2.51,-90.72,2017-04-14
35.129944,16.202999,84.059998,-2.51,-90.72,2017-04-14
35.128487,16.122999,86.059998,-2.51,-90.72,2017-04-14
35.127922,16.084,88.059998,-2.51,-90.72,2017-04-14
35.129681,16.062,90.059998,-2.51,-90.72,2017-04-14
35.130119,16.024,92.059998,-2.51,-90.72,2017-04-14
35.128227,15.974,94.059998,-2.51,-90.72,2017-04-14
35.127998,15.945,96.059998,-2.51,-90.72,2017-04-14
35.127159,15.92,98.059998,-2.51,-90.72,2017-04-14
35.128181,15.916,100.059998,-2.51,-90.72,2017-04-14
35.129059,15.911,102.059998,-2.51,-90.72,2017-04-14
35.129997,15.909,104.059998,-2.51,-90.72,2017-04-14
35.130966,15.908,106.059998,-2.51,-90.72,2017-04-14
35.131943,15.908,108.059998,-2.51,-90.72,2017-04-14
35.132977,15.909,110.059998,-2.51,-90.72,2017-04-14
35.132938,15.909,112.059998,-2.51,-90.72,2017-04-14
35.133965,15.91,114.059998,-2.51,-90.72,2017-04-14
35.133976,15.91,116.059998,-2.51,-90.72,2017-04-14
35.135036,15.91,118.059998,-2.51,-90.72,2017-04-14
35.135036,15.909,120.059998,-2.51,-90.72,2017-04-14
35.135326,15.908,122.059998,-2.51,-90.72,2017-04-14
35.136219,15.899,124.059998,-2.51,-90.72,2017-04-14
35.136562,15.893,126.059998,-2.51,-90.72,2017-04-14
35.136909,15.878,128.059998,-2.51,-90.72,2017-04-14
35.13446,15.853,130.059998,-2.51,-90.72,2017-04-14
35.135242,15.84,132.059998,-2.51,-90.72,2017-04-14
35.136127,15.833,134.059998,-2.51,-90.72,2017-04-14
35.137516,15.829,136.059998,-2.51,-90.72,2017-04-14
35.136299,15.816,138.059998,-2.51,-90.72,2017-04-14
35.132683,15.782,140.059998,-2.51,-90.72,2017-04-14
35.126255,15.735,142.059998,-2.51,-90.72,2017-04-14
35.120972,15.702,144.059998,-2.51,-90.72,2017-04-14
35.116131,15.651,146.059998,-2.51,-90.72,2017-04-14
35.102436,15.563,148.059998,-2.51,-90.72,2017-04-14
35.095116,15.521,150.059998,-2.51,-90.72,2017-04-14
35.090317,15.488,152.059998,-2.51,-90.72,2017-04-14
35.088413,15.477,154.059998,-2.51,-90.72,2017-04-14
35.086319,15.464,156.059998,-2.51,-90.72,2017-04-14
35.084656,15.453,158.059998,-2.51,-90.72,2017-04-14
35.082325,15.43,160.059998,-2.51,-90.72,2017-04-14
35.102127,15.452,162.059998,-2.51,-90.72,2017-04-14
35.103615,15.447,164.059998,-2.51,-90.72,2017-04-14
35.089458,15.386,166.059998,-2.51,-90.72,2017-04-14
35.088333,15.369,168.059998,-2.51,-90.72,2017-04-14
35.09333,15.357,170.059998,-2.51,-90.72,2017-04-14
35.086689,15.276,172.059998,-2.51,-90.72,2017-04-14
