salinity,temperature,pressure,lat,lon,date
34.859116,28.562,4.3,2.23,-114.99,2017-04-08
34.858109,28.521999,6.1,2.23,-114.99,2017-04-08
34.858097,28.496,8.1,2.23,-114.99,2017-04-08
34.85611,28.478001,10.1,2.23,-114.99,2017-04-08
34.856113,28.469,12.1,2.23,-114.99,2017-04-08
34.852116,28.452999,14.1,2.23,-114.99,2017-04-08
34.849113,28.436001,16.1,2.23,-114.99,2017-04-08
34.845116,28.413,18.1,2.23,-114.99,2017-04-08
34.84111,28.395,20.1,2.23,-114.99,2017-04-08
34.828121,28.343,22.1,2.23,-114.99,2017-04-08
34.801128,28.232,24.300001,2.23,-114.99,2017-04-08
34.619148,27.207001,26.300001,2.23,-114.99,2017-04-08
34.547176,24.968,27.800001,2.23,-114.99,2017-04-08
34.664162,23.245001,30.1,2.23,-114.99,2017-04-08
34.705158,22.606001,32.099998,2.23,-114.99,2017-04-08
34.72916,21.905001,34.399998,2.23,-114.99,2017-04-08
34.733147,21.712,36.0,2.23,-114.99,2017-04-08
34.765148,21.025999,38.099998,2.23,-114.99,2017-04-08
34.782135,20.084,40.199997,2.23,-114.99,2017-04-08
34.78215,19.677,41.899998,2.23,-114.99,2017-04-08
34.83115,18.851,44.099998,2.23,-114.99,2017-04-08
34.863129,18.462,46.099998,2.23,-114.99,2017-04-08
34.863125,18.153999,48.099998,2.23,-114.99,2017-04-08
34.880127,17.688999,50.199997,2.23,-114.99,2017-04-08
34.890133,17.444,52.199997,2.23,-114.99,2017-04-08
34.907135,17.194,54.0,2.23,-114.99,2017-04-08
34.949131,16.681999,56.0,2.23,-114.99,2017-04-08
34.970123,16.343,58.0,2.23,-114.99,2017-04-08
34.964134,16.065001,60.099998,2.23,-114.99,2017-04-08
34.968109,15.89,62.099998,2.23,-114.99,2017-04-08
34.966099,15.856,64.099998,2.23,-114.99,2017-04-08
34.965103,15.641,66.099998,2.23,-114.99,2017-04-08
34.969128,15.33,68.099998,2.23,-114.99,2017-04-08
34.970116,15.121,70.099998,2.23,-114.99,2017-04-08
34.96814,14.988,72.099998,2.23,-114.99,2017-04-08
34.965118,14.956,74.099998,2.23,-114.99,2017-04-08
34.961128,14.91,76.099998,2.23,-114.99,2017-04-08
34.956127,14.756,78.099998,2.23,-114.99,2017-04-08
34.95211,14.584,80.099998,2.23,-114.99,2017-04-08
34.952126,14.383,82.099998,2.23,-114.99,2017-04-08
34.952126,14.307,84.099998,2.23,-114.99,2017-04-08
34.952126,14.258,86.099998,2.23,-114.99,2017-04-08
34.951134,14.197,88.099998,2.23,-114.99,2017-04-08
34.949123,14.143,90.099998,2.23,-114.99,2017-04-08
34.947132,14.089,92.099998,2.23,-114.99,2017-04-08
34.945122,14.034,94.099998,2.23,-114.99,2017-04-08
34.943127,13.915,96.099998,2.23,-114.99,2017-04-08
34.942135,13.864,98.099998,2.23,-114.99,2017-04-08
34.941132,13.839,100.099998,2.23,-114.99,2017-04-08
34.939133,13.812,102.099998,2.23,-114.99,2017-04-08
34.936138,13.772,104.099998,2.23,-114.99,2017-04-08
34.933125,13.715,106.099998,2.23,-114.99,2017-04-08
34.92915,13.637,108.099998,2.23,-114.99,2017-04-08
34.926125,13.508,110.099998,2.23,-114.99,2017-04-08
34.921139,13.421,112.099998,2.23,-114.99,2017-04-08
34.917145,13.362,114.099998,2.23,-114.99,2017-04-08
34.915138,13.34,116.099998,2.23,-114.99,2017-04-08
34.913139,13.315,118.099998,2.23,-114.99,2017-04-08
34.909138,13.285,120.099998,2.23,-114.99,2017-04-08
34.905159,13.223,122.099998,2.23,-114.99,2017-04-08
34.902145,13.122,124.099998,2.23,-114.99,2017-04-08
34.900146,13.046,126.099998,2.23,-114.99,2017-04-08
34.900143,12.987,128.100006,2.23,-114.99,2017-04-08
34.899151,12.967,130.100006,2.23,-114.99,2017-04-08
34.898132,12.956,132.100006,2.23,-114.99,2017-04-08
34.897133,12.923,134.100006,2.23,-114.99,2017-04-08
34.896152,12.901,136.100006,2.23,-114.99,2017-04-08
34.895142,12.881,138.100006,2.23,-114.99,2017-04-08
34.896149,12.853,140.100006,2.23,-114.99,2017-04-08
34.897144,12.839,142.100006,2.23,-114.99,2017-04-08
34.897144,12.834,144.100006,2.23,-114.99,2017-04-08
34.896145,12.829,146.100006,2.23,-114.99,2017-04-08
34.896145,12.821,148.100006,2.23,-114.99,2017-04-08
34.895142,12.812,150.100006,2.23,-114.99,2017-04-08
34.894157,12.804,152.100006,2.23,-114.99,2017-04-08
34.894142,12.8,154.100006,2.23,-114.99,2017-04-08
34.893143,12.791,156.100006,2.23,-114.99,2017-04-08
34.892147,12.762,158.100006,2.23,-114.99,2017-04-08
34.892147,12.732,160.100006,2.23,-114.99,2017-04-08
34.892147,12.725,162.100006,2.23,-114.99,2017-04-08
34.892155,12.716,164.100006,2.23,-114.99,2017-04-08
34.891155,12.705,166.100006,2.23,-114.99,2017-04-08
34.889149,12.677,168.100006,2.23,-114.99,2017-04-08
34.889137,12.652,170.100006,2.23,-114.99,2017-04-08
34.888142,12.637,172.100006,2.23,-114.99,2017-04-08
34.887157,12.624,174.100006,2.23,-114.99,2017-04-08
34.88615,12.611,176.100006,2.23,-114.99,2017-04-08
34.885151,12.584,178.100006,2.23,-114.99,2017-04-08
34.885147,12.569,180.100006,2.23,-114.99,2017-04-08
34.884144,12.554,182.100006,2.23,-114.99,2017-04-08
34.884148,12.544,184.100006,2.23,-114.99,2017-04-08
34.885147,12.541,186.100006,2.23,-114.99,2017-04-08
34.885147,12.543,188.100006,2.23,-114.99,2017-04-08
34.885143,12.54,190.100006,2.23,-114.99,2017-04-08
34.885147,12.538,192.100006,2.23,-114.99,2017-04-08
34.885143,12.535,194.100006,2.23,-114.99,2017-04-08
34.884155,12.516,196.100006,2.23,-114.99,2017-04-08
34.883167,12.5,198.100006,2.23,-114.99,2017-04-08
34.88316,12.498,200.100006,2.23,-114.99,2017-04-08
34.883152,12.498,202.100006,2.23,-114.99,2017-04-08
34.883152,12.498,204.100006,2.23,-114.99,2017-04-08
34.883152,12.498,206.100006,2.23,-114.99,2017-04-08
34.88316,12.498,208.100006,2.23,-114.99,2017-04-08
34.883152,12.497,210.100006,2.23,-114.99,2017-04-08
34.882149,12.491,212.100006,2.23,-114.99,2017-04-08
34.881145,12.481,214.100006,2.23,-114.99,2017-04-08
34.881153,12.472,216.100006,2.23,-114.99,2017-04-08
34.880146,12.467,218.100006,2.23,-114.99,2017-04-08
34.879143,12.453,220.100006,2.23,-114.99,2017-04-08
34.878151,12.425,222.100006,2.23,-114.99,2017-04-08
34.878151,12.421,224.100006,2.23,-114.99,2017-04-08
34.878151,12.421,226.100006,2.23,-114.99,2017-04-08
34.878151,12.418,228.100006,2.23,-114.99,2017-04-08
34.878151,12.41,230.100006,2.23,-114.99,2017-04-08
34.878151,12.406,232.100006,2.23,-114.99,2017-04-08
34.878143,12.396,234.100006,2.23,-114.99,2017-04-08
34.878147,12.393,236.100006,2.23,-114.99,2017-04-08
34.878155,12.392,238.100006,2.23,-114.99,2017-04-08
