salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
,,0,209.026352,-4.92,-97.43,2017-04-01
,,1,,-4.92,-97.43,2017-04-01
34.342999,29.049999,4,208.199615,-4.92,-97.43,2017-04-01
34.362999,29.011999,8,207.638947,-4.92,-97.43,2017-04-01
34.384998,28.988001,13,206.18895,-4.92,-97.43,2017-04-01
34.408001,28.896999,17,204.698242,-4.92,-97.43,2017-04-01
34.525002,28.452999,23,198.258316,-4.92,-97.43,2017-04-01
34.868,25.858,28,179.557999,-4.92,-97.43,2017-04-01
34.959999,23.924,33,159.385666,-4.92,-97.43,2017-04-01
35.034,21.438999,38,148.3508,-4.92,-97.43,2017-04-01
35.074001,19.947001,44,127.600067,-4.92,-97.43,2017-04-01
35.073002,19.125999,48,113.010094,-4.92,-97.43,2017-04-01
35.081001,17.382,54,82.1978,-4.92,-97.43,2017-04-01
35.085999,16.451,58,75.97686,-4.92,-97.43,2017-04-01
35.092999,16.040001,63,73.660156,-4.92,-97.43,2017-04-01
35.091999,15.933,68,73.097778,-4.92,-97.43,2017-04-01
35.080002,15.781,73,72.620697,-4.92,-97.43,2017-04-01
35.054001,15.233,78,74.724159,-4.92,-97.43,2017-04-01
35.034,14.687,83,78.198906,-4.92,-97.43,2017-04-01
35.021,14.482,88,80.372681,-4.92,-97.43,2017-04-01
35.007999,14.32,93,81.769081,-4.92,-97.43,2017-04-01
34.994999,14.177,98,82.662483,-4.92,-97.43,2017-04-01
34.98,14.007,103,83.889587,-4.92,-97.43,2017-04-01
34.969002,13.909,108,83.890961,-4.92,-97.43,2017-04-01
34.966999,13.885,113,83.058228,-4.92,-97.43,2017-04-01
34.959999,13.79,118,82.642105,-4.92,-97.43,2017-04-01
34.953999,13.728,123,81.543816,-4.92,-97.43,2017-04-01
34.952999,13.7,128,80.002426,-4.92,-97.43,2017-04-01
34.955002,13.697,133,78.45536,-4.92,-97.43,2017-04-01
34.956001,13.688,138,77.664803,-4.92,-97.43,2017-04-01
34.955002,13.654,143,76.62928,-4.92,-97.43,2017-04-01
34.952999,13.623,148,77.401184,-4.92,-97.43,2017-04-01
34.946999,13.557,153,77.84761,-4.92,-97.43,2017-04-01
34.945,13.524,158,77.35762,-4.92,-97.43,2017-04-01
34.941002,13.469,163,77.879486,-4.92,-97.43,2017-04-01
34.933998,13.407,168,79.100273,-4.92,-97.43,2017-04-01
34.93,13.361,173,79.546234,-4.92,-97.43,2017-04-01
34.928001,13.327,178,79.276741,-4.92,-97.43,2017-04-01
34.924,13.282,183,78.987961,-4.92,-97.43,2017-04-01
34.922001,13.253,188,76.48275,-4.92,-97.43,2017-04-01
34.923,13.246,193,71.673141,-4.92,-97.43,2017-04-01
34.922001,13.217,198,68.497765,-4.92,-97.43,2017-04-01
34.922001,13.195,203,64.20166,-4.92,-97.43,2017-04-01
34.922001,13.164,208,58.118538,-4.92,-97.43,2017-04-01
34.922001,13.119,213,54.801704,-4.92,-97.43,2017-04-01
34.921001,13.101,218,52.181282,-4.92,-97.43,2017-04-01
34.918999,13.068,223,47.534695,-4.92,-97.43,2017-04-01
34.917999,13.019,228,42.79887,-4.92,-97.43,2017-04-01
34.917,13.001,233,36.515312,-4.92,-97.43,2017-04-01
34.915001,12.967,238,30.607058,-4.92,-97.43,2017-04-01
34.914001,12.927,243,25.855515,-4.92,-97.43,2017-04-01
34.912998,12.913,249,22.041206,-4.92,-97.43,2017-04-01
34.910999,12.889,254,13.342786,-4.92,-97.43,2017-04-01
34.91,12.825,259,7.453879,-4.92,-97.43,2017-04-01
34.909,12.779,263,6.352847,-4.92,-97.43,2017-04-01
34.903,12.675,268,6.574542,-4.92,-97.43,2017-04-01
34.896999,12.555,273,5.839956,-4.92,-97.43,2017-04-01
34.895,12.539,278,4.970873,-4.92,-97.43,2017-04-01
34.893002,12.494,283,4.176983,-4.92,-97.43,2017-04-01
34.886002,12.375,288,3.685286,-4.92,-97.43,2017-04-01
34.882999,12.317,293,3.398741,-4.92,-97.43,2017-04-01
34.881001,12.297,298,3.276813,-4.92,-97.43,2017-04-01
34.870998,12.13,313,2.856094,-4.92,-97.43,2017-04-01
34.844002,11.678,339,2.665469,-4.92,-97.43,2017-04-01
34.813999,11.233,362,1.639297,-4.92,-97.43,2017-04-01
34.778,10.69,388,2.06074,-4.92,-97.43,2017-04-01
34.744999,10.131,413,2.035535,-4.92,-97.43,2017-04-01
34.719002,9.711,438,2.253669,-4.92,-97.43,2017-04-01
34.698002,9.367,463,2.842779,-4.92,-97.43,2017-04-01
34.666,8.8,488,6.572565,-4.92,-97.43,2017-04-01
34.640999,8.349,513,14.909223,-4.92,-97.43,2017-04-01
34.624001,8.033,537,20.177973,-4.92,-97.43,2017-04-01
34.612,7.788,563,25.62549,-4.92,-97.43,2017-04-01
34.598999,7.549,590,32.298664,-4.92,-97.43,2017-04-01
34.585999,7.282,613,39.065628,-4.92,-97.43,2017-04-01
34.575001,7.033,638,46.92585,-4.92,-97.43,2017-04-01
34.568001,6.857,663,49.178139,-4.92,-97.43,2017-04-01
34.558998,6.605,688,54.173664,-4.92,-97.43,2017-04-01
34.551998,6.345,713,57.098499,-4.92,-97.43,2017-04-01
34.543999,6.095,738,69.381371,-4.92,-97.43,2017-04-01
34.541,5.878,763,71.641876,-4.92,-97.43,2017-04-01
34.541,5.75,788,72.944572,-4.92,-97.43,2017-04-01
34.539001,5.631,813,72.748276,-4.92,-97.43,2017-04-01
34.539001,5.455,838,71.733604,-4.92,-97.43,2017-04-01
34.544998,5.355,865,63.565632,-4.92,-97.43,2017-04-01
34.542999,5.243,888,61.506119,-4.92,-97.43,2017-04-01
34.542999,5.131,913,63.770081,-4.92,-97.43,2017-04-01
34.542999,4.987,938,66.125343,-4.92,-97.43,2017-04-01
34.546001,4.87,963,67.634132,-4.92,-97.43,2017-04-01
34.548,4.789,988,68.816734,-4.92,-97.43,2017-04-01
34.549,4.696,1013,69.816635,-4.92,-97.43,2017-04-01
34.549,4.587,1038,70.166466,-4.92,-97.43,2017-04-01
34.550999,4.48,1063,73.159584,-4.92,-97.43,2017-04-01
34.550999,4.397,1088,76.457199,-4.92,-97.43,2017-04-01
34.553001,4.312,1113,76.941078,-4.92,-97.43,2017-04-01
34.556,4.188,1138,77.063766,-4.92,-97.43,2017-04-01
34.560001,4.11,1163,76.833023,-4.92,-97.43,2017-04-01
34.562,4.034,1188,77.730438,-4.92,-97.43,2017-04-01
34.563999,3.966,1213,78.097542,-4.92,-97.43,2017-04-01
34.568001,3.882,1238,77.759117,-4.92,-97.43,2017-04-01
34.570999,3.791,1263,80.655144,-4.92,-97.43,2017-04-01
34.570999,3.688,1288,82.806854,-4.92,-97.43,2017-04-01
34.575001,3.605,1313,83.119347,-4.92,-97.43,2017-04-01
34.577999,3.513,1338,84.535439,-4.92,-97.43,2017-04-01
34.580002,3.447,1363,85.462021,-4.92,-97.43,2017-04-01
34.584,3.352,1388,86.510681,-4.92,-97.43,2017-04-01
34.588001,3.267,1414,87.258118,-4.92,-97.43,2017-04-01
34.59,3.221,1438,88.193398,-4.92,-97.43,2017-04-01
34.591999,3.172,1463,89.289925,-4.92,-97.43,2017-04-01
34.595001,3.113,1488,89.737999,-4.92,-97.43,2017-04-01
34.598,3.043,1513,89.325356,-4.92,-97.43,2017-04-01
34.601002,2.986,1538,90.186119,-4.92,-97.43,2017-04-01
34.604,2.926,1563,91.702751,-4.92,-97.43,2017-04-01
34.608002,2.854,1588,92.501213,-4.92,-97.43,2017-04-01
34.610001,2.805,1613,93.855286,-4.92,-97.43,2017-04-01
34.612,2.755,1638,94.574623,-4.92,-97.43,2017-04-01
34.615002,2.694,1664,96.518524,-4.92,-97.43,2017-04-01
34.618,2.632,1688,99.30835,-4.92,-97.43,2017-04-01
34.619999,2.586,1713,100.041176,-4.92,-97.43,2017-04-01
34.622002,2.548,1738,100.968109,-4.92,-97.43,2017-04-01
34.625,2.506,1763,101.160271,-4.92,-97.43,2017-04-01
34.627998,2.452,1788,102.322021,-4.92,-97.43,2017-04-01
34.630001,2.39,1813,105.156815,-4.92,-97.43,2017-04-01
34.632999,2.351,1838,104.721146,-4.92,-97.43,2017-04-01
34.634998,2.334,1863,104.259056,-4.92,-97.43,2017-04-01
34.636002,2.32,1888,105.180206,-4.92,-97.43,2017-04-01
34.637001,2.293,1913,106.876892,-4.92,-97.43,2017-04-01
34.638,2.264,1938,107.492302,-4.92,-97.43,2017-04-01
34.639,2.247,1963,107.338951,-4.92,-97.43,2017-04-01
34.640999,2.232,1978,106.512199,-4.92,-97.43,2017-04-01
