salinity,temperature,pressure,lat,lon,date
,23.007,2.96,1.34,-95.19,2017-06-17
,22.996,4.06,1.34,-95.19,2017-06-17
,22.973,6.06,1.34,-95.19,2017-06-17
,22.944,8.06,1.34,-95.19,2017-06-17
,22.903,10.06,1.34,-95.19,2017-06-17
,22.853001,12.06,1.34,-95.19,2017-06-17
,22.788,14.06,1.34,-95.19,2017-06-17
,22.712,16.059999,1.34,-95.19,2017-06-17
,22.636999,18.059999,1.34,-95.19,2017-06-17
,22.566,20.059999,1.34,-95.19,2017-06-17
,22.502001,22.059999,1.34,-95.19,2017-06-17
,22.436001,24.059999,1.34,-95.19,2017-06-17
,22.355,26.059999,1.34,-95.19,2017-06-17
,22.235001,28.059999,1.34,-95.19,2017-06-17
,22.079,30.059999,1.34,-95.19,2017-06-17
,21.927,32.060001,1.34,-95.19,2017-06-17
,21.782,34.060001,1.34,-95.19,2017-06-17
,21.650999,36.060001,1.34,-95.19,2017-06-17
,21.533001,38.060001,1.34,-95.19,2017-06-17
,21.379999,40.060001,1.34,-95.19,2017-06-17
,21.091999,42.16,1.34,-95.19,2017-06-17
,20.368,44.16,1.34,-95.19,2017-06-17
,19.486,45.960003,1.34,-95.19,2017-06-17
,19.062,48.060001,1.34,-95.19,2017-06-17
,18.736,50.060001,1.34,-95.19,2017-06-17
,18.419001,52.060001,1.34,-95.19,2017-06-17
,18.15,54.060001,1.34,-95.19,2017-06-17
,17.893,56.060001,1.34,-95.19,2017-06-17
,17.669001,58.060001,1.34,-95.19,2017-06-17
,17.474001,60.060001,1.34,-95.19,2017-06-17
,17.259001,62.060001,1.34,-95.19,2017-06-17
,17.028999,64.059998,1.34,-95.19,2017-06-17
,16.747999,66.159996,1.34,-95.19,2017-06-17
,16.093,67.959999,1.34,-95.19,2017-06-17
,15.383,69.959999,1.34,-95.19,2017-06-17
,15.231,72.059998,1.34,-95.19,2017-06-17
,15.157,74.059998,1.34,-95.19,2017-06-17
,15.086,76.059998,1.34,-95.19,2017-06-17
,15.006,78.059998,1.34,-95.19,2017-06-17
,14.925,80.059998,1.34,-95.19,2017-06-17
,14.832,82.059998,1.34,-95.19,2017-06-17
,14.733,84.059998,1.34,-95.19,2017-06-17
,14.624,86.059998,1.34,-95.19,2017-06-17
,14.497,88.059998,1.34,-95.19,2017-06-17
,14.385,90.059998,1.34,-95.19,2017-06-17
,14.292,92.059998,1.34,-95.19,2017-06-17
,14.212,94.059998,1.34,-95.19,2017-06-17
,14.173,96.059998,1.34,-95.19,2017-06-17
,14.166,98.059998,1.34,-95.19,2017-06-17
,14.163,100.059998,1.34,-95.19,2017-06-17
,14.161,102.059998,1.34,-95.19,2017-06-17
,14.157,104.059998,1.34,-95.19,2017-06-17
,14.152,106.059998,1.34,-95.19,2017-06-17
,14.146,108.059998,1.34,-95.19,2017-06-17
,14.141,110.059998,1.34,-95.19,2017-06-17
,14.135,112.059998,1.34,-95.19,2017-06-17
,14.13,114.059998,1.34,-95.19,2017-06-17
,14.126,116.059998,1.34,-95.19,2017-06-17
,14.121,118.059998,1.34,-95.19,2017-06-17
,14.115,120.059998,1.34,-95.19,2017-06-17
,14.107,122.059998,1.34,-95.19,2017-06-17
,14.097,124.059998,1.34,-95.19,2017-06-17
,14.085,126.059998,1.34,-95.19,2017-06-17
,14.07,128.059998,1.34,-95.19,2017-06-17
,14.051,130.059998,1.34,-95.19,2017-06-17
,14.031,132.059998,1.34,-95.19,2017-06-17
,14.021,134.059998,1.34,-95.19,2017-06-17
,14.015,136.059998,1.34,-95.19,2017-06-17
,14.012,138.059998,1.34,-95.19,2017-06-17
,14.009,140.059998,1.34,-95.19,2017-06-17
,14.006,142.059998,1.34,-95.19,2017-06-17
,14.003,144.059998,1.34,-95.19,2017-06-17
,14.0,146.059998,1.34,-95.19,2017-06-17
,13.996,148.059998,1.34,-95.19,2017-06-17
,13.991,150.059998,1.34,-95.19,2017-06-17
,13.986,152.059998,1.34,-95.19,2017-06-17
,13.979,154.059998,1.34,-95.19,2017-06-17
,13.968,156.059998,1.34,-95.19,2017-06-17
,13.956,158.059998,1.34,-95.19,2017-06-17
,13.94,160.059998,1.34,-95.19,2017-06-17
,13.916,162.059998,1.34,-95.19,2017-06-17
,13.886,164.059998,1.34,-95.19,2017-06-17
,13.852,166.059998,1.34,-95.19,2017-06-17
,13.823,168.059998,1.34,-95.19,2017-06-17
,13.802,170.059998,1.34,-95.19,2017-06-17
,13.788,172.059998,1.34,-95.19,2017-06-17
,13.778,174.059998,1.34,-95.19,2017-06-17
,13.769,176.059998,1.34,-95.19,2017-06-17
,13.757,178.059998,1.34,-95.19,2017-06-17
,13.74,180.059998,1.34,-95.19,2017-06-17
,13.718,182.059998,1.34,-95.19,2017-06-17
,13.686,184.059998,1.34,-95.19,2017-06-17
,13.651,186.059998,1.34,-95.19,2017-06-17
,13.616,188.059998,1.34,-95.19,2017-06-17
,13.596,190.059998,1.34,-95.19,2017-06-17
,13.579,192.059998,1.34,-95.19,2017-06-17
,13.555,194.059998,1.34,-95.19,2017-06-17
,13.536,196.059998,1.34,-95.19,2017-06-17
,13.518,198.059998,1.34,-95.19,2017-06-17
,13.498,200.059998,1.34,-95.19,2017-06-17
,13.479,202.059998,1.34,-95.19,2017-06-17
,13.461,204.059998,1.34,-95.19,2017-06-17
,13.443,206.059998,1.34,-95.19,2017-06-17
,13.426,208.160004,1.34,-95.19,2017-06-17
,13.409,210.059998,1.34,-95.19,2017-06-17
,13.396,212.059998,1.34,-95.19,2017-06-17
,13.382,214.059998,1.34,-95.19,2017-06-17
,13.37,216.059998,1.34,-95.19,2017-06-17
,13.361,218.059998,1.34,-95.19,2017-06-17
,13.353,220.059998,1.34,-95.19,2017-06-17
,13.348,222.059998,1.34,-95.19,2017-06-17
,13.341,224.059998,1.34,-95.19,2017-06-17
,13.333,226.059998,1.34,-95.19,2017-06-17
,13.321,228.059998,1.34,-95.19,2017-06-17
,13.306,230.059998,1.34,-95.19,2017-06-17
,13.285,232.059998,1.34,-95.19,2017-06-17
,13.259,234.059998,1.34,-95.19,2017-06-17
,13.231,236.059998,1.34,-95.19,2017-06-17
