salinity,temperature,pressure,lat,lon,date
35.014198,23.011999,1.08,-0.09,-87.55,2017-05-25
35.014198,23.011999,2.0,-0.09,-87.55,2017-05-25
35.013199,23.011,3.04,-0.09,-87.55,2017-05-25
35.013302,23.011,4.0,-0.09,-87.55,2017-05-25
35.013199,23.01,4.96,-0.09,-87.55,2017-05-25
35.012299,23.009001,6.0,-0.09,-87.55,2017-05-25
35.0131,23.013,7.04,-0.09,-87.55,2017-05-25
35.013802,23.006001,8.04,-0.09,-87.55,2017-05-25
35.011902,22.988001,9.04,-0.09,-87.55,2017-05-25
35.011501,22.979,10.0,-0.09,-87.55,2017-05-25
35.007198,22.908001,12.0,-0.09,-87.55,2017-05-25
35.003601,22.823,14.0,-0.09,-87.55,2017-05-25
34.999401,22.723,16.040001,-0.09,-87.55,2017-05-25
34.997799,22.677,18.040001,-0.09,-87.55,2017-05-25
34.996799,22.646,20.0,-0.09,-87.55,2017-05-25
34.997601,22.594999,21.959999,-0.09,-87.55,2017-05-25
34.993198,22.521999,24.0,-0.09,-87.55,2017-05-25
34.984001,22.457001,25.959999,-0.09,-87.55,2017-05-25
34.981701,22.421,28.0,-0.09,-87.55,2017-05-25
34.974098,22.365,30.040001,-0.09,-87.55,2017-05-25
34.970001,22.334,32.0,-0.09,-87.55,2017-05-25
34.972599,22.268999,34.0,-0.09,-87.55,2017-05-25
34.955399,21.785999,36.040001,-0.09,-87.55,2017-05-25
34.925201,21.160999,38.0,-0.09,-87.55,2017-05-25
34.919899,20.77,40.0,-0.09,-87.55,2017-05-25
34.934799,20.537001,42.040001,-0.09,-87.55,2017-05-25
34.9515,20.309,44.040001,-0.09,-87.55,2017-05-25
34.974098,20.003,46.0,-0.09,-87.55,2017-05-25
34.996899,19.704,47.959999,-0.09,-87.55,2017-05-25
35.022999,19.448,49.959999,-0.09,-87.55,2017-05-25
35.054798,19.191,52.040001,-0.09,-87.55,2017-05-25
35.0597,18.795,54.080002,-0.09,-87.55,2017-05-25
35.0485,18.506001,56.0,-0.09,-87.55,2017-05-25
35.02,18.115999,58.0,-0.09,-87.55,2017-05-25
34.989799,17.745001,59.959999,-0.09,-87.55,2017-05-25
34.986099,17.205999,61.959999,-0.09,-87.55,2017-05-25
34.9953,16.853001,64.0,-0.09,-87.55,2017-05-25
35.004902,16.735001,66.0,-0.09,-87.55,2017-05-25
35.014,16.705,67.959999,-0.09,-87.55,2017-05-25
35.0312,16.691999,70.0,-0.09,-87.55,2017-05-25
35.038101,16.691999,72.0,-0.09,-87.55,2017-05-25
35.049,16.697001,74.040001,-0.09,-87.55,2017-05-25
35.056099,16.702999,76.040001,-0.09,-87.55,2017-05-25
35.0611,16.707001,78.040001,-0.09,-87.55,2017-05-25
35.063301,16.709999,80.040001,-0.09,-87.55,2017-05-25
35.065498,16.711,82.0,-0.09,-87.55,2017-05-25
35.066799,16.708,84.0,-0.09,-87.55,2017-05-25
35.0667,16.700001,86.040001,-0.09,-87.55,2017-05-25
35.075401,16.677,88.0,-0.09,-87.55,2017-05-25
35.0672,16.393999,89.959999,-0.09,-87.55,2017-05-25
35.047001,16.139,92.040001,-0.09,-87.55,2017-05-25
35.0401,16.076,94.040001,-0.09,-87.55,2017-05-25
35.027802,15.999,96.040001,-0.09,-87.55,2017-05-25
35.020901,15.956,98.0,-0.09,-87.55,2017-05-25
35.009899,15.905,99.959999,-0.09,-87.55,2017-05-25
35.003601,15.878,102.0,-0.09,-87.55,2017-05-25
34.9949,15.835,103.959999,-0.09,-87.55,2017-05-25
34.986599,15.786,106.0,-0.09,-87.55,2017-05-25
34.9828,15.744,108.040001,-0.09,-87.55,2017-05-25
34.9855,15.72,110.040001,-0.09,-87.55,2017-05-25
34.986599,15.7,112.0,-0.09,-87.55,2017-05-25
34.9884,15.679,114.040001,-0.09,-87.55,2017-05-25
34.989601,15.641,116.0,-0.09,-87.55,2017-05-25
34.9893,15.618,117.959999,-0.09,-87.55,2017-05-25
34.990398,15.6,120.040001,-0.09,-87.55,2017-05-25
34.992298,15.581,122.0,-0.09,-87.55,2017-05-25
34.993401,15.565,123.959999,-0.09,-87.55,2017-05-25
34.995602,15.547,126.0,-0.09,-87.55,2017-05-25
34.996498,15.524,128.0,-0.09,-87.55,2017-05-25
34.997501,15.503,130.0,-0.09,-87.55,2017-05-25
34.996899,15.482,132.0,-0.09,-87.55,2017-05-25
34.996498,15.472,133.960007,-0.09,-87.55,2017-05-25
34.997299,15.474,136.0,-0.09,-87.55,2017-05-25
34.998501,15.439,138.0,-0.09,-87.55,2017-05-25
34.998901,15.397,140.0,-0.09,-87.55,2017-05-25
34.999401,15.369,142.0,-0.09,-87.55,2017-05-25
34.999401,15.349,144.039993,-0.09,-87.55,2017-05-25
35.000999,15.332,146.0,-0.09,-87.55,2017-05-25
35.001701,15.302,148.0,-0.09,-87.55,2017-05-25
35.0009,15.259,150.0,-0.09,-87.55,2017-05-25
35.000401,15.214,151.960007,-0.09,-87.55,2017-05-25
34.999001,15.155,153.960007,-0.09,-87.55,2017-05-25
34.997299,15.125,155.960007,-0.09,-87.55,2017-05-25
34.996899,15.09,157.960007,-0.09,-87.55,2017-05-25
34.9949,15.044,159.960007,-0.09,-87.55,2017-05-25
34.9944,14.997,162.0,-0.09,-87.55,2017-05-25
34.992802,14.937,164.0,-0.09,-87.55,2017-05-25
34.992599,14.912,165.960007,-0.09,-87.55,2017-05-25
34.991699,14.888,168.0,-0.09,-87.55,2017-05-25
34.991501,14.883,170.039993,-0.09,-87.55,2017-05-25
34.991901,14.883,172.039993,-0.09,-87.55,2017-05-25
34.994202,14.881,174.0,-0.09,-87.55,2017-05-25
34.9939,14.806,176.039993,-0.09,-87.55,2017-05-25
34.992298,14.741,178.0,-0.09,-87.55,2017-05-25
34.9907,14.687,179.960007,-0.09,-87.55,2017-05-25
34.988098,14.642,181.960007,-0.09,-87.55,2017-05-25
34.987301,14.631,183.960007,-0.09,-87.55,2017-05-25
34.987202,14.615,185.960007,-0.09,-87.55,2017-05-25
34.986198,14.602,187.960007,-0.09,-87.55,2017-05-25
34.986198,14.588,190.0,-0.09,-87.55,2017-05-25
34.9855,14.575,191.960007,-0.09,-87.55,2017-05-25
34.985298,14.557,193.960007,-0.09,-87.55,2017-05-25
34.9855,14.522,195.960007,-0.09,-87.55,2017-05-25
