id,platform,cycle,lat,lon,date
6902672_053,6902672,53,-2.792,-85.07600000000002,2017-04-29
3901261_085,3901261,85,1.30306,-85.46493,2017-04-29
5904497_175,5904497,175,-0.82273,-103.40208,2017-04-29
5903565_213,5903565,213,0.265,-113.356,2017-04-29
3901159_173,3901159,173,1.06211,-115.20224,2017-04-29
5903558_220,5903558,220,-1.235,-89.751,2017-04-29
5904499_173,5904499,173,0.00282,-118.9471,2017-04-28
5904604_074,5904604,74,1.788,-115.299,2017-04-28
5904294_105,5904294,105,1.398,-96.545,2017-04-28
5904289_105,5904289,105,1.771,-104.541,2017-04-28
3901162_173,3901162,173,0.00054,-108.30925,2017-04-28
5903836_190,5903836,190,2.871,-103.409,2017-04-28
3901148_150,3901148,150,-1.298,-108.979,2017-04-28
3901233_045,3901233,45,-3.30217,-86.06018,2017-04-27
5904287_105,5904287,105,0.444,-113.667,2017-04-27
3901157_150,3901157,150,-0.427,-124.089,2017-04-27
3901173_113,3901173,113,-1.17,-112.287,2017-04-27
3901234_045,3901234,45,-2.96807,-91.23269,2017-04-27
5904603_074,5904603,74,-0.215,-93.784,2017-04-26
5903838_181,5903838,181,0.161,-121.231,2017-04-26
5904288_105,5904288,105,-0.932,-93.015,2017-04-26
5903844_178,5903844,178,1.037,-123.218,2017-04-26
5904273_150,5904273,150,0.854,-115.27,2017-04-26
3901182_113,3901182,113,1.514,-107.948,2017-04-26
3901179_105,3901179,105,1.54,-95.626,2017-04-26
5903865_190,5903865,190,-0.212,-108.61,2017-04-26
3901171_122,3901171,122,0.829,-116.923,2017-04-26
3900739_266,3900739,266,2.305,-92.317,2017-04-25
3901264_084,3901264,84,1.66314,-85.23636,2017-04-25
5903869_186,5903869,186,0.558,-124.64,2017-04-25
5903839_184,5903839,184,-0.048,-104.563,2017-04-25
3901262_084,3901262,84,0.91181,-86.85368,2017-04-25
4902303_042,4902303,42,2.952,-100.697,2017-04-25
3901202_042,3901202,42,0.529,-102.142,2017-04-25
