id,platform,cycle,lat,lon,date
3901264_097,3901264,97,2.02729,-88.13859,2017-06-29
3900739_272,3900739,272,3.002,-93.618,2017-06-29
3901262_097,3901262,97,0.27254,-86.53608,2017-06-29
3901260_100,3901260,100,-1.07511,-88.36946,2017-06-29
5902236_216,5902236,216,0.367,-123.976,2017-06-29
5902247_216,5902247,216,-3.389,-91.405,2017-06-29
3901203_047,3901203,47,1.783,-120.244,2017-06-29
5903557_226,5903557,226,-1.773,-120.284,2017-06-29
5903837_196,5903837,196,3.953,-89.908,2017-06-29
3901261_097,3901261,97,1.70459,-88.75916,2017-06-29
5903565_219,5903565,219,0.134,-110.735,2017-06-28
5904576_085,5904576,85,-1.808,-124.758,2017-06-28
5904604_080,5904604,80,1.677,-116.062,2017-06-27
3901164_182,3901164,182,2.41129,-88.71594,2017-06-27
3901163_181,3901163,181,0.72731,-95.39898,2017-06-27
5904294_111,5904294,111,1.618,-94.673,2017-06-27
5904289_111,5904289,111,2.289,-103.028,2017-06-27
3901160_182,3901160,182,1.34526,-107.63771,2017-06-27
5904307_180,5904307,180,1.00763,-110.91978,2017-06-27
5903836_196,5903836,196,3.881,-102.648,2017-06-27
3901148_156,3901148,156,-0.997,-103.414,2017-06-27
5904287_111,5904287,111,0.223,-110.557,2017-06-26
3901157_156,3901157,156,-0.439,-123.464,2017-06-26
3901233_051,3901233,51,-2.84623,-86.04412,2017-06-26
3901173_119,3901173,119,-1.44,-106.746,2017-06-26
3901234_051,3901234,51,-2.89066,-91.09975,2017-06-25
5904603_080,5904603,80,-0.744,-93.648,2017-06-25
5903838_187,5903838,187,0.811,-118.757,2017-06-25
5904288_111,5904288,111,-0.098,-91.959,2017-06-25
5904273_156,5904273,156,0.982,-109.844,2017-06-25
4901503_213,4901503,213,2.28266,-104.14796,2017-06-25
5903844_184,5903844,184,0.226,-123.408,2017-06-25
3901179_111,3901179,111,2.178,-92.65,2017-06-25
3901182_119,3901182,119,0.366,-103.205,2017-06-25
5903865_196,5903865,196,-0.059,-107.413,2017-06-25
3901159_181,3901159,181,1.43179,-109.06892,2017-06-25
3901171_128,3901171,128,1.105,-111.894,2017-06-25
3901264_096,3901264,96,1.95803,-88.16774,2017-06-24
4901503_212,4901503,212,2.3055,-104.13682,2017-06-24
