id,platform,cycle,lat,lon,date
3901264_091,3901264,91,1.40416,-87.17825,2017-05-30
3901164_178,3901164,178,2.36627,-90.14202,2017-05-30
3901262_091,3901262,91,-0.02196,-87.55642,2017-05-30
3901160_178,3901160,178,1.08638,-109.75928,2017-05-30
3901260_094,3901260,94,-1.04551,-88.36157,2017-05-30
3901163_177,3901163,177,1.43865,-96.93837,2017-05-30
5902247_213,5902247,213,-3.325,-92.45,2017-05-30
5902236_213,5902236,213,0.562,-124.907,2017-05-30
3901203_044,3901203,44,2.054,-119.264,2017-05-30
5903557_223,5903557,223,-1.723,-119.308,2017-05-30
5903837_193,5903837,193,4.598,-89.159,2017-05-30
3901261_091,3901261,91,1.07682,-87.61491,2017-05-29
6902672_056,6902672,56,-2.02,-85.23599999999999,2017-05-29
5904307_176,5904307,176,-0.08301,-112.96914,2017-05-29
5903565_216,5903565,216,-0.036,-110.726,2017-05-29
5903558_223,5903558,223,-1.231,-89.729,2017-05-29
5904604_077,5904604,77,2.148,-115.284,2017-05-28
5904294_108,5904294,108,2.103,-96.132,2017-05-28
5904289_108,5904289,108,1.855,-102.453,2017-05-28
5903836_193,5903836,193,2.903,-103.095,2017-05-28
3901148_153,3901148,153,-1.853,-105.406,2017-05-28
3900739_269,3900739,269,1.868,-93.516,2017-05-28
3901159_177,3901159,177,0.59636,-112.16831,2017-05-27
5904497_179,5904497,179,-0.75312,-102.2019,2017-05-27
5904287_108,5904287,108,-0.094,-110.798,2017-05-27
3901233_048,3901233,48,-3.01461,-86.08406,2017-05-27
3901173_116,3901173,116,-1.102,-108.828,2017-05-27
5904499_177,5904499,177,0.01037,-117.03489,2017-05-27
3901234_048,3901234,48,-3.10224,-91.1531,2017-05-26
3901162_177,3901162,177,-0.48482,-106.29537,2017-05-26
5904603_077,5904603,77,-0.649,-93.514,2017-05-26
5903838_184,5903838,184,0.857,-119.634,2017-05-26
5904288_108,5904288,108,-0.192,-92.294,2017-05-26
5903844_181,5903844,181,0.094,-123.893,2017-05-26
5904273_153,5904273,153,0.453,-111.845,2017-05-26
3901182_116,3901182,116,1.707,-104.062,2017-05-26
5903865_193,5903865,193,-0.601,-106.04,2017-05-26
3901179_108,3901179,108,1.044,-93.91,2017-05-26
3901171_125,3901171,125,0.26,-113.92,2017-05-26
3901264_090,3901264,90,1.4683,-86.89233,2017-05-25
3901262_090,3901262,90,-0.09421,-87.55413,2017-05-25
5903839_187,5903839,187,0.194,-103.892,2017-05-25
3901260_093,3901260,93,-1.03088,-88.35585,2017-05-25
3901202_045,3901202,45,1.126,-100.407,2017-05-25
4902303_045,4902303,45,3.955,-100.243,2017-05-25
3901168_116,3901168,116,-0.317,-103.074,2017-05-25
3901261_090,3901261,90,1.12031,-87.3048,2017-05-24
5903864_187,5903864,187,-1.386,-102.656,2017-05-24
3901115_193,3901115,193,-2.847,-90.549,2017-05-24
4901503_207,4901503,207,2.09747,-105.65618,2017-05-24
3901034_193,3901034,193,0.662,-113.748,2017-05-24
5904544_100,5904544,100,0.473,-123.857,2017-05-24
3901152_152,3901152,152,-0.257,-97.538,2017-05-24
3901154_152,3901154,152,-0.169,-98.21,2017-05-24
3901153_152,3901153,152,-0.721,-101.898,2017-05-24
5904277_114,5904277,114,-0.517,-110.107,2017-05-23
3901164_177,3901164,177,2.4484,-90.82239,2017-05-23
3901160_177,3901160,177,0.40546,-110.1519,2017-05-23
5904275_114,5904275,114,-1.787,-103.149,2017-05-23
3901163_176,3901163,176,1.05206,-97.34392,2017-05-23
3901151_152,3901151,152,1.688,-97.907,2017-05-23
4901553_100,4901553,100,2.954,-113.717,2017-05-23
3901177_108,3901177,108,2.034,-101.584,2017-05-23
3901197_077,3901197,77,-3.314,-110.963,2017-05-23
3901176_108,3901176,108,0.686,-98.185,2017-05-23
3900674_213,3900674,213,-0.275,-90.026,2017-05-23
5904307_175,5904307,175,0.0369,-113.4677,2017-05-22
3901186_116,3901186,116,-3.946,-104.795,2017-05-22
3901150_152,3901150,152,-3.087,-102.255,2017-05-22
3901194_077,3901194,77,-4.812,-97.686,2017-05-22
3900673_213,3900673,213,0.561,-124.282,2017-05-22
3901178_108,3901178,108,1.413,-91.382,2017-05-22
5903559_223,5903559,223,-1.235,-101.276,2017-05-21
4902300_045,4902300,45,-2.055,-113.671,2017-05-21
5904547_099,5904547,99,-4.744,-104.126,2017-05-21
3901254_043,3901254,43,3.953,-107.599,2017-05-21
3901149_152,3901149,152,-2.55,-98.186,2017-05-21
3901159_176,3901159,176,0.87501,-112.65903,2017-05-20
5903801_205,5903801,205,-2.309,-124.665,2017-05-20
5904497_178,5904497,178,-0.52078,-102.6326,2017-05-20
3901264_089,3901264,89,1.4143,-86.66367,2017-05-20
3901262_089,3901262,89,-0.00143,-87.41683,2017-05-20
3901260_092,3901260,92,-1.03385,-88.37197,2017-05-20
5902247_212,5902247,212,-3.141,-92.775,2017-05-20
5902236_212,5902236,212,1.118,-124.961,2017-05-20
3901203_043,3901203,43,1.974,-118.739,2017-05-20
5903557_222,5903557,222,-1.742,-118.498,2017-05-20
5903837_192,5903837,192,4.589,-88.952,2017-05-20
5904499_176,5904499,176,0.19383,-117.05292,2017-05-20
6902672_055,6902672,55,-2.16,-85.16199999999998,2017-05-19
3901261_089,3901261,89,1.04605,-86.87194,2017-05-19
3901162_176,3901162,176,-0.6347,-106.65158,2017-05-19
5903565_215,5903565,215,-0.071,-111.301,2017-05-19
5904604_076,5904604,76,2.231,-115.007,2017-05-18
5904294_107,5904294,107,2.098,-96.44,2017-05-18
5904289_107,5904289,107,1.852,-102.988,2017-05-18
5903836_192,5903836,192,2.784,-103.383,2017-05-18
3901148_152,3901148,152,-1.5,-106.55,2017-05-18
3901233_047,3901233,47,-3.20438,-86.03033,2017-05-17
3900739_268,3900739,268,1.82,-93.016,2017-05-17
5904287_107,5904287,107,0.183,-111.476,2017-05-17
3901173_115,3901173,115,-1.15,-109.627,2017-05-17
3901234_047,3901234,47,-2.98348,-91.22547,2017-05-16
5904603_076,5904603,76,-0.681,-94.083,2017-05-16
5903838_183,5903838,183,0.515,-120.42,2017-05-16
5904288_107,5904288,107,-0.781,-92.516,2017-05-16
5903844_180,5903844,180,0.589,-123.874,2017-05-16
3901160_176,3901160,176,0.2406,-110.74683,2017-05-16
3901182_115,3901182,115,1.78,-105.353,2017-05-16
3901164_176,3901164,176,2.17237,-91.22423,2017-05-16
5904273_152,5904273,152,0.98,-112.738,2017-05-16
3901179_107,3901179,107,1.21,-94.69,2017-05-16
5903865_192,5903865,192,-0.88,-106.8,2017-05-16
3901163_175,3901163,175,0.55814,-97.70127,2017-05-16
3901171_124,3901171,124,0.891,-114.508,2017-05-16
5904307_174,5904307,174,0.29972,-113.99022,2017-05-15
3901264_088,3901264,88,1.34283,-86.15119,2017-05-15
3901262_088,3901262,88,0.12257,-87.13109,2017-05-15
5903839_186,5903839,186,0.23,-104.024,2017-05-15
3901260_091,3901260,91,-1.03961,-88.37868,2017-05-15
4902303_044,4902303,44,3.657,-100.259,2017-05-15
3901202_044,3901202,44,1.51,-100.752,2017-05-15
3901168_115,3901168,115,-0.043,-103.307,2017-05-15
3901261_088,3901261,88,0.9952,-86.37495,2017-05-14
4901503_206,4901503,206,2.06256,-106.26125,2017-05-14
5903864_186,5903864,186,-1.304,-103.083,2017-05-14
3901115_192,3901115,192,-2.669,-90.736,2017-05-14
4902301_044,4902301,44,3.906,-124.966,2017-05-14
3901034_192,3901034,192,1.101,-114.441,2017-05-14
3901153_151,3901153,151,-0.025,-102.47,2017-05-14
3901154_151,3901154,151,-0.276,-99.489,2017-05-14
5904544_099,5904544,99,0.9,-123.79,2017-05-14
3901152_151,3901152,151,-0.351,-98.948,2017-05-14
5904497_177,5904497,177,-0.19842,-102.917,2017-05-13
3901159_175,3901159,175,1.32959,-113.53541,2017-05-13
5904277_113,5904277,113,-0.572,-110.764,2017-05-13
5904275_113,5904275,113,-1.875,-103.284,2017-05-13
3901176_107,3901176,107,0.669,-98.68,2017-05-13
4901553_099,4901553,99,3.058,-113.388,2017-05-13
3901197_076,3901197,76,-3.111,-110.17,2017-05-13
3901151_151,3901151,151,1.634,-97.82,2017-05-13
3901177_107,3901177,107,2.041,-102.028,2017-05-13
3900674_212,3900674,212,-0.36,-90.039,2017-05-13
5904499_175,5904499,175,0.08138,-117.50217,2017-05-13
4901503_205,4901503,205,1.92421,-106.33861,2017-05-12
3901162_175,3901162,175,-0.65974,-107.14954,2017-05-12
5902249_209,5902249,209,-2.777,-124.423,2017-05-12
3901186_115,3901186,115,-4.041,-104.171,2017-05-12
3901194_076,3901194,76,-4.633,-97.22,2017-05-12
3900673_212,3900673,212,1.049,-123.929,2017-05-12
3901150_151,3901150,151,-3.084,-102.632,2017-05-12
3901178_107,3901178,107,1.083,-91.806,2017-05-12
5903559_222,5903559,222,-0.584,-101.922,2017-05-11
5904547_098,5904547,98,-4.953,-104.308,2017-05-11
4902300_044,4902300,44,-2.335,-113.488,2017-05-11
3901149_151,3901149,151,-2.809,-98.454,2017-05-11
3901254_042,3901254,42,3.855,-107.293,2017-05-11
5903801_204,5903801,204,-2.662,-123.71,2017-05-10
3901264_087,3901264,87,1.54847,-85.64431,2017-05-10
3901262_087,3901262,87,0.41606,-86.76797,2017-05-10
3901260_090,3901260,90,-1.05789,-88.38488,2017-05-10
5902247_211,5902247,211,-2.956,-93.168,2017-05-10
5902236_211,5902236,211,1.426,-124.762,2017-05-10
