salinity,temperature,pressure
35.304001,30.569,4.38
35.304001,30.566999,6.08
35.303001,30.566,8.08
35.303001,30.566999,10.08
35.303001,30.57,12.08
35.304001,30.57,14.08
35.304001,30.570999,16.08
35.304001,30.570999,18.08
35.304001,30.569,20.08
35.303001,30.565001,22.08
35.303001,30.568001,24.08
35.303001,30.566999,26.08
35.303001,30.568001,28.08
35.304001,30.563999,30.08
35.304001,30.559999,32.080002
35.303001,30.57,34.080002
35.303001,30.566,36.080002
35.303001,30.561001,38.080002
35.303001,30.556999,40.080002
35.303001,30.555,42.080002
35.303001,30.545,44.080002
35.304001,30.535999,46.080002
35.304001,30.525999,48.080002
35.304001,30.516001,50.080002
35.304001,30.514,52.080002
35.305,30.507,54.080002
35.306,30.496,56.080002
35.306999,30.493999,58.080002
35.306999,30.493,60.080002
35.308002,30.493,62.080002
35.311001,30.489,64.080002
35.336002,30.455999,66.080002
35.347,30.445,68.080002
35.355,30.433001,70.080002
35.360001,30.403999,72.080002
35.366001,30.371,74.080002
35.399002,30.25,76.080002
35.421001,30.17,78.080002
35.431999,30.1,80.080002
35.440002,30.02,82.080002
35.435001,29.948999,84.080002
35.434002,29.929001,86.080002
35.434002,29.924999,88.080002
35.436001,29.906,90.080002
35.442001,29.881001,92.080002
35.458,29.871,94.18
35.479,29.819,96.080002
35.468002,29.753,98.080002
35.475002,29.638,100.080002
35.471001,29.452999,102.080002
35.487999,29.416,104.080002
35.507,29.344999,106.080002
35.521999,29.237,108.080002
35.542,29.091,110.080002
35.603001,28.886,112.080002
35.646,28.676001,114.18
35.653999,28.427,115.980003
35.654999,28.32,117.980003
35.647999,27.999001,120.080002
35.649002,27.587999,122.080002
35.670002,27.377001,124.080002
35.668999,27.124001,126.080002
35.666,26.877001,128.080002
35.683002,26.481001,130.080002
35.687,25.927,132.080002
35.688999,25.443001,134.080002
35.699001,25.285999,136.080002
35.700001,25.274,138.080002
35.700001,25.205999,140.080002
35.716,24.983999,142.080002
35.723,24.910999,144.080002
35.760002,24.813,146.080002
35.889999,24.854,148.080002
35.959,24.368999,150.180008
35.983002,23.740999,152.080002
35.962002,23.042999,154.080002
35.958,22.728001,155.979996
35.921001,22.238001,158.080002
35.876999,21.643999,160.080002
35.861,21.469999,162.080002
35.852001,21.365,164.080002
35.833,21.186001,166.080002
35.801003,20.863001,168.080002
35.772999,20.403999,170.080002
35.737999,19.959,172.080002
35.719002,19.830999,174.180008
35.700001,19.679001,176.080002
35.658001,19.363001,178.080002
35.601002,18.726,180.080002
35.572002,18.423,182.080002
35.524002,17.858,183.979996
35.455002,17.274,186.080002
35.422001,17.089001,188.080002
35.407001,16.966999,190.080002
35.403,16.93,192.080002
35.400002,16.910999,194.080002
35.396999,16.889,196.080002
35.393002,16.864,198.080002
35.387001,16.826,200.080002
35.375,16.716999,202.080002
35.347,16.388,204.080002
35.310001,16.076,206.080002
35.292,15.913,208.080002
35.271999,15.688,210.080002
35.216,15.196,212.080002
35.156002,14.587,214.080002
35.117001,14.304,216.080002
35.094002,14.098,218.080002
35.072002,13.868,220.080002
35.040001,13.521,222.080002
35.010002,13.187,224.080002
34.990002,13.0,226.080002
34.977001,12.875,228.080002
34.970001,12.793,230.080002
34.961002,12.713,232.080002
34.949001,12.572,234.080002
34.933002,12.385,236.080002
34.901001,11.908,238.080002
34.880001,11.748,240.080002
34.875999,11.711,242.080002
34.871002,11.654,244.080002
34.862999,11.547,246.080002
34.853001,11.418,248.080002
34.84,11.274,250.080002
34.834999,11.228,252.080002
34.827999,11.132,254.080002
34.823002,11.076,256.079987
34.816002,10.992,258.079987
34.811001,10.929,260.079987
34.806,10.848,262.079987
34.799999,10.778,264.079987
34.795002,10.73,266.079987
34.792,10.69,268.079987
34.784,10.547,270.079987
34.775002,10.478,272.079987
34.771999,10.431,274.079987
34.768002,10.368,276.079987
34.760002,10.288,278.079987
34.757999,10.255,280.079987
34.755001,10.222,282.079987
34.751999,10.182,284.079987
34.748001,10.134,286.079987
34.744999,10.101,288.079987
34.740002,10.04,290.079987
34.736,9.986,292.079987
34.73,9.925,294.079987
34.729,9.903,296.079987
34.727001,9.876,298.079987
34.725002,9.867,300.079987
34.725002,9.859,302.079987
34.723,9.836,304.079987
34.721001,9.805,306.079987
34.716999,9.761,308.079987
34.715,9.735,310.079987
34.713001,9.707,312.079987
34.708,9.637,314.079987
34.702,9.544,316.079987
34.698002,9.495,318.079987
34.695999,9.477,320.079987
34.695,9.452,322.079987
34.693001,9.43,324.079987
34.692001,9.423,326.079987
34.691002,9.402,328.079987
34.690002,9.394,330.079987
34.687,9.329,332.079987
34.685001,9.319,334.079987
34.684002,9.299,336.079987
