salinity,temperature,pressure
35.661201,27.146999,1.0
35.6618,27.155001,2.04
35.661201,27.155001,2.96
35.6614,27.156,4.0
35.6646,27.158001,4.96
35.664398,27.159,5.88
35.665001,27.156,6.96
35.6642,27.158001,8.04
35.666,27.158001,9.04
35.665798,27.166,10.04
35.665798,27.162001,10.76
35.665199,27.160999,12.12
35.663399,27.158001,14.08
35.6632,27.157,15.88
35.6632,27.157,17.959999
35.664001,27.150999,20.040001
35.665401,27.153999,22.0
35.6894,27.207001,23.92
35.701599,27.226,25.959999
35.716801,27.239,28.0
35.722801,27.243,30.0
35.723801,27.243,32.0
35.723,27.243,34.0
35.725201,27.245001,35.919998
35.728401,27.249001,38.0
35.730801,27.252001,40.080002
35.7314,27.252001,42.040001
35.733601,27.254,44.080002
35.7346,27.254999,46.040001
35.734402,27.253,47.959999
35.734001,27.254,50.040001
35.7346,27.254,52.0
35.7346,27.254,53.959999
35.736198,27.254,56.040001
35.738998,27.253,58.080002
35.746399,27.247999,60.0
35.752201,27.243999,62.0
35.760201,27.239,64.040001
35.776199,27.226999,66.040001
35.787399,27.219,68.0
35.795601,27.215,70.0
35.804401,27.207001,72.0
35.816601,27.195999,74.0
35.825001,27.183001,76.0
35.826599,27.184,77.919998
35.841599,27.205,80.0
35.8592,27.195,82.080002
35.879002,27.204,84.0
35.895599,27.237,85.919998
35.961201,27.34,87.959999
35.999001,27.384001,89.959999
36.010601,27.389,92.040001
36.0508,27.382999,94.120003
36.038799,27.297001,95.919998
36.047798,27.278999,97.959999
36.093201,27.330999,100.0
36.0942,27.212,102.0
36.127201,27.046,104.040001
36.1964,26.784,105.959999
36.2374,26.302999,107.919998
36.257198,26.027,109.959999
36.313202,25.549999,111.959999
36.3316,25.155001,113.959999
36.339802,24.982,116.0
36.351799,24.896,118.040001
36.3568,24.84,120.040001
36.360199,24.750999,122.0
36.3634,24.656,124.0
36.365398,24.610001,126.040001
36.374001,24.552999,128.0
36.392601,24.518,129.960007
36.385799,24.391001,132.0
36.381802,24.322001,134.039993
36.382801,24.136999,136.039993
36.364201,23.836,138.039993
36.3536,23.697001,139.960007
36.340401,23.537001,141.919998
36.320801,23.361,144.0
36.307598,23.163,146.039993
36.282799,22.947001,147.960007
36.263199,22.783001,149.919998
36.2332,22.551001,152.0
36.221802,22.472,154.080002
36.2146,22.393999,156.0
36.207199,22.344,158.0
36.202,22.226,160.039993
36.176201,22.046,162.080002
36.165199,21.986,163.960007
36.16,21.962,165.960007
36.153999,21.92,167.960007
36.1446,21.849001,170.0
36.134399,21.780001,172.039993
36.118599,21.697001,174.080002
36.108398,21.636,176.039993
36.0956,21.552999,178.039993
36.078201,21.468,180.080002
36.060799,21.398001,182.039993
36.0462,21.261999,184.039993
36.022202,21.159,186.039993
36.0182,21.142,188.039993
36.010399,21.106001,190.039993
36.003601,21.087999,192.080002
35.994801,21.035,194.039993
35.974201,20.9,195.919998
35.9496,20.812,197.919998
35.936199,20.740999,199.960007
35.915401,20.659,202.039993
35.8978,20.540001,204.039993
35.875,20.448999,205.960007
35.853802,20.349001,208.0
35.8316,20.24,210.0
35.811798,20.127001,212.0
35.798599,20.08,214.0
35.7864,20.004,215.960007
35.750801,19.809,218.0
35.719601,19.643999,220.039993
35.6964,19.52,222.039993
35.669601,19.347,224.039993
35.626202,19.122999,226.0
35.5914,18.886,227.960007
35.554001,18.674999,229.960007
35.525398,18.471001,232.0
