salinity_sfile,temperature_sfile,pressure,doxy
35.551998,27.739,-0.4,185.848999
35.551998,27.739,-0.3,184.296677
35.551998,27.739,-0.18,183.80658
35.551998,27.739,-0.1,
35.549099,27.743366,-0.08,182.763657
35.534599,27.7652,0.02,182.867203
35.5201,27.787033,0.12,182.855133
35.5056,27.808867,0.22,
35.4911,27.8307,0.32,
35.476601,27.852533,0.42,
35.465,27.870001,0.5,
35.464962,27.870081,0.52,
35.46476,27.870481,0.62,182.669571
35.464401,27.871201,0.8,182.689804
35.464199,27.871601,0.9,182.488205
35.463802,27.8724,1.1,182.671509
35.4636,27.872801,1.2,
35.463402,27.873201,1.3,182.69458
35.463001,27.874001,1.5,
35.463112,27.87389,1.6,182.571442
35.463223,27.873777,1.7,182.626831
35.463444,27.873556,1.9,182.740875
35.463558,27.873444,2.0,182.548798
35.463779,27.873222,2.2,182.631882
35.46389,27.87311,2.3,
35.464001,27.872999,2.4,
35.464001,27.872799,2.5,182.603287
35.464001,27.872599,2.6,182.593811
35.464001,27.8724,2.7,182.672379
35.464001,27.872,2.9,182.65506
35.464001,27.871799,3.0,182.55571
35.464001,27.871559,3.12,182.592529
35.464001,27.871201,3.3,182.647751
35.464001,27.871,3.4,
35.464001,27.871201,3.5,182.526733
35.464001,27.871599,3.7,182.630493
35.464001,27.872,3.9,182.601486
35.464001,27.8724,4.1,182.607025
35.464001,27.872799,4.3,182.665421
35.464001,27.872999,4.4,
35.464092,27.87318,4.5,182.6362
35.464272,27.873545,4.7,182.622879
35.464455,27.873909,4.9,182.719284
35.464638,27.874273,5.1,182.709717
35.464817,27.874636,5.3,182.71109
35.465,27.875,5.5,182.636963
35.464802,27.874599,5.7,182.562851
35.4646,27.874199,5.9,182.603271
35.464401,27.8738,6.1,182.641586
35.464199,27.8734,6.3,182.632828
35.464001,27.872999,6.5,
35.463779,27.87211,6.6,182.696503
35.463333,27.870333,6.8,182.696152
35.462891,27.868555,7.0,182.644455
35.462444,27.866777,7.2,182.635559
35.462002,27.865,7.4,182.602478
35.462185,27.864819,7.6,182.589417
35.462456,27.864546,7.9,
35.462639,27.864365,8.1,
35.462929,27.864073,8.42,
35.463001,27.864,8.5,
35.462002,27.862,9.5,
35.462002,27.862371,10.02,182.664993
35.462002,27.863001,10.9,
35.462002,27.859449,12.32,182.646027
35.462002,27.858,12.9,
35.462002,27.861639,14.719999,182.552917
35.462002,27.862,14.9,
35.462002,27.861,17.1,
35.46199,27.86092,17.120001,182.694031
35.460999,27.853001,19.1,
35.460724,27.852179,19.620001,182.595963
35.459999,27.85,21.0,
35.458927,27.844095,22.02,182.643799
35.458,27.839001,22.9,
35.45723,27.832829,24.52,182.555283
35.457001,27.830999,25.0,
35.457001,27.839001,26.9,
35.456821,27.838221,27.02,182.589401
35.453999,27.826,28.9,
35.453999,27.823271,29.32,182.657455
35.453999,27.813,30.9,
35.453217,27.807924,31.719999,182.605133
35.452,27.799999,33.0,
35.452484,27.798063,33.920002,182.640671
35.452999,27.796,34.900002,
35.454258,27.796629,36.220001,182.587173
35.455002,27.797001,37.0,
35.455002,27.79538,38.619999,182.568939
35.455002,27.795,39.0,
35.453999,27.794001,40.900002,
35.453999,27.793972,40.920002,182.514954
35.453999,27.791,43.0,
35.45422,27.791111,43.220001,182.447067
35.456001,27.792,45.0,
35.456223,27.792442,45.420002,182.399368
35.457001,27.794001,46.900002,
35.457001,27.79361,47.720001,182.294113
35.457001,27.792999,49.0,
35.457409,27.792179,49.82,182.235184
35.458,27.791,51.0,
35.458389,27.789829,51.82,182.242371
35.459,27.788,53.099998,
35.459,27.78718,53.919998,182.180969
35.459,27.785999,55.099998,
35.459,27.785999,55.919998,182.077316
35.459,27.785999,56.900002,
35.459461,27.78554,57.82,181.991653
35.459999,27.785,58.900002,
35.459999,27.784609,59.720001,181.965988
35.459999,27.784,61.0,
35.459999,27.784,61.619999,181.85701
35.459999,27.784,63.0,
35.459999,27.783779,63.420002,181.817932
35.459999,27.783001,64.900002,
35.460152,27.782696,65.220001,181.797958
35.46096,27.781076,66.919998,181.583389
35.460999,27.781,67.0,
35.460999,27.78009,68.82,181.510666
35.460999,27.780001,69.0,
35.460999,27.780001,70.82,181.432831
35.460999,27.780001,71.099998,
35.460999,27.780001,72.82,181.384796
35.460999,27.780001,73.099998,
35.460999,27.778999,75.0,
35.46101,27.778967,75.019997,181.217041
35.462002,27.775999,76.900002,
35.462002,27.775999,77.220001,181.100021
35.462002,27.775999,78.900002,
35.461674,27.776325,79.520004,180.997391
35.460999,27.777,80.800003,
35.461464,27.776537,81.82,180.846481
35.462002,27.775999,83.0,
35.461468,27.775467,84.120003,180.786255
35.460999,27.775,85.099998,
35.461735,27.773533,86.419998,180.643845
35.462002,27.773001,86.900002,
35.462002,27.771267,88.720001,180.425705
35.462002,27.771,89.0,
35.462002,27.769089,90.720001,180.288635
35.462002,27.768999,90.800003,
35.462002,27.768999,92.82,180.167679
35.462002,27.768999,93.0,
35.462002,27.766685,94.619995,179.957993
35.462002,27.766001,95.099998,
35.462612,27.76478,96.32,179.702499
35.463001,27.764,97.099998,
35.463001,27.76362,97.82,179.477615
35.463001,27.763,99.0,
35.463211,27.762791,99.419998,179.096176
35.464001,27.761999,101.0,
35.464012,27.761999,101.019997,178.689072
35.46476,27.761999,102.519997,178.080551
35.465,27.761999,103.0,
35.465,27.760542,104.019997,177.214188
35.465,27.759001,105.099998,
35.465,27.75559,105.82,176.053574
35.465,27.75,107.0,
35.46582,27.748085,107.519997,174.36142
35.467999,27.743,108.900002,
35.473759,27.73452,109.220001,172.117828
35.504002,27.690001,110.900002,
35.517803,27.669201,111.32,169.562134
35.573002,27.586,113.0,
35.601803,27.538401,113.419998,167.409332
35.716999,27.348,115.099998,
35.774601,27.246441,115.82,165.941757
35.868999,27.08,117.0,
35.92561,26.96372,118.019997,165.181824
35.98,26.851999,119.0,
36.007484,26.757656,119.519997,164.175125
36.086773,26.485516,121.019997,163.753235
36.091,26.471001,121.099998,
36.139629,26.075695,122.419998,163.315674
36.160999,25.902,123.0,
36.173,25.713428,123.720001,163.134903
36.193001,25.399141,124.919998,161.700134
36.195999,25.351999,125.099998,
36.2048,25.1712,125.5,161.289062
36.215801,24.9452,126.0,160.426331
36.224602,24.7644,126.400002,160.662354
36.240002,24.448,127.099998,159.900269
36.248501,24.3085,128.100006,158.11319
36.257,24.169001,129.100006,
36.256474,24.135105,129.300003,156.410049
36.252262,23.863947,130.899994,154.286362
36.251999,23.847,131.0,
36.209095,23.524809,132.700012,151.640839
36.199001,23.448999,133.100006,
36.133633,23.017,134.899994,148.357574
36.130001,22.993,135.0,
36.056,22.517,137.0,
36.049156,22.467211,137.199997,144.942276
35.991001,22.044001,138.899994,
35.959,21.788763,139.699997,142.873566
