salinity_sfile,temperature_sfile,pressure,doxy,lat,lon,date
35.812,25.292,4.34,,-13.09,-115.18,2024-08-14
35.811001,25.292999,6.04,,-13.09,-115.18,2024-08-14
35.811001,25.29212,7.8,205.505554,-13.09,-115.18,2024-08-14
35.811001,25.292,8.04,,-13.09,-115.18,2024-08-14
35.810001,25.290001,10.04,,-13.09,-115.18,2024-08-14
35.810001,25.289185,11.67,205.49472,-13.09,-115.18,2024-08-14
35.810001,25.289,12.04,,-13.09,-115.18,2024-08-14
35.810001,25.294001,14.04,,-13.09,-115.18,2024-08-14
35.811001,25.285999,16.040001,,-13.09,-115.18,2024-08-14
35.811802,25.274399,16.84,205.528412,-13.09,-115.18,2024-08-14
35.813,25.257,18.040001,,-13.09,-115.18,2024-08-14
35.817001,25.243,20.040001,,-13.09,-115.18,2024-08-14
35.819759,25.23196,21.42,205.72525,-13.09,-115.18,2024-08-14
35.820999,25.226999,22.040001,,-13.09,-115.18,2024-08-14
35.820999,25.219,24.040001,,-13.09,-115.18,2024-08-14
35.82,25.212999,26.040001,,-13.09,-115.18,2024-08-14
35.8204,25.2106,26.84,205.736786,-13.09,-115.18,2024-08-14
35.820999,25.207001,28.040001,,-13.09,-115.18,2024-08-14
35.820999,25.204,30.040001,,-13.09,-115.18,2024-08-14
35.820999,25.197596,31.870001,205.700851,-13.09,-115.18,2024-08-14
35.820999,25.197001,32.040001,,-13.09,-115.18,2024-08-14
35.82,25.191999,34.040001,,-13.09,-115.18,2024-08-14
35.82,25.183001,36.040001,,-13.09,-115.18,2024-08-14
35.82,25.182026,36.43,205.557632,-13.09,-115.18,2024-08-14
35.82,25.177999,38.040001,,-13.09,-115.18,2024-08-14
35.82,25.172001,40.040001,,-13.09,-115.18,2024-08-14
35.82,25.17041,41.100002,205.423676,-13.09,-115.18,2024-08-14
35.82,25.169001,42.040001,,-13.09,-115.18,2024-08-14
35.819,25.162001,44.040001,,-13.09,-115.18,2024-08-14
35.816002,25.145,46.040001,,-13.09,-115.18,2024-08-14
35.814583,25.132219,46.75,205.261749,-13.09,-115.18,2024-08-14
35.812,25.108999,48.040001,,-13.09,-115.18,2024-08-14
35.813999,25.089001,50.040001,,-13.09,-115.18,2024-08-14
35.830101,25.088234,51.880001,205.175339,-13.09,-115.18,2024-08-14
35.834999,25.087999,52.440002,,-13.09,-115.18,2024-08-14
35.911999,25.097,53.540001,,-13.09,-115.18,2024-08-14
36.139,25.055,56.040001,,-13.09,-115.18,2024-08-14
36.145748,25.0406,56.940002,203.515015,-13.09,-115.18,2024-08-14
36.153999,25.023001,58.040001,,-13.09,-115.18,2024-08-14
36.170002,24.974001,60.040001,,-13.09,-115.18,2024-08-14
36.173275,24.960245,61.350002,203.141373,-13.09,-115.18,2024-08-14
36.174999,24.952999,62.040001,,-13.09,-115.18,2024-08-14
36.177002,24.944,64.040001,,-13.09,-115.18,2024-08-14
36.18,24.933001,66.040001,,-13.09,-115.18,2024-08-14
36.181274,24.928751,66.889999,202.502258,-13.09,-115.18,2024-08-14
36.182999,24.923,68.040001,,-13.09,-115.18,2024-08-14
36.184002,24.919001,70.040001,,-13.09,-115.18,2024-08-14
36.184002,24.916121,71.959999,202.265671,-13.09,-115.18,2024-08-14
36.184002,24.916,72.040001,,-13.09,-115.18,2024-08-14
36.185001,24.912001,74.040001,,-13.09,-115.18,2024-08-14
36.185001,24.908001,76.040001,,-13.09,-115.18,2024-08-14
36.185001,24.907726,76.150002,201.979462,-13.09,-115.18,2024-08-14
36.185001,24.903,78.040001,,-13.09,-115.18,2024-08-14
36.186001,24.899,80.040001,,-13.09,-115.18,2024-08-14
36.18763,24.8827,81.669998,200.159622,-13.09,-115.18,2024-08-14
36.188,24.879,82.040001,,-13.09,-115.18,2024-08-14
36.193001,24.822001,84.040001,,-13.09,-115.18,2024-08-14
36.195999,24.784,86.040001,,-13.09,-115.18,2024-08-14
36.198135,24.758076,86.650002,198.698868,-13.09,-115.18,2024-08-14
36.202999,24.698999,88.040001,,-13.09,-115.18,2024-08-14
36.205002,24.660999,90.040001,,-13.09,-115.18,2024-08-14
36.221561,24.60672,91.879997,198.343765,-13.09,-115.18,2024-08-14
36.223,24.601999,92.040001,,-13.09,-115.18,2024-08-14
36.232002,24.552999,94.040001,,-13.09,-115.18,2024-08-14
36.243,24.525999,96.040001,,-13.09,-115.18,2024-08-14
36.251911,24.521544,96.849998,198.739304,-13.09,-115.18,2024-08-14
36.264999,24.514999,98.040001,,-13.09,-115.18,2024-08-14
36.281002,24.518,100.040001,,-13.09,-115.18,2024-08-14
36.294205,24.50827,101.43,198.25322,-13.09,-115.18,2024-08-14
36.299999,24.504,102.040001,,-13.09,-115.18,2024-08-14
36.303001,24.476,104.139999,,-13.09,-115.18,2024-08-14
36.309002,24.447001,106.040001,,-13.09,-115.18,2024-08-14
36.303001,24.385,108.040001,,-13.09,-115.18,2024-08-14
36.247002,24.114,109.940002,,-13.09,-115.18,2024-08-14
36.210621,23.840233,111.849998,192.999634,-13.09,-115.18,2024-08-14
36.207001,23.813,112.040001,,-13.09,-115.18,2024-08-14
36.146,23.448999,114.040001,,-13.09,-115.18,2024-08-14
36.163002,23.339001,116.040001,,-13.09,-115.18,2024-08-14
36.133999,23.069,118.040001,,-13.09,-115.18,2024-08-14
36.117001,22.941,120.040001,,-13.09,-115.18,2024-08-14
36.11314,22.852221,121.970001,189.554794,-13.09,-115.18,2024-08-14
36.112999,22.849001,122.040001,,-13.09,-115.18,2024-08-14
36.077,22.514999,124.040001,,-13.09,-115.18,2024-08-14
36.046001,22.271999,126.040001,,-13.09,-115.18,2024-08-14
36.021999,22.131001,128.139999,,-13.09,-115.18,2024-08-14
35.986,21.84,130.039993,,-13.09,-115.18,2024-08-14
35.966633,21.69861,131.87999,188.183456,-13.09,-115.18,2024-08-14
35.966,21.694,131.939987,,-13.09,-115.18,2024-08-14
35.946999,21.587999,134.039993,,-13.09,-115.18,2024-08-14
35.922001,21.360001,136.039993,,-13.09,-115.18,2024-08-14
35.903,21.245001,138.039993,,-13.09,-115.18,2024-08-14
35.882,21.138,140.039993,,-13.09,-115.18,2024-08-14
35.86874,21.05064,141.599991,187.190552,-13.09,-115.18,2024-08-14
35.865002,21.025999,142.039993,,-13.09,-115.18,2024-08-14
35.848999,20.868999,144.039993,,-13.09,-115.18,2024-08-14
35.833,20.745001,146.039993,,-13.09,-115.18,2024-08-14
35.795002,20.481001,148.039993,,-13.09,-115.18,2024-08-14
35.754002,20.138,150.039993,,-13.09,-115.18,2024-08-14
35.726742,19.966919,151.919998,187.604095,-13.09,-115.18,2024-08-14
35.725002,19.955999,152.039993,,-13.09,-115.18,2024-08-14
35.723,19.889999,154.039993,,-13.09,-115.18,2024-08-14
35.714001,19.802999,156.039993,,-13.09,-115.18,2024-08-14
35.698002,19.681999,158.039993,,-13.09,-115.18,2024-08-14
35.679001,19.572001,160.039993,,-13.09,-115.18,2024-08-14
35.657993,19.441164,161.949997,187.959427,-13.09,-115.18,2024-08-14
35.657001,19.434999,162.039993,,-13.09,-115.18,2024-08-14
35.642002,19.354,164.039993,,-13.09,-115.18,2024-08-14
35.626999,19.287001,166.039993,,-13.09,-115.18,2024-08-14
35.612999,19.212999,168.039993,,-13.09,-115.18,2024-08-14
35.601002,19.158001,170.039993,,-13.09,-115.18,2024-08-14
35.585529,19.069941,171.229996,186.43692,-13.09,-115.18,2024-08-14
35.575001,19.01,172.039993,,-13.09,-115.18,2024-08-14
35.556999,18.924,174.039993,,-13.09,-115.18,2024-08-14
35.545002,18.861,176.039993,,-13.09,-115.18,2024-08-14
35.532001,18.792999,178.039993,,-13.09,-115.18,2024-08-14
35.529999,18.783001,180.039993,,-13.09,-115.18,2024-08-14
35.527199,18.766901,181.439987,185.835068,-13.09,-115.18,2024-08-14
35.526001,18.76,182.039993,,-13.09,-115.18,2024-08-14
35.514999,18.702999,184.039993,,-13.09,-115.18,2024-08-14
35.510002,18.683001,186.039993,,-13.09,-115.18,2024-08-14
35.505001,18.653999,188.039993,,-13.09,-115.18,2024-08-14
35.496002,18.608,190.039993,,-13.09,-115.18,2024-08-14
35.493614,18.600845,191.62999,183.370621,-13.09,-115.18,2024-08-14
35.493,18.599001,192.039993,,-13.09,-115.18,2024-08-14
35.484001,18.544001,194.039993,,-13.09,-115.18,2024-08-14
35.446999,18.312,196.039993,,-13.09,-115.18,2024-08-14
35.431999,18.226,198.039993,,-13.09,-115.18,2024-08-14
35.424999,18.197001,200.039993,,-13.09,-115.18,2024-08-14
35.420227,18.170261,201.949997,179.837997,-13.09,-115.18,2024-08-14
35.420002,18.169001,202.039993,,-13.09,-115.18,2024-08-14
35.417,18.159,204.039993,,-13.09,-115.18,2024-08-14
35.413002,18.138,206.039993,,-13.09,-115.18,2024-08-14
35.400002,18.068001,208.039993,,-13.09,-115.18,2024-08-14
35.380001,17.929001,210.039993,,-13.09,-115.18,2024-08-14
35.367649,17.876751,211.939987,169.533066,-13.09,-115.18,2024-08-14
35.367001,17.874001,212.039993,,-13.09,-115.18,2024-08-14
35.348,17.757999,214.039993,,-13.09,-115.18,2024-08-14
35.306,17.455999,216.039993,,-13.09,-115.18,2024-08-14
35.264,17.171,218.039993,,-13.09,-115.18,2024-08-14
35.25,17.096001,220.039993,,-13.09,-115.18,2024-08-14
35.23251,16.960054,221.62999,153.434708,-13.09,-115.18,2024-08-14
35.228001,16.924999,222.039993,,-13.09,-115.18,2024-08-14
35.207001,16.797001,224.039993,,-13.09,-115.18,2024-08-14
35.178001,16.531,226.039993,,-13.09,-115.18,2024-08-14
35.135002,16.167,228.039993,,-13.09,-115.18,2024-08-14
35.103001,15.933,230.039993,,-13.09,-115.18,2024-08-14
35.094677,15.871394,231.149994,143.913895,-13.09,-115.18,2024-08-14
35.088001,15.822,232.039993,,-13.09,-115.18,2024-08-14
35.076,15.748,234.039993,,-13.09,-115.18,2024-08-14
35.059002,15.615,236.039993,,-13.09,-115.18,2024-08-14
35.046001,15.542,238.039993,,-13.09,-115.18,2024-08-14
35.028999,15.408,240.039993,,-13.09,-115.18,2024-08-14
35.023808,15.370805,241.769989,137.956375,-13.09,-115.18,2024-08-14
35.022999,15.365,242.039993,,-13.09,-115.18,2024-08-14
35.014,15.274,244.039993,,-13.09,-115.18,2024-08-14
34.998001,15.155,246.039993,,-13.09,-115.18,2024-08-14
34.976002,14.937,248.039993,,-13.09,-115.18,2024-08-14
34.944,14.675,250.039993,,-13.09,-115.18,2024-08-14
34.936081,14.6321,251.360001,130.760269,-13.09,-115.18,2024-08-14
34.931999,14.61,252.039993,,-13.09,-115.18,2024-08-14
34.922001,14.523,254.039993,,-13.09,-115.18,2024-08-14
34.906002,14.386,256.040009,,-13.09,-115.18,2024-08-14
34.888,14.26,258.040009,,-13.09,-115.18,2024-08-14
34.866001,14.075,260.040009,,-13.09,-115.18,2024-08-14
34.845329,13.87625,261.630005,112.051437,-13.09,-115.18,2024-08-14
34.84,13.825,262.040009,,-13.09,-115.18,2024-08-14
34.814999,13.658,264.040009,,-13.09,-115.18,2024-08-14
34.798,13.487,266.040009,,-13.09,-115.18,2024-08-14
34.781002,13.344,268.040009,,-13.09,-115.18,2024-08-14
34.764999,13.189,270.040009,,-13.09,-115.18,2024-08-14
34.76186,13.156031,271.610016,96.733582,-13.09,-115.18,2024-08-14
34.761002,13.147,272.040009,,-13.09,-115.18,2024-08-14
34.757999,13.109,274.040009,,-13.09,-115.18,2024-08-14
34.748001,12.975,276.040009,,-13.09,-115.18,2024-08-14
34.737,12.888,278.040009,,-13.09,-115.18,2024-08-14
34.725002,12.773,280.040009,,-13.09,-115.18,2024-08-14
34.708832,12.62747,281.51001,80.575836,-13.09,-115.18,2024-08-14
34.702999,12.575,282.040009,,-13.09,-115.18,2024-08-14
34.685001,12.327,284.040009,,-13.09,-115.18,2024-08-14
