id,platform,cycle,lat,lon,date
3902164_029,3902164,29,-19.53472,-89.5755,2019-12-30
3901810_101,3901810,101,-18.64168,-80.71408,2019-12-30
3901813_187,3901813,187,-15.18299,-88.49574,2019-12-28
6902827_250,6902827,250,-11.91302,-86.46820833333334,2019-12-27
3901809_210,3901809,210,-10.81302,-79.09419,2019-12-26
3901808_195,3901808,195,-10.32007,-80.17844,2019-12-26
3901243_170,3901243,170,-10.01788,-81.54171,2019-12-25
3901181_211,3901181,211,-9.709,-83.908,2019-12-25
3901269_118,3901269,118,-16.70693,-83.88506,2019-12-24
3901185_211,3901185,211,-17.694,-76.629,2019-12-24
3901282_116,3901282,116,-19.737,-87.143,2019-12-24
6902827_249,6902827,249,-11.91867,-86.63534333333334,2019-12-23
3901813_186,3901813,186,-15.25986,-88.43785,2019-12-23
6902674_143,6902674,143,-12.092,-84.37700000000001,2019-12-22
3901287_112,3901287,112,-19.034,-89.371,2019-12-22
3901272_116,3901272,116,-18.66604,-88.67391,2019-12-21
3901809_209,3901809,209,-10.935,-79.06705,2019-12-21
3901048_219,3901048,219,-18.69396,-85.97718,2019-12-21
3901808_194,3901808,194,-9.97287,-80.47268,2019-12-21
3902164_028,3902164,28,-19.50568,-89.54813,2019-12-20
3901810_100,3901810,100,-18.51359,-80.83511,2019-12-20
6902827_248,6902827,248,-11.929758333333334,-86.81520166666667,2019-12-18
3901813_185,3901813,185,-15.32096,-88.34711,2019-12-18
3901200_128,3901200,128,-18.353,-89.942,2019-12-18
3901809_208,3901809,208,-11.06462,-79.06579,2019-12-16
3901808_193,3901808,193,-10.2393,-80.25904,2019-12-16
3901243_169,3901243,169,-10.26197,-81.25604,2019-12-15
3901181_210,3901181,210,-9.593,-83.901,2019-12-15
3901269_117,3901269,117,-17.06664,-83.9634,2019-12-14
3901185_210,3901185,210,-17.539,-76.658,2019-12-14
3901282_115,3901282,115,-19.658,-87.243,2019-12-14
6902827_247,6902827,247,-11.982601666666667,-86.97745833333333,2019-12-13
3901813_184,3901813,184,-15.37858,-88.2531,2019-12-13
6902674_142,6902674,142,-12.051,-84.31099999999998,2019-12-12
3901287_111,3901287,111,-18.989,-89.34,2019-12-12
3901272_115,3901272,115,-18.52333,-88.4469,2019-12-11
3901048_218,3901048,218,-18.94233,-85.8597,2019-12-11
3901809_207,3901809,207,-11.09916,-79.02729,2019-12-11
3901808_192,3901808,192,-10.32026,-80.2293,2019-12-11
3902164_027,3902164,27,-19.61515,-89.52456,2019-12-10
3901810_099,3901810,99,-18.38207,-80.99929,2019-12-10
3901813_183,3901813,183,-15.43139,-88.17117,2019-12-08
3901200_127,3901200,127,-18.737,-89.767,2019-12-08
6902827_246,6902827,246,-12.081366666666666,-87.09059833333333,2019-12-07
3901809_206,3901809,206,-11.34054,-78.73696,2019-12-06
3901808_191,3901808,191,-10.36278,-80.2017,2019-12-06
3901243_168,3901243,168,-10.50222,-81.03169,2019-12-05
3901181_209,3901181,209,-9.526,-83.871,2019-12-05
3901269_116,3901269,116,-17.32902,-84.17384,2019-12-04
3901185_209,3901185,209,-17.404,-76.657,2019-12-04
3901282_114,3901282,114,-19.613,-87.273,2019-12-04
6902827_245,6902827,245,-12.148975,-87.11275166666667,2019-12-03
3901813_182,3901813,182,-15.49069,-88.07417,2019-12-03
6902674_141,6902674,141,-11.862,-84.31,2019-12-02
3901048_217,3901048,217,-18.85269,-85.89651,2019-12-02
3901287_110,3901287,110,-18.973,-89.257,2019-12-02
3901272_114,3901272,114,-18.31164,-88.17714,2019-12-02
3901809_205,3901809,205,-11.48538,-78.72319,2019-12-01
3901808_190,3901808,190,-10.43493,-80.09335,2019-12-01
3902164_026,3902164,26,-19.84523,-89.47156,2019-12-01
3901810_098,3901810,98,-18.24634,-81.09326,2019-11-30
6902827_244,6902827,244,-12.250861666666667,-87.11848,2019-11-28
3901813_181,3901813,181,-15.55203,-87.96448,2019-11-28
3901200_126,3901200,126,-18.691,-89.462,2019-11-28
3901809_204,3901809,204,-11.95766,-78.33667,2019-11-26
3901808_189,3901808,189,-10.51785,-80.05841,2019-11-26
3901243_167,3901243,167,-10.66517,-80.85289,2019-11-25
3901181_208,3901181,208,-9.512,-83.755,2019-11-25
3901269_115,3901269,115,-17.44555,-84.32854,2019-11-24
3901185_208,3901185,208,-17.242,-76.623,2019-11-24
3901282_113,3901282,113,-19.556,-87.183,2019-11-24
6902827_243,6902827,243,-12.318436666666667,-87.07849666666667,2019-11-23
3901813_180,3901813,180,-15.58635,-87.86421,2019-11-23
6902674_140,6902674,140,-11.656,-84.38099999999997,2019-11-22
3901048_216,3901048,216,-18.63501,-85.92756,2019-11-22
3901287_109,3901287,109,-18.98,-89.129,2019-11-22
3901272_113,3901272,113,-18.05352,-87.98387,2019-11-22
3901809_203,3901809,203,-12.7245,-77.90921,2019-11-21
3901808_188,3901808,188,-10.67549,-79.95611,2019-11-21
