salinity,temperature,pressure,lat,lon,date
36.120998,18.389999,3.88,-19.06,-86.98,2019-09-25
35.785999,18.396999,5.68,-19.06,-86.98,2019-09-25
35.789001,18.399,7.68,-19.06,-86.98,2019-09-25
35.789001,18.396999,9.68,-19.06,-86.98,2019-09-25
35.798,18.400999,11.68,-19.06,-86.98,2019-09-25
35.787998,18.403,13.68,-19.06,-86.98,2019-09-25
35.790001,18.402,15.68,-19.06,-86.98,2019-09-25
35.790001,18.402,17.68,-19.06,-86.98,2019-09-25
35.792,18.402,19.68,-19.06,-86.98,2019-09-25
35.793999,18.403,21.68,-19.06,-86.98,2019-09-25
35.794998,18.403999,23.68,-19.06,-86.98,2019-09-25
35.875999,18.403999,25.68,-19.06,-86.98,2019-09-25
38.473,18.395,27.68,-19.06,-86.98,2019-09-25
39.027,18.395,29.68,-19.06,-86.98,2019-09-25
39.036999,18.385,31.68,-19.06,-86.98,2019-09-25
39.042,18.379999,33.68,-19.06,-86.98,2019-09-25
39.042,18.379999,35.68,-19.06,-86.98,2019-09-25
39.07,18.379,37.68,-19.06,-86.98,2019-09-25
39.119999,18.377001,39.68,-19.06,-86.98,2019-09-25
39.123001,18.375999,41.68,-19.06,-86.98,2019-09-25
39.120998,18.375999,43.68,-19.06,-86.98,2019-09-25
39.137001,18.372999,45.68,-19.06,-86.98,2019-09-25
39.144001,18.368999,47.68,-19.06,-86.98,2019-09-25
39.147999,18.365999,49.68,-19.06,-86.98,2019-09-25
39.141998,18.360001,51.68,-19.06,-86.98,2019-09-25
39.138,18.362,53.68,-19.06,-86.98,2019-09-25
39.199001,18.363001,55.68,-19.06,-86.98,2019-09-25
39.245998,18.360001,57.68,-19.06,-86.98,2019-09-25
39.238998,18.354,59.68,-19.06,-86.98,2019-09-25
39.248001,18.347,61.68,-19.06,-86.98,2019-09-25
39.257999,18.339001,63.68,-19.06,-86.98,2019-09-25
39.257,18.320999,65.68,-19.06,-86.98,2019-09-25
39.258999,18.319,67.68,-19.06,-86.98,2019-09-25
39.257,18.316,69.68,-19.06,-86.98,2019-09-25
39.263,18.316,71.68,-19.06,-86.98,2019-09-25
39.286999,18.32,73.68,-19.06,-86.98,2019-09-25
39.297001,18.323,75.68,-19.06,-86.98,2019-09-25
39.294998,18.323,77.68,-19.06,-86.98,2019-09-25
39.305,18.325001,79.68,-19.06,-86.98,2019-09-25
39.306,18.329,81.68,-19.06,-86.98,2019-09-25
39.317001,18.33,83.68,-19.06,-86.98,2019-09-25
39.331001,18.332001,85.68,-19.06,-86.98,2019-09-25
39.317001,18.332001,87.68,-19.06,-86.98,2019-09-25
39.313999,18.332001,89.68,-19.06,-86.98,2019-09-25
39.312,18.333,91.68,-19.06,-86.98,2019-09-25
39.305,18.333,93.68,-19.06,-86.98,2019-09-25
39.319,18.33,95.68,-19.06,-86.98,2019-09-25
39.342999,18.327999,97.68,-19.06,-86.98,2019-09-25
39.352001,18.327999,99.68,-19.06,-86.98,2019-09-25
39.365002,18.327999,101.68,-19.06,-86.98,2019-09-25
39.360001,18.329,103.68,-19.06,-86.98,2019-09-25
39.372002,18.329,105.68,-19.06,-86.98,2019-09-25
39.387001,18.329,107.68,-19.06,-86.98,2019-09-25
39.386002,18.329,109.68,-19.06,-86.98,2019-09-25
39.389999,18.33,111.68,-19.06,-86.98,2019-09-25
39.390999,18.319,113.68,-19.06,-86.98,2019-09-25
39.386002,18.308001,115.68,-19.06,-86.98,2019-09-25
39.389,18.302,117.68,-19.06,-86.98,2019-09-25
39.393002,18.296,119.68,-19.06,-86.98,2019-09-25
39.400002,18.290001,121.68,-19.06,-86.98,2019-09-25
39.422001,18.284,123.68,-19.06,-86.98,2019-09-25
39.424,18.283001,125.68,-19.06,-86.98,2019-09-25
39.431,18.280001,127.68,-19.06,-86.98,2019-09-25
39.436001,18.277,129.679993,-19.06,-86.98,2019-09-25
39.432999,18.278999,131.679993,-19.06,-86.98,2019-09-25
39.432999,18.285999,133.679993,-19.06,-86.98,2019-09-25
39.437,18.281,135.679993,-19.06,-86.98,2019-09-25
39.437,18.278999,137.679993,-19.06,-86.98,2019-09-25
39.450001,18.299,139.679993,-19.06,-86.98,2019-09-25
39.453999,18.292,141.679993,-19.06,-86.98,2019-09-25
39.456001,18.280001,143.679993,-19.06,-86.98,2019-09-25
39.460999,18.250999,145.679993,-19.06,-86.98,2019-09-25
39.462002,18.240999,147.679993,-19.06,-86.98,2019-09-25
39.459,18.224001,149.679993,-19.06,-86.98,2019-09-25
39.457001,18.212999,151.679993,-19.06,-86.98,2019-09-25
39.457001,18.205999,153.679993,-19.06,-86.98,2019-09-25
39.452999,18.187,155.679993,-19.06,-86.98,2019-09-25
39.452999,18.162001,157.679993,-19.06,-86.98,2019-09-25
39.456001,18.158001,159.679993,-19.06,-86.98,2019-09-25
39.459,18.165001,161.679993,-19.06,-86.98,2019-09-25
39.462002,18.176001,163.679993,-19.06,-86.98,2019-09-25
39.478001,18.191999,165.679993,-19.06,-86.98,2019-09-25
39.523998,18.194,167.679993,-19.06,-86.98,2019-09-25
39.542,18.197001,169.679993,-19.06,-86.98,2019-09-25
39.543999,18.197001,171.679993,-19.06,-86.98,2019-09-25
39.521999,18.152,173.679993,-19.06,-86.98,2019-09-25
39.452999,17.881001,175.679993,-19.06,-86.98,2019-09-25
39.384998,17.544001,177.679993,-19.06,-86.98,2019-09-25
39.316002,17.169001,179.679993,-19.06,-86.98,2019-09-25
39.219002,16.771999,181.679993,-19.06,-86.98,2019-09-25
39.151001,16.472,183.679993,-19.06,-86.98,2019-09-25
39.057999,15.832,185.679993,-19.06,-86.98,2019-09-25
38.991001,15.398,187.679993,-19.06,-86.98,2019-09-25
38.951,15.175,189.679993,-19.06,-86.98,2019-09-25
38.945999,15.155,191.679993,-19.06,-86.98,2019-09-25
38.979,14.996,193.679993,-19.06,-86.98,2019-09-25
38.946999,14.756,195.679993,-19.06,-86.98,2019-09-25
38.928001,14.575,197.679993,-19.06,-86.98,2019-09-25
38.905998,14.327,199.679993,-19.06,-86.98,2019-09-25
