salinity_sfile,temperature_sfile,pressure,lat,lon,date
,,0.1,-12.36,-86.9,2019-11-08
,,0.2,-12.36,-86.9,2019-11-08
,,0.32,-12.36,-86.9,2019-11-08
,,0.6,-12.36,-86.9,2019-11-08
,,0.8,-12.36,-86.9,2019-11-08
,,1.12,-12.36,-86.9,2019-11-08
,,1.3,-12.36,-86.9,2019-11-08
,19.195,1.4,-12.36,-86.9,2019-11-08
,19.195,1.5,-12.36,-86.9,2019-11-08
,19.195,1.7,-12.36,-86.9,2019-11-08
,19.195,1.82,-12.36,-86.9,2019-11-08
,19.195,2.0,-12.36,-86.9,2019-11-08
,19.195,2.1,-12.36,-86.9,2019-11-08
,19.195,2.4,-12.36,-86.9,2019-11-08
,19.195799,2.6,-12.36,-86.9,2019-11-08
,19.196199,2.7,-12.36,-86.9,2019-11-08
,19.197399,3.0,-12.36,-86.9,2019-11-08
,19.1978,3.1,-12.36,-86.9,2019-11-08
,19.198599,3.3,-12.36,-86.9,2019-11-08
,19.198999,3.4,-12.36,-86.9,2019-11-08
,19.199181,3.6,-12.36,-86.9,2019-11-08
,19.199364,3.8,-12.36,-86.9,2019-11-08
,19.199455,3.9,-12.36,-86.9,2019-11-08
,19.199636,4.1,-12.36,-86.9,2019-11-08
,19.19982,4.3,-12.36,-86.9,2019-11-08
,19.200001,4.5,-12.36,-86.9,2019-11-08
,19.198801,4.9,-12.36,-86.9,2019-11-08
,19.1982,5.1,-12.36,-86.9,2019-11-08
,19.197901,5.2,-12.36,-86.9,2019-11-08
,19.1973,5.4,-12.36,-86.9,2019-11-08
,19.197001,5.5,-12.36,-86.9,2019-11-08
,19.1966,5.7,-12.36,-86.9,2019-11-08
,19.1964,5.8,-12.36,-86.9,2019-11-08
,19.195999,6.0,-12.36,-86.9,2019-11-08
,19.19556,6.22,-12.36,-86.9,2019-11-08
,19.195,6.5,-12.36,-86.9,2019-11-08
,19.194799,6.7,-12.36,-86.9,2019-11-08
,19.1947,6.8,-12.36,-86.9,2019-11-08
,19.1945,7.0,-12.36,-86.9,2019-11-08
,19.19418,7.32,-12.36,-86.9,2019-11-08
,19.194,7.5,-12.36,-86.9,2019-11-08
,19.192801,7.6,-12.36,-86.9,2019-11-08
,19.189199,7.9,-12.36,-86.9,2019-11-08
,19.1868,8.1,-12.36,-86.9,2019-11-08
,19.184399,8.3,-12.36,-86.9,2019-11-08
,19.181999,8.5,-12.36,-86.9,2019-11-08
,19.182364,8.6,-12.36,-86.9,2019-11-08
,19.18309,8.8,-12.36,-86.9,2019-11-08
,19.183819,9.0,-12.36,-86.9,2019-11-08
,19.185709,9.52,-12.36,-86.9,2019-11-08
,19.186001,9.6,-12.36,-86.9,2019-11-08
,19.191,10.5,-12.36,-86.9,2019-11-08
,19.19088,10.52,-12.36,-86.9,2019-11-08
,19.184999,11.5,-12.36,-86.9,2019-11-08
,19.18404,11.62,-12.36,-86.9,2019-11-08
,19.177,12.5,-12.36,-86.9,2019-11-08
,19.1754,12.72,-12.36,-86.9,2019-11-08
,19.169001,13.6,-12.36,-86.9,2019-11-08
,19.168867,13.72,-12.36,-86.9,2019-11-08
,19.167999,14.5,-12.36,-86.9,2019-11-08
,19.167511,14.72,-12.36,-86.9,2019-11-08
,19.166,15.4,-12.36,-86.9,2019-11-08
,19.164854,15.82,-12.36,-86.9,2019-11-08
,19.163,16.5,-12.36,-86.9,2019-11-08
,19.162041,16.82,-12.36,-86.9,2019-11-08
,19.16,17.5,-12.36,-86.9,2019-11-08
,19.16,17.92,-12.36,-86.9,2019-11-08
,19.16,18.5,-12.36,-86.9,2019-11-08
,19.16,18.92,-12.36,-86.9,2019-11-08
,19.16,19.4,-12.36,-86.9,2019-11-08
,19.15938,20.02,-12.36,-86.9,2019-11-08
,19.159,20.4,-12.36,-86.9,2019-11-08
,19.159,21.119999,-12.36,-86.9,2019-11-08
,19.159,21.4,-12.36,-86.9,2019-11-08
,19.158255,22.219999,-12.36,-86.9,2019-11-08
,19.158001,22.5,-12.36,-86.9,2019-11-08
,19.156361,23.32,-12.36,-86.9,2019-11-08
,19.156,23.5,-12.36,-86.9,2019-11-08
,19.156,24.42,-12.36,-86.9,2019-11-08
,19.156,24.5,-12.36,-86.9,2019-11-08
,19.156,25.42,-12.36,-86.9,2019-11-08
,19.156,25.5,-12.36,-86.9,2019-11-08
,19.156,26.5,-12.36,-86.9,2019-11-08
,19.155981,26.52,-12.36,-86.9,2019-11-08
,19.155001,27.5,-12.36,-86.9,2019-11-08
,19.155001,27.620001,-12.36,-86.9,2019-11-08
,19.155001,28.5,-12.36,-86.9,2019-11-08
,19.155001,28.620001,-12.36,-86.9,2019-11-08
,19.155001,29.5,-12.36,-86.9,2019-11-08
,19.155001,29.719999,-12.36,-86.9,2019-11-08
,19.155001,30.5,-12.36,-86.9,2019-11-08
,19.155001,30.82,-12.36,-86.9,2019-11-08
,19.155001,31.4,-12.36,-86.9,2019-11-08
,19.155001,31.92,-12.36,-86.9,2019-11-08
,19.155001,32.400002,-12.36,-86.9,2019-11-08
,19.155001,33.02,-12.36,-86.9,2019-11-08
,19.155001,33.5,-12.36,-86.9,2019-11-08
,19.155001,34.119999,-12.36,-86.9,2019-11-08
,19.155001,34.5,-12.36,-86.9,2019-11-08
,19.155001,35.220001,-12.36,-86.9,2019-11-08
,19.155001,35.5,-12.36,-86.9,2019-11-08
,19.154345,36.219997,-12.36,-86.9,2019-11-08
