salinity_sfile,temperature_sfile,pressure,doxy
33.813202,30.691999,0.72,
33.818802,30.691,0.84,
33.821602,30.688,0.88,
33.821201,30.681,1.0,
33.819401,30.684999,1.08,
33.819958,30.682913,1.72,190.603043
33.820202,30.681999,2.0,
33.820042,30.683599,2.8,
33.82,30.684,3.0,
33.820129,30.68528,3.64,190.56871
33.820202,30.686001,4.0,
33.82003,30.68684,4.84,
33.82,30.687,5.0,
33.819859,30.690599,5.72,190.560089
33.819801,30.691999,6.0,
33.81963,30.701307,6.88,
33.819599,30.702999,7.04,
33.819298,30.703751,7.76,190.351242
33.819199,30.704,8.0,
33.819199,30.704,8.76,
33.819199,30.704,8.96,
33.819199,30.7024,9.76,190.403427
33.819199,30.702,9.96,
33.819,30.702999,10.76,
33.818905,30.700748,10.88,
33.818314,30.686501,11.64,190.693268
33.818001,30.679001,12.04,
33.815651,30.658062,12.76,
33.812775,30.632469,13.64,190.799728
33.8116,30.622,14.0,
33.810425,30.608938,14.64,
33.808586,30.588531,15.64,190.97464
33.807999,30.582001,15.96,
33.80793,30.575647,16.68,
33.807831,30.566822,17.68,190.996964
33.8078,30.563999,18.0,
33.80719,30.55982,18.76,
33.806389,30.554319,19.76,191.169067
33.806198,30.552999,20.0,
33.806606,30.550961,20.68,
33.807232,30.54784,21.719999,191.241257
33.8074,30.547001,22.0,
33.807793,30.543736,22.639999,
33.808453,30.538225,23.719999,191.224503
33.808601,30.537001,23.959999,
33.808468,30.533667,24.639999,
33.808262,30.528568,25.68,191.39592
33.808201,30.527,26.0,
33.808273,30.518,26.719999,
33.808365,30.5065,27.639999,191.666931
33.808399,30.502001,28.0,
33.812599,30.496,28.68,
33.819023,30.486822,29.719999,191.992355
33.820999,30.483999,30.040001,
33.832005,30.47896,30.879999,
33.841957,30.4744,31.639999,192.36409
33.847198,30.472,32.040001,
33.857517,30.470694,32.68,
33.874287,30.468573,33.720001,193.005936
33.878799,30.468,34.0,
33.895706,30.467611,34.759998,
33.917061,30.467121,35.720001,193.55072
33.922401,30.466999,35.959999,
33.953304,30.474058,36.759998,
33.987297,30.481823,37.639999,194.320816
34.001202,30.485001,38.0,
34.029068,30.493196,38.759998,
34.065735,30.503981,39.759998,194.390213
34.076,30.507,40.040001,
34.097561,30.511652,40.799999,
34.12479,30.51753,41.759998,195.189972
34.131599,30.518999,42.0,
34.14938,30.524509,42.720001,
34.17506,30.532469,43.759998,195.476761
34.18,30.534,43.959999,
34.207954,30.536118,44.68,
