salinity,temperature,pressure
32.951,29.357,1.08
32.961201,29.341999,2.0
32.968201,29.334999,3.0
32.983601,29.323,4.04
32.988602,29.318001,5.0
33.0602,29.245001,5.96
33.083401,29.216,7.0
33.094601,29.209999,7.96
33.100601,29.207001,9.0
33.113201,29.202999,10.0
33.123001,29.181999,10.76
33.120602,29.114,12.04
33.1446,29.045,13.92
33.370201,29.056,15.96
33.4734,28.958,18.0
33.622002,28.747,19.959999
33.882599,27.882,22.0
34.044399,26.91,24.0
34.238201,25.645,26.040001
34.357399,24.283001,28.16
34.427601,23.202999,30.040001
34.4384,22.729,31.959999
34.469601,22.159,34.040001
34.473,21.788,36.0
34.510799,21.33,38.0
34.548599,20.764,39.959999
34.558201,20.223,41.959999
34.605202,19.448999,44.040001
34.638401,18.612,46.0
34.664001,17.806,47.959999
34.667599,17.479,50.0
34.659599,17.221001,52.0
34.679401,16.914,54.040001
34.677799,16.587999,56.080002
34.677799,16.329,58.040001
34.695599,15.953,60.0
34.701801,15.628,62.0
34.708199,15.44,64.0
34.708199,15.167,66.080002
34.701199,15.092,68.0
34.709999,14.914,69.959999
34.707401,14.525,71.959999
34.721401,14.204,73.959999
34.724998,14.01,75.959999
34.752998,13.997,78.0
34.760399,13.943,80.040001
34.775398,13.779,81.919998
34.781601,13.703,83.959999
34.791599,13.642,85.959999
34.796001,13.565,88.0
34.781399,13.467,90.040001
34.796398,13.434,92.0
34.8004,13.324,94.0
34.8088,13.262,96.0
34.8158,13.215,97.959999
34.826599,13.172,100.0
34.8326,13.143,102.0
34.8344,13.089,104.040001
34.835602,13.074,106.0
34.832199,13.055,107.959999
34.824001,12.969,110.0
34.823002,12.966,111.959999
34.819,12.924,113.919998
34.819599,12.907,116.0
34.8186,12.852,118.080002
34.809799,12.791,120.080002
34.7892,12.66,122.0
34.776199,12.591,123.959999
34.784,12.527,126.040001
34.778999,12.479,128.119995
34.778999,12.432,130.080002
34.784,12.448,132.0
34.787601,12.456,133.960007
34.804001,12.476,136.0
34.804001,12.462,137.919998
34.799801,12.431,139.919998
34.803799,12.418,142.039993
34.803398,12.379,144.080002
34.801601,12.334,146.0
34.801998,12.306,147.919998
34.8008,12.273,149.919998
34.796001,12.233,152.0
34.7948,12.206,154.0
34.7934,12.182,156.0
34.7938,12.158,158.039993
34.788601,12.11,159.960007
34.786201,12.089,162.0
34.785599,12.078,164.0
34.7836,12.043,166.0
34.781601,12.017,168.0
34.781399,11.988,169.919998
34.780399,11.953,171.919998
34.778801,11.925,174.0
34.777199,11.903,176.039993
34.775002,11.859,178.039993
34.773201,11.805,180.080002
34.7724,11.773,181.960007
34.774799,11.745,183.960007
34.771999,11.717,185.919998
34.769001,11.673,187.960007
34.7668,11.645,190.039993
34.765999,11.628,192.080002
34.765202,11.619,193.960007
34.7654,11.608,195.919998
34.764999,11.594,197.960007
34.765202,11.578,200.039993
34.764,11.561,202.080002
34.764,11.546,204.039993
34.763199,11.531,206.039993
34.7626,11.519,208.039993
34.761398,11.509,210.0
34.7626,11.5,212.0
34.762001,11.461,213.960007
34.759201,11.438,215.919998
34.757801,11.427,217.919998
34.756401,11.416,219.960007
34.754799,11.403,222.039993
34.754002,11.376,224.0
34.751598,11.346,226.0
34.748402,11.309,228.039993
34.746201,11.286,230.039993
34.745998,11.266,232.039993
34.7444,11.258,234.0
34.745602,11.257,236.0
34.750198,11.241,238.0
34.749401,11.211,240.0
34.747398,11.183,241.960007
34.745998,11.172,243.919998
34.746201,11.162,246.0
34.746399,11.151,248.0
34.744999,11.133,249.919998
34.744598,11.123,251.960007
34.743401,11.1,254.039993
34.743,11.079,256.0
34.7416,11.062,258.0
34.741199,11.044,259.959991
34.7402,11.025,261.959991
34.739799,11.003,264.040009
34.739601,10.984,266.040009
34.737999,10.968,267.920013
34.737999,10.944,269.920013
34.736,10.915,272.0
34.734798,10.891,274.0
34.733601,10.871,276.0
34.733002,10.857,278.0
34.732399,10.834,279.920013
34.731602,10.824,281.920013
34.730999,10.81,283.920013
34.730999,10.788,285.959991
34.729801,10.762,288.040009
34.7286,10.749,290.040009
34.7276,10.742,292.040009
34.728001,10.721,294.0
34.726002,10.681,295.920013
34.7248,10.659,297.959991
34.723598,10.632,300.0
34.722599,10.61,301.920013
34.721199,10.594,303.920013
34.7206,10.579,305.959991
34.720001,10.558,308.0
34.7178,10.547,310.0
34.7174,10.532,312.0
34.716801,10.511,314.0
34.716202,10.477,315.920013
34.714001,10.455,317.920013
34.713001,10.445,319.959991
34.7132,10.43,322.0
34.712799,10.403,324.040009
34.711201,10.368,325.959991
34.709202,10.346,328.0
34.708199,10.323,330.040009
34.7062,10.307,331.959991
34.7062,10.28,334.0
34.702801,10.238,336.0
34.703999,10.211,338.040009
34.700802,10.179,340.079987
34.698601,10.155,342.040009
34.700401,10.144,344.040009
34.699402,10.125,346.079987
34.698601,10.108,348.040009
34.696999,10.082,350.0
34.6954,10.037,352.040009
34.693001,10.021,354.079987
34.694,9.981,356.0
34.691002,9.938,357.959991
34.688202,9.904,359.959991
34.686401,9.876,361.920013
34.684601,9.861,364.0
34.683998,9.834,366.079987
34.681999,9.783,368.040009
34.678799,9.764,370.0
34.677399,9.728,371.959991
34.675201,9.671,373.920013
34.669998,9.631,375.920013
34.666599,9.598,378.0
34.663601,9.536,380.040009
34.657398,9.509,381.959991
34.655998,9.498,384.0
34.654598,9.471,386.0
34.652599,9.447,387.920013
34.6534,9.428,389.959991
34.654202,9.399,392.0
34.657001,9.365,393.920013
34.652,9.327,396.0
34.6502,9.312,398.040009
34.648201,9.277,399.959991
34.648602,9.213,402.0
34.641201,9.128,404.040009
34.638599,9.057,406.0
34.633801,9.024,408.0
34.632401,9.002,410.0
34.629398,8.979,412.040009
34.626801,8.953,414.0
34.625198,8.918,415.959991
34.6222,8.883,418.040009
34.621201,8.861,420.0
34.620201,8.819,421.959991
34.6208,8.801,424.040009
34.623402,8.771,426.079987
34.6208,8.722,428.040009
34.6152,8.66,430.040009
34.612999,8.628,432.0
34.611599,8.606,434.0
34.611401,8.588,436.079987
34.610401,8.563,438.040009
34.609798,8.542,440.079987
34.609402,8.525,442.079987
34.6092,8.501,444.040009
34.6106,8.484,446.040009
34.610802,8.454,448.0
34.606998,8.417,450.0
34.604599,8.38,452.0
34.603802,8.339,453.959991
34.601601,8.326,456.0
34.604599,8.306,458.079987
34.604198,8.293,460.0
34.6068,8.28,462.0
34.605999,8.26,464.0
34.604599,8.236,466.0
34.603401,8.222,467.959991
34.602001,8.211,469.959991
34.600601,8.187,472.0
34.600201,8.14,473.959991
34.5956,8.085,475.959991
34.594398,8.052,478.0
34.5928,8.016,480.040009
34.592602,7.986,481.959991
34.591,7.958,483.959991
34.591202,7.921,486.0
34.591801,7.911,488.040009
34.5942,7.891,489.959991
34.593601,7.884,492.0
34.593399,7.878,494.0
34.5924,7.858,496.0
34.5924,7.842,498.0
34.591202,7.824,500.079987
34.591801,7.783,502.040009
34.589199,7.752,504.040009
34.588402,7.74,505.959991
34.588799,7.705,508.0
34.587601,7.659,510.0
34.586201,7.634,511.959991
34.586399,7.615,514.039978
34.586201,7.581,516.039978
34.585602,7.554,517.960022
34.5854,7.54,520.0
34.584999,7.531,522.080017
34.586201,7.515,524.080017
34.588402,7.499,526.0
34.588799,7.493,528.039978
34.588799,7.478,530.039978
34.588402,7.455,532.0
34.587399,7.439,534.0
34.587002,7.419,536.0
34.586601,7.389,538.0
34.585602,7.376,540.0
34.585602,7.369,542.0
34.584801,7.362,544.0
34.584801,7.35,546.039978
34.584202,7.316,548.039978
34.583199,7.286,550.039978
34.581799,7.266,551.960022
34.583199,7.231,554.0
34.5812,7.191,556.080017
34.580601,7.182,558.039978
34.580399,7.174,560.0
34.580399,7.163,562.0
34.579399,7.15,563.960022
34.578602,7.143,565.919983
34.5788,7.13,568.0
34.578602,7.117,570.0
34.578201,7.106,571.960022
34.577599,7.1,574.0
34.577599,7.089,576.039978
34.576599,7.078,578.0
34.576199,7.067,580.0
34.575802,7.057,582.039978
34.575802,7.048,583.960022
34.575802,7.023,586.0
34.575199,7.001,588.039978
34.5742,6.989,590.0
34.574001,6.975,592.0
34.574001,6.954,594.0
34.574001,6.906,596.0
34.573601,6.866,598.0
34.572399,6.845,600.0
34.572201,6.826,601.960022
34.572601,6.792,603.960022
34.571602,6.788,606.039978
34.571999,6.783,608.080017
34.5714,6.776,610.0
34.571201,6.774,612.039978
34.570801,6.772,614.039978
34.570202,6.77,615.960022
34.569801,6.759,617.960022
34.5686,6.735,619.960022
34.5704,6.685,621.960022
34.5686,6.624,624.039978
34.567799,6.606,626.039978
34.567402,6.586,628.0
34.566601,6.565,629.960022
34.566799,6.546,631.960022
34.566399,6.532,633.919983
34.5658,6.525,635.960022
34.565601,6.52,638.039978
34.564999,6.514,640.039978
34.565201,6.499,642.039978
34.5648,6.469,644.080017
34.5648,6.448,646.0
34.563801,6.423,648.0
34.563202,6.421,650.0
34.563,6.418,652.039978
34.563202,6.407,654.0
34.563,6.391,655.960022
34.562801,6.372,657.960022
34.562801,6.357,659.960022
34.562401,6.347,662.0
34.562199,6.341,664.039978
34.562199,6.326,666.0
34.561798,6.318,667.960022
34.5616,6.305,669.960022
34.5616,6.289,672.039978
34.562401,6.26,674.080017
34.561401,6.242,676.0
34.561798,6.229,677.960022
34.561401,6.223,679.960022
34.561199,6.219,681.960022
34.5616,6.212,683.960022
34.561401,6.204,686.039978
34.561401,6.184,688.039978
34.561199,6.165,690.0
34.561401,6.149,692.0
34.561401,6.128,694.0
34.560799,6.11,696.0
34.560398,6.103,698.039978
34.561001,6.079,700.0
34.562199,6.053,701.919983
34.562199,6.031,703.960022
34.561401,6.017,706.0
34.561001,6.014,708.0
34.561001,6.009,709.960022
34.5606,6.007,711.919983
34.5602,6.006,713.960022
34.559799,6.004,716.0
34.559799,5.997,717.960022
34.5592,5.99,719.919983
34.560001,5.96,722.0
34.558998,5.944,724.0
34.5592,5.923,726.080017
34.558998,5.91,728.039978
34.559601,5.883,730.0
34.558998,5.87,732.039978
34.5592,5.857,733.919983
34.558998,5.845,736.0
34.5588,5.835,738.080017
34.558601,5.829,739.960022
34.558998,5.821,742.0
34.558998,5.811,744.039978
34.5592,5.802,746.0
34.5588,5.796,747.960022
34.5588,5.794,749.919983
34.5588,5.792,752.0
34.5588,5.785,753.960022
34.5588,5.776,755.919983
34.557999,5.771,757.960022
34.5592,5.758,760.0
34.558201,5.742,762.039978
34.557999,5.742,763.919983
34.557598,5.74,766.0
34.5592,5.72,768.0
