salinity_sfile,temperature_sfile,pressure,doxy
34.632999,28.898001,4.33,
34.632999,28.899,5.93,
34.632999,28.899,7.53,194.129669
34.632999,28.899,8.03,
34.632999,28.9,10.03,
34.632999,28.9,11.8,193.904663
34.632999,28.9,12.03,
34.632999,28.899,14.03,
34.632999,28.9,16.030001,
34.632999,28.900431,16.460001,193.904465
34.632999,28.902,18.030001,
34.634003,28.903999,20.030001,
34.634003,28.90304,21.950001,193.748749
34.634003,28.903,22.030001,
34.632999,28.903,24.030001,
34.632999,28.905001,26.030001,
34.632999,28.905001,26.25,193.615158
34.632999,28.905001,28.030001,
34.632999,28.906,30.030001,
34.632999,28.906,31.919998,193.431122
34.632999,28.906,32.129997,
34.634003,28.906,34.029999,
34.635002,28.908001,36.029999,
34.636974,28.90958,36.82,193.144989
34.639999,28.912001,38.029999,
34.646,28.916,40.029999,
34.646,28.919121,41.59,192.803741
34.646,28.92,42.029999,
34.648003,28.917,44.029999,
34.649002,28.916,46.029999,
34.649021,28.916,46.049999,192.167511
34.651001,28.916,48.129997,
34.655003,28.917,50.029999,
34.673599,28.913084,51.889999,190.798019
34.674,28.913,51.93,
34.687,28.908001,54.029999,
34.705002,28.899,56.029999,
34.709053,28.896749,56.48,189.466812
34.723,28.889,58.029999,
34.768002,28.851999,60.029999,
34.789749,28.83025,61.77,187.985123
34.792999,28.827,62.029999,
34.797001,28.818001,64.029999,
34.805,28.802999,66.029999,
34.807522,28.799919,66.589996,186.749298
34.813999,28.792,68.029999,
34.835003,28.784,70.43,
34.842003,28.771999,71.629997,
34.843937,28.765751,71.739998,182.39357
34.886002,28.629999,74.129997,
34.891003,28.579,76.129997,
34.868752,28.215212,77.019997,179.131714
34.851002,27.924999,77.729996,
34.746002,26.709999,80.029999,
34.737,26.562,81.43,
34.728935,26.352785,81.989998,163.39212
34.701,25.628,83.93,
34.697002,25.153,86.129997,
34.695515,24.904142,86.649994,149.408707
34.691002,24.148001,88.229996,
34.679001,22.833,89.830002,
34.686771,22.283728,91.729996,141.20932
34.688,22.197001,92.029999,
34.688,22.091,94.029999,
34.691002,21.841,96.029999,
34.69276,21.61396,96.909996,136.449982
34.695,21.325001,98.029999,
34.697002,21.098,100.129997,
34.6954,20.922001,101.889999,132.409988
34.695,20.878,102.330002,
34.688999,20.716,103.529999,
34.674999,19.948999,106.330002,
34.658001,19.4,107.729996,
34.636002,19.003,109.93,
34.628765,18.917049,111.830002,113.70285
34.628002,18.908001,112.029999,
34.609001,18.66,114.229996,
34.600002,17.613001,116.029999,
34.600002,17.509001,118.029999,
34.599003,17.362,120.330002,
34.603001,16.881001,121.629997,
34.603436,16.818745,121.809998,93.472153
34.610001,15.878,124.529999,
34.618,15.125,125.830002,
34.617001,15.033,128.029999,
34.614002,14.987,130.029999,
34.611389,14.836491,131.770004,72.725868
34.611,14.814,132.029999,
34.603001,14.628,133.929993,
34.603001,14.146,136.029999,
34.596001,13.617,138.130005,
34.594002,13.468,139.830002,
34.620857,12.896381,141.940002,22.382278
34.622002,12.872,142.029999,
34.651001,12.62,144.029999,
34.660999,12.525,146.029999,
34.673,12.427,148.029999,
34.684002,12.299,150.029999,
34.690121,12.20176,151.389999,9.728792
34.693001,12.156,152.029999,
34.695,12.101,154.029999,
34.699001,12.043,156.029999,
34.700001,11.957,158.029999,
34.694,11.853,160.029999,
34.68816,11.80044,161.490005,32.822453
34.686001,11.781,162.029999,
34.676003,11.632,164.029999,
34.659,11.344,166.029999,
34.646,11.203,168.029999,
34.639999,11.05,170.029999,
34.638199,10.9732,171.229996,59.987431
34.637001,10.922,172.029999,
34.638,10.875,174.029999,
34.639,10.853,176.029999,
34.639999,10.824,178.029999,
34.639999,10.772,180.029999,
34.639999,10.75634,181.110001,63.170395
34.639999,10.743,182.029999,
34.639999,10.725,184.029999,
34.642002,10.685,186.029999,
34.644001,10.597,188.029999,
34.648003,10.528,190.029999,
34.648003,10.4803,191.619995,66.806808
34.648003,10.468,192.029999,
34.655003,10.42,194.029999,
34.659,10.36,196.029999,
34.657001,10.269,198.029999,
34.651001,10.164,200.029999,
34.6465,10.1235,201.529999,67.790794
34.645,10.11,202.029999,
34.643002,10.092,204.029999,
34.644001,10.071,206.029999,
34.650002,10.033,208.029999,
34.653999,10.025,210.029999,
34.653999,10.01987,211.740005,70.861809
34.653999,10.019,212.029999,
34.656002,10.018,214.029999,
34.658001,10.016,216.029999,
34.66,10.013,218.029999,
34.659,9.963,220.029999,
34.656498,9.90121,221.699997,75.447533
34.656002,9.889,222.029999,
34.666,9.873,224.029999,
34.667,9.856,226.029999,
34.667999,9.825,228.029999,
34.667,9.814,230.029999,
34.667656,9.80876,231.339996,78.933655
34.667999,9.806,232.029999,
34.667999,9.788,234.029999,
34.667999,9.767,236.029999,
34.667999,9.745,238.029999,
34.667999,9.731,240.029999,
34.667999,9.725631,241.819992,82.240089
34.667999,9.725,242.029999,
34.667,9.708,244.029999,
34.667,9.682,246.029999,
34.666,9.663,248.029999,
34.666,9.649,250.029999,
34.665325,9.6409,251.380005,83.240631
34.665001,9.637,252.029999,
34.666,9.613,254.029999,
34.665001,9.593,256.029999,
34.664001,9.583,258.029999,
34.663002,9.572,260.029999,
34.663002,9.570455,261.059998,81.685989
34.663002,9.569,262.029999,
34.663002,9.559,264.029999,
34.663002,9.548,266.029999,
34.663002,9.533,268.029999,
34.663002,9.518,270.029999,
34.663002,9.512225,271.079987,79.240677
34.663002,9.507,272.029999,
34.663002,9.504,274.029999,
34.662003,9.501,276.029999,
34.662003,9.495,278.029999,
34.660999,9.473,280.029999,
34.661633,9.464809,281.290009,74.741531
34.662003,9.46,282.029999,
34.662003,9.459,284.029999,
34.666,9.457,286.029999,
34.665001,9.444,288.029999,
34.664001,9.429,290.029999,
34.663254,9.42,291.529999,74.721199
34.663002,9.417,292.029999,
34.662003,9.412,294.029999,
34.660999,9.403,296.029999,
34.66,9.387,298.029999,
34.659,9.373,300.029999,
34.658092,9.36572,301.850006,75.781998
34.658001,9.365,302.029999,
34.658001,9.356,304.029999,
34.658001,9.345,306.029999,
34.657001,9.337,308.029999,
34.657001,9.329,310.029999,
34.657001,9.32678,311.139984,72.885689
34.657001,9.325,312.029999,
34.657001,9.319,314.029999,
34.657001,9.308,316.029999,
34.657001,9.303,318.029999,
34.657001,9.29,320.029999,
34.656223,9.27908,321.589996,69.493484
34.656002,9.276,322.029999,
34.655003,9.255,324.029999,
34.655003,9.246,326.029999,
34.656002,9.237,328.029999,
34.656002,9.228,330.029999,
34.656471,9.228,330.970001,63.987263
34.657001,9.228,332.029999,
34.66,9.232,334.029999,
34.66,9.222,336.029999,
34.66,9.211,338.029999,
34.659,9.204,340.029999,
34.659,9.195781,341.399994,63.903122
34.659,9.192,342.029999,
34.658001,9.177,344.029999,
34.657001,9.168,346.029999,
34.656002,9.157,348.029999,
34.655003,9.138,350.029999,
34.654076,9.131525,351.880005,67.524292
34.653999,9.131,352.029999,
34.653999,9.123,354.029999,
34.653,9.112,356.029999,
34.652,9.099,358.029999,
34.652,9.0939,359.049988,67.149452
34.652,9.089,360.029999,
34.651001,9.086,362.029999,
34.651001,9.08,364.029999,
34.650002,9.067,366.029999,
34.650002,9.061,368.029999,
34.649002,9.059,370.029999,
34.649002,9.053,372.029999,
34.649002,9.038,374.029999,
34.649002,9.024,376.029999,
34.649002,9.015,378.029999,
34.649002,9.012,380.029999,
34.649807,9.00395,381.639984,56.366272
34.650002,9.002,382.029999,
34.651001,8.993,384.029999,
34.651001,8.978,386.029999,
34.650002,8.967,388.029999,
34.650002,8.949,390.029999,
34.649002,8.929,392.029999,
34.649002,8.916,394.029999,
34.648003,8.907,396.029999,
34.648003,8.898,398.029999,
34.646999,8.876,400.029999,
34.646999,8.86628,401.109985,49.959503
34.646999,8.858,402.029999,
34.646,8.839,404.029999,
34.646999,8.83,406.029999,
34.646999,8.819,408.029999,
34.646999,8.816,410.029999,
34.646,8.809,412.029999,
34.646,8.791,414.029999,
34.646,8.777,416.029999,
34.646999,8.77,418.029999,
34.646999,8.753,420.029999,
34.646,8.741,422.029999,
34.646,8.729,424.029999,
34.646999,8.724,426.029999,
34.646999,8.715,428.029999,
34.646999,8.706,430.029999,
34.646999,8.691,432.029999,
34.646999,8.687,434.029999,
34.646,8.677,436.029999,
34.646,8.668,438.029999,
34.646,8.65,440.029999,
34.645,8.623,442.029999,
34.643002,8.603,444.029999,
34.642002,8.597,446.029999,
34.641003,8.585,448.029999,
34.639999,8.556,450.029999,
34.640537,8.54851,451.100006,25.945974
34.641003,8.542,452.029999,
34.639999,8.53,454.029999,
34.639,8.513,456.029999,
34.639,8.5,458.029999,
34.639,8.492,460.029999,
34.639,8.486,462.029999,
34.638,8.477,464.029999,
34.638,8.469,466.029999,
34.637001,8.457,468.029999,
34.637001,8.443,470.029999,
34.636002,8.416,472.029999,
34.634003,8.393,474.029999,
34.632999,8.373,476.029999,
34.631001,8.358,478.029999,
34.631001,8.34,480.029999,
34.630001,8.32,482.029999,
34.629002,8.311,484.029999,
34.629002,8.303,486.029999,
34.629002,8.293,488.029999,
34.628002,8.285,489.929993,
34.628002,8.271,492.029999,
34.627003,8.249,494.029999,
34.627003,8.227,496.029999,
34.627003,8.218,498.029999,
34.625999,8.212,500.029999,
34.625999,8.209435,501.73999,21.130573
34.625999,8.209,502.029999,
34.625999,8.204,504.029999,
34.625999,8.196,506.029999,
34.625,8.19,508.029999,
34.625,8.183,510.029999,
34.625,8.172,512.030029,
34.624001,8.162,514.030029,
34.624001,8.154,516.030029,
34.624001,8.144,518.030029,
34.623001,8.134,520.030029,
34.623001,8.117,522.030029,
34.622002,8.098,524.030029,
34.621002,8.083,525.930054,
34.620003,8.063,528.030029,
34.618999,8.043,530.030029,
34.618,7.997,532.030029,
34.617001,7.981,534.030029,
34.616001,7.956,536.030029,
34.614002,7.935,538.030029,
34.613003,7.906,540.030029,
34.612,7.893,542.030029,
34.612,7.876,544.030029,
34.611,7.857,546.030029,
34.610001,7.835,548.030029,
34.609001,7.821,550.030029,
34.609001,7.81484,550.800049,16.506207
34.609001,7.805,552.030029,
34.608002,7.798,554.030029,
34.608002,7.782,556.030029,
34.607002,7.757,558.030029,
34.606003,7.734,560.030029,
34.605,7.717,562.030029,
34.605,7.711,564.030029,
34.605,7.704,566.030029,
34.605,7.688,568.030029,
34.604,7.678,570.030029,
34.603001,7.663,572.030029,
34.603001,7.64,574.030029,
34.602001,7.605,576.030029,
34.600002,7.566,578.030029,
34.599003,7.542,580.030029,
34.598,7.528,582.030029,
34.598,7.496,583.930054,
34.596001,7.464,586.030029,
34.595001,7.436,588.030029,
34.595001,7.426,590.030029,
34.594002,7.421,592.030029,
34.593002,7.415,594.030029,
34.594002,7.374,596.030029,
34.592003,7.333,598.030029,
34.591,7.309,600.030029,
34.590401,7.2964,601.230042,16.183641
34.59,7.288,602.030029,
34.59,7.268,604.030029,
34.589001,7.249,606.030029,
34.589001,7.237,608.030029,
34.589001,7.229,610.030029,
34.589001,7.223,612.030029,
34.589001,7.215,614.030029,
34.588001,7.202,616.030029,
34.587002,7.178,618.030029,
34.586002,7.144,620.030029,
34.585003,7.116,622.030029,
34.584,7.107,624.030029,
34.584,7.102,626.030029,
34.584,7.091,628.030029,
34.583,7.078,630.030029,
34.582001,7.058,632.030029,
34.582001,7.035,634.030029,
34.581001,7.015,636.030029,
34.581001,6.983,638.030029,
34.580002,6.946,640.030029,
34.580002,6.93,642.030029,
34.580002,6.907,644.030029,
34.579002,6.889,646.030029,
34.577999,6.878,648.030029,
34.577999,6.865,650.030029,
34.577183,6.844625,651.660034,18.285643
34.577,6.84,652.030029,
34.577,6.823,654.030029,
34.577999,6.811,656.030029,
34.577,6.795,658.030029,
34.576,6.78,660.030029,
34.576,6.744,662.030029,
34.574001,6.718,664.030029,
34.574001,6.713,666.030029,
34.574001,6.71,668.030029,
34.573002,6.691,670.030029,
34.573002,6.66,672.030029,
34.573002,6.633,674.030029,
34.572002,6.612,676.030029,
34.572002,6.584,678.030029,
34.570999,6.559,680.030029,
34.570999,6.556,682.030029,
34.572002,6.536,684.030029,
34.570999,6.51,686.030029,
34.570999,6.505,688.030029,
34.57,6.5,690.030029,
34.57,6.485,692.030029,
34.57,6.464,694.030029,
34.57,6.457,696.030029,
34.569,6.444,698.030029,
34.568001,6.415,700.030029,
34.568001,6.3862,701.950012,21.943356
34.568001,6.385,702.030029,
34.568001,6.366,704.030029,
34.568001,6.352,706.030029,
34.567001,6.33,708.030029,
34.567001,6.317,710.030029,
34.567001,6.302,712.030029,
34.566002,6.289,714.030029,
34.566002,6.282,716.030029,
34.566002,6.27,718.030029,
34.566002,6.255,720.030029,
34.566002,6.255,722.030029,
34.565002,6.254,724.030029,
34.566002,6.246,726.030029,
34.566002,6.215,728.030029,
34.566002,6.188,730.030029,
34.566002,6.176,732.030029,
34.566002,6.169,734.030029,
34.566002,6.167,736.030029,
34.566002,6.167,738.030029,
34.566002,6.163,740.030029,
34.567001,6.156,742.030029,
34.568001,6.123,744.030029,
34.567001,6.103,746.030029,
34.567001,6.102,748.030029,
34.567001,6.098,750.030029,
34.567001,6.08841,751.400024,25.87314
34.567001,6.084,752.030029,
34.567001,6.078,754.030029,
34.567001,6.072,756.030029,
34.567001,6.054,758.030029,
34.566002,6.04,760.030029,
34.566002,6.03,762.030029,
34.566002,6.002,764.030029,
34.566002,5.981,766.030029,
34.566002,5.962,768.030029,
34.566002,5.947,770.030029,
34.566002,5.933,772.030029,
34.567001,5.921,774.030029,
34.566002,5.915,776.030029,
34.566002,5.902,778.030029,
34.566002,5.891,780.030029,
34.566002,5.881,782.030029,
34.566002,5.878,784.030029,
34.565002,5.877,786.030029,
34.566002,5.86,788.030029,
34.566002,5.84,790.030029,
34.565002,5.834,792.030029,
34.565002,5.828,794.030029,
34.566002,5.817,796.030029,
34.566002,5.798,798.030029,
34.566002,5.794,800.030029,
34.565353,5.79205,801.330017,30.547628
34.565002,5.791,802.030029,
34.565002,5.776,804.030029,
34.565002,5.76,806.030029,
34.566002,5.729,808.030029,
34.565002,5.718,810.030029,
34.565002,5.715,812.030029,
34.565002,5.711,814.030029,
34.565002,5.698,816.030029,
34.565002,5.686,818.030029,
34.565002,5.673,820.030029,
34.565002,5.656,822.030029,
34.565002,5.636,824.030029,
34.565002,5.625,826.030029,
34.563999,5.62,828.030029,
34.563999,5.614,830.030029,
34.565002,5.601,832.030029,
34.565002,5.594,834.030029,
34.565002,5.593,836.030029,
34.563999,5.592,838.030029,
34.565002,5.576,840.030029,
34.563999,5.564,842.030029,
34.565002,5.552,844.030029,
34.563999,5.544,846.030029,
34.563999,5.528,848.030029,
34.563999,5.515,850.030029,
34.563999,5.50856,851.870056,35.920349
34.563999,5.508,852.030029,
34.563999,5.493,854.030029,
34.563999,5.486,856.030029,
34.563999,5.478,858.030029,
34.563999,5.464,860.030029,
34.563999,5.446,862.030029,
34.563999,5.437,864.030029,
34.563999,5.422,866.030029,
34.563999,5.414,868.030029,
34.563999,5.407,870.030029,
34.563,5.402,872.030029,
34.563,5.396,874.030029,
34.563,5.392,876.030029,
34.563,5.387,878.030029,
34.563999,5.365,880.030029,
34.563999,5.344,882.030029,
34.563,5.333,884.030029,
34.563999,5.316,886.030029,
34.563,5.302,888.030029,
34.563999,5.292,890.030029,
34.563999,5.278,892.030029,
34.563999,5.266,894.030029,
34.563999,5.261,896.030029,
34.563999,5.257,898.030029,
34.563999,5.252,900.030029,
34.563999,5.24112,901.310059,40.525352
34.563999,5.235,902.030029,
34.563999,5.215,904.030029,
34.563999,5.207,906.030029,
34.563999,5.197,908.030029,
34.563999,5.193,910.030029,
34.563999,5.188,912.030029,
34.563999,5.179,914.030029,
34.565002,5.164,916.030029,
34.565002,5.153,918.030029,
34.565002,5.141,920.030029,
34.565002,5.13,922.030029,
34.565002,5.116,924.030029,
34.565002,5.103,926.030029,
34.565002,5.097,928.030029,
34.565002,5.09,930.030029,
34.563999,5.084,932.030029,
34.565002,5.074,934.030029,
34.565002,5.067,936.030029,
34.565002,5.057,938.030029,
34.565002,5.048,940.030029,
34.565002,5.038,942.030029,
34.565002,5.031,944.030029,
34.565002,5.025,946.030029,
34.565002,5.014,948.030029,
34.565002,4.998,950.030029,
34.565002,4.992555,951.240051,47.701553
34.565002,4.989,952.030029,
34.565002,4.981,954.030029,
34.565002,4.973,956.030029,
34.566002,4.966,958.030029,
34.566002,4.95,960.030029,
34.566002,4.941,962.130005,
34.566002,4.932,964.030029,
34.566002,4.927,966.030029,
34.566002,4.922,968.030029,
34.566002,4.914,970.030029,
34.566002,4.905,972.030029,
34.566002,4.888,974.030029,
34.566002,4.872,976.030029,
34.567001,4.858,978.030029,
34.567001,4.852,979.930054,
34.568001,4.7719,999.980042,51.253399
34.574303,4.3768,1099.440063,57.877922
34.582203,4.0478,1199.830078,64.937889
34.591602,3.7436,1299.960083,66.106773
34.599201,3.5168,1399.440063,68.600388
34.6073,3.2553,1499.670044,71.290329
34.617203,2.9936,1599.800049,76.41687
34.627201,2.7457,1698.950073,81.111969
34.636402,2.5199,1799.099976,88.26783
34.644302,2.359,1898.630005,93.105743
34.650803,2.245,1999.330078,96.72995
