salinity,temperature,pressure
34.765999,30.625,4.33
34.768002,30.621,6.03
34.766998,30.607,8.03
34.765999,30.597,10.03
34.764999,30.589001,12.03
34.764999,30.587,14.03
34.766998,30.587,16.030001
34.768002,30.584,18.030001
34.768002,30.584999,20.030001
34.771,30.589001,22.030001
34.775002,30.591999,24.030001
34.782001,30.598,26.030001
34.793999,30.608999,28.030001
34.814999,30.625999,30.030001
34.842999,30.643999,32.029999
34.886002,30.669001,34.029999
34.944,30.698999,36.029999
35.007999,30.714001,38.029999
35.048,30.697001,40.029999
35.082001,30.674,42.029999
35.127998,30.67,44.029999
35.154999,30.666,46.029999
35.167,30.657,48.029999
35.176998,30.65,50.029999
35.185001,30.642,52.029999
35.202,30.638,54.029999
35.209999,30.618,56.029999
35.210999,30.577,58.029999
35.202999,30.549,60.029999
35.200001,30.533001,62.029999
35.206001,30.540001,64.029999
35.205002,30.531,66.029999
35.199001,30.500999,68.029999
35.189999,30.455,70.029999
35.187,30.438999,72.029999
35.185001,30.421,74.029999
35.178001,30.379,76.029999
35.174999,30.365,78.029999
35.168999,30.327999,80.029999
35.167999,30.283001,82.029999
35.164001,30.257999,84.029999
35.165001,30.240999,86.029999
35.165001,30.237,88.029999
35.166,30.219,90.029999
35.16,30.17,92.029999
35.151001,30.134001,94.129997
35.153,30.124001,96.129997
35.140999,30.076,97.93
34.924999,28.955,99.93
34.768002,28.014999,102.029999
34.750999,27.84,104.029999
34.745998,27.777,106.029999
34.736,27.639999,108.029999
34.720001,27.511,110.029999
34.667999,27.097,112.229996
34.664001,26.372,114.029999
34.693001,25.693001,116.029999
34.724998,24.572001,118.229996
34.738998,23.974001,119.93
34.741001,23.846001,122.029999
34.740002,23.761999,124.029999
34.743999,23.547001,126.029999
34.771999,22.976,128.029999
34.785,21.754,130.029999
34.776001,21.059,131.929993
34.768002,20.857,134.029999
34.77,20.403,136.029999
34.765999,20.216,138.029999
34.757,19.99,140.029999
34.742001,18.959999,142.029999
34.705002,18.228001,144.029999
34.689999,17.969999,146.029999
34.681,17.785999,148.029999
34.660999,17.171,150.029999
34.639,16.664,152.029999
34.619999,16.188999,154.029999
34.602001,15.771,156.029999
34.587002,15.315,158.029999
34.577999,15.153,160.029999
34.570999,14.948,162.029999
34.558998,14.58,164.029999
34.548,14.245,166.029999
34.534,13.894,168.029999
34.523998,13.629,170.029999
34.515999,13.308,172.029999
34.507,13.047,174.029999
34.502998,12.984,176.130005
34.501999,12.886,178.029999
34.498001,12.766,180.029999
34.490002,12.499,182.029999
34.487999,12.172,184.029999
34.487999,12.11,186.029999
34.487,12.077,188.029999
34.485001,11.954,190.029999
34.48,11.818,192.029999
34.477001,11.756,194.029999
34.476002,11.636,196.029999
34.471001,11.455,198.029999
34.466,11.37,200.029999
34.471001,11.116,202.029999
34.465,10.903,204.029999
34.463001,10.884,206.029999
34.456001,10.868,208.029999
34.462002,10.804,210.029999
34.464001,10.708,212.029999
34.465,10.628,214.029999
34.469002,10.544,216.029999
34.472,10.323,218.029999
34.472,10.284,220.029999
34.474998,10.26,222.029999
34.481998,10.247,224.029999
34.492001,10.221,226.029999
34.516998,10.211,228.029999
34.528999,10.198,230.029999
34.554001,10.195,232.029999
34.563999,10.204,234.029999
34.581001,10.261,236.029999
34.629002,10.38,238.029999
34.646,10.404,240.029999
34.651001,10.349,242.029999
34.653,10.264,244.029999
34.652,10.2,246.029999
34.650002,10.131,248.029999
34.655998,10.063,250.029999
34.658001,10.022,252.029999
34.657001,9.975,254.029999
34.654999,9.952,256.029999
34.654999,9.885,258.029999
34.654999,9.865,260.029999
34.658001,9.855,262.029999
34.659,9.838,264.029999
34.658001,9.789,266.029999
34.655998,9.752,268.029999
34.654999,9.729,270.029999
34.655998,9.699,272.029999
34.653999,9.667,274.029999
34.653,9.647,276.029999
34.652,9.638,278.029999
34.652,9.629,280.029999
34.652,9.592,282.029999
34.650002,9.537,284.029999
34.648998,9.51,286.029999
34.647999,9.484,288.029999
34.646,9.449,290.029999
34.644001,9.413,292.029999
34.641998,9.37,294.029999
34.639,9.339,296.029999
34.636002,9.28,298.029999
34.633999,9.2,300.029999
34.631001,9.141,302.029999
34.629002,9.073,304.029999
34.625999,8.936,306.029999
34.623001,8.856,308.029999
34.622002,8.826,310.029999
34.620998,8.801,312.029999
34.619999,8.774,314.029999
34.619999,8.75,316.029999
34.618999,8.732,318.029999
34.618,8.705,320.029999
34.617001,8.672,322.029999
34.615002,8.649,324.029999
34.612999,8.62,326.029999
34.612,8.614,328.029999
34.612,8.612,330.029999
34.612,8.611,332.029999
34.612,8.611,334.029999
34.612,8.611,336.029999
34.612,8.61,338.029999
34.611,8.564,340.029999
34.605999,8.497,342.029999
34.602001,8.432,344.029999
34.601002,8.416,346.029999
34.601002,8.409,348.029999
34.599998,8.391,350.029999
34.598,8.363,352.029999
34.596001,8.324,354.029999
34.595001,8.312,356.029999
34.595001,8.299,358.029999
34.595001,8.292,360.029999
34.595001,8.289,362.029999
34.595001,8.284,364.029999
34.595001,8.276,366.029999
34.595001,8.266,368.029999
34.597,8.262,370.029999
34.597,8.251,372.029999
34.596001,8.235,374.029999
34.595001,8.212,376.029999
34.596001,8.194,378.029999
34.597,8.192,380.029999
34.598999,8.177,382.029999
34.598,8.166,384.029999
34.598,8.162,386.029999
34.598,8.16,388.029999
34.598,8.155,390.029999
34.598,8.149,392.029999
34.598999,8.141,394.029999
34.598,8.14,396.029999
34.598,8.139,398.029999
34.598999,8.125,400.029999
34.597,8.09,402.029999
34.596001,8.064,404.029999
34.594002,8.002,406.029999
34.591999,7.961,408.029999
34.589001,7.914,410.029999
34.584999,7.872,412.029999
34.584999,7.857,414.029999
34.584,7.835,416.029999
34.583,7.818,418.029999
34.582001,7.808,420.029999
34.583,7.803,422.029999
34.584,7.795,424.029999
34.585999,7.794,426.029999
34.585999,7.781,428.029999
34.584999,7.759,430.029999
34.584,7.738,432.029999
34.583,7.723,434.029999
34.583,7.72,436.029999
34.583,7.714,438.029999
34.582001,7.703,440.029999
34.582001,7.689,442.029999
34.581001,7.678,444.029999
34.580002,7.669,446.029999
34.581001,7.641,448.029999
34.580002,7.615,450.029999
34.580002,7.61,452.029999
34.581001,7.609,454.029999
34.582001,7.609,456.029999
34.582001,7.609,458.029999
34.582001,7.599,460.029999
34.582001,7.591,462.029999
34.581001,7.581,464.029999
34.581001,7.563,466.029999
34.580002,7.526,468.029999
34.577999,7.498,470.029999
34.577999,7.488,472.029999
34.577999,7.482,474.029999
34.577999,7.471,476.029999
34.577,7.456,478.029999
34.576,7.434,480.029999
34.575001,7.418,482.029999
34.574001,7.402,484.029999
34.573002,7.389,486.029999
34.573002,7.385,488.029999
34.571999,7.359,490.029999
34.570999,7.323,492.029999
34.57,7.317,494.029999
34.57,7.288,496.029999
34.569,7.255,498.029999
34.568001,7.237,500.029999
34.567001,7.227,502.029999
34.567001,7.218,504.029999
34.567001,7.202,506.029999
34.566002,7.175,508.029999
34.564999,7.165,510.029999
34.563999,7.151,512.030029
34.563999,7.116,514.030029
34.563,7.095,516.030029
34.563,7.053,518.030029
34.562,7.019,520.030029
34.561001,7.002,522.030029
34.561001,6.993,524.030029
34.561001,6.989,526.030029
34.560001,6.981,528.030029
34.560001,6.966,530.030029
34.560001,6.938,532.030029
34.558998,6.924,534.030029
34.558998,6.913,536.030029
34.558998,6.895,538.030029
34.557999,6.888,540.030029
34.557999,6.885,542.030029
34.557999,6.883,544.030029
34.557999,6.879,546.030029
34.557999,6.858,548.030029
34.557999,6.825,550.030029
34.556999,6.809,552.030029
34.556,6.802,554.030029
34.556999,6.778,556.030029
34.556999,6.761,558.030029
34.557999,6.766,560.030029
34.561001,6.771,562.030029
34.561001,6.769,564.030029
34.561001,6.767,566.030029
34.562,6.763,568.030029
34.563999,6.755,570.030029
34.563999,6.737,572.030029
34.564999,6.704,574.030029
34.563999,6.693,576.030029
34.563999,6.686,578.030029
34.563999,6.677,580.030029
34.563,6.66,582.030029
34.563,6.65,584.030029
34.562,6.62,586.030029
34.561001,6.598,588.030029
34.558998,6.563,590.030029
34.556,6.52,592.030029
34.554001,6.481,594.030029
34.551998,6.461,596.030029
34.553001,6.451,598.030029
34.554001,6.444,600.030029
34.554001,6.442,602.030029
34.555,6.421,604.030029
34.554001,6.388,606.030029
34.553001,6.368,608.030029
34.553001,6.359,610.030029
34.551998,6.349,612.030029
34.554001,6.34,614.030029
34.555,6.325,616.030029
34.555,6.299,618.030029
34.555,6.291,620.030029
34.555,6.285,622.030029
34.555,6.263,624.030029
34.555,6.246,626.030029
34.555,6.235,628.030029
34.555,6.219,630.030029
34.554001,6.201,632.030029
34.554001,6.19,634.030029
34.553001,6.168,636.030029
34.553001,6.155,638.030029
34.553001,6.137,640.030029
34.553001,6.11,642.030029
34.551998,6.097,644.030029
34.551998,6.073,646.030029
34.551998,6.053,648.030029
34.550999,6.04,650.030029
34.550999,6.03,652.030029
34.550999,6.007,654.030029
34.548,5.976,656.030029
34.546001,5.961,658.030029
34.544998,5.944,660.030029
34.544998,5.919,662.030029
34.543999,5.906,664.030029
34.543999,5.905,666.030029
34.543999,5.903,668.030029
34.542999,5.9,670.030029
34.542999,5.892,672.030029
34.542999,5.879,674.030029
34.542,5.847,676.030029
34.543999,5.823,678.030029
34.544998,5.799,680.030029
34.546001,5.78,682.030029
34.546001,5.763,684.030029
34.546001,5.754,686.030029
34.546001,5.745,688.030029
34.546001,5.74,690.030029
34.546001,5.731,692.030029
34.546001,5.721,694.030029
34.546001,5.708,696.030029
34.546001,5.702,698.030029
34.546001,5.692,700.030029
34.544998,5.685,702.030029
34.544998,5.677,704.030029
34.546001,5.663,706.030029
34.546001,5.648,708.030029
34.546001,5.637,710.030029
34.546001,5.631,712.030029
34.546001,5.618,714.030029
34.547001,5.6,716.030029
34.546001,5.587,718.030029
34.546001,5.58,720.030029
34.546001,5.574,722.030029
34.546001,5.564,724.030029
34.544998,5.548,726.030029
34.544998,5.534,728.030029
34.544998,5.529,730.030029
34.544998,5.526,732.030029
34.544998,5.52,734.030029
34.544998,5.513,736.030029
34.544998,5.51,738.130005
34.544998,5.51,740.030029
34.544998,5.506,742.030029
34.544998,5.5,744.030029
34.544998,5.497,746.030029
34.544998,5.495,748.030029
34.546001,5.492,750.030029
34.546001,5.485,752.030029
34.544998,5.482,754.030029
34.544998,5.477,756.030029
34.544998,5.475,758.030029
34.546001,5.474,760.030029
34.546001,5.465,762.030029
34.544998,5.457,764.030029
34.544998,5.445,766.030029
34.543999,5.429,768.030029
34.543999,5.418,770.030029
34.542999,5.395,772.030029
34.542999,5.39,774.030029
34.542999,5.384,776.030029
34.542999,5.38,778.030029
34.542999,5.375,780.030029
34.542999,5.364,782.030029
34.542,5.36,784.030029
34.542,5.357,786.030029
34.542,5.35,788.030029
34.542,5.335,790.030029
34.542,5.332,792.030029
34.542999,5.32,794.030029
34.542999,5.31,796.030029
34.542999,5.307,798.030029
34.542999,5.305,800.030029
34.542,5.304,802.030029
34.542,5.303,804.030029
34.542,5.301,806.030029
34.542,5.295,808.030029
34.542999,5.281,810.030029
34.542999,5.268,812.030029
34.543999,5.246,814.030029
34.543999,5.231,816.030029
34.543999,5.226,818.030029
34.543999,5.223,820.030029
34.543999,5.22,822.030029
34.544998,5.216,824.030029
34.546001,5.203,826.030029
34.546001,5.19,828.030029
34.546001,5.179,830.030029
34.546001,5.169,832.030029
34.546001,5.16,834.030029
34.547001,5.144,836.030029
34.547001,5.137,838.030029
34.547001,5.13,840.030029
34.547001,5.121,842.030029
34.547001,5.111,844.030029
34.547001,5.107,846.030029
34.547001,5.101,848.030029
34.547001,5.087,850.030029
34.547001,5.077,852.030029
34.547001,5.069,854.030029
34.547001,5.058,856.030029
34.548,5.044,858.030029
34.547001,5.034,860.030029
34.547001,5.028,862.030029
34.547001,5.015,864.030029
34.548,4.99,866.030029
34.548,4.973,868.030029
34.548,4.956,870.030029
34.549,4.945,872.030029
34.549,4.938,874.030029
34.549,4.935,876.030029
34.549,4.924,878.030029
34.549,4.916,880.030029
