salinity,temperature,pressure
,29.718,4.34
,29.719,6.24
,29.718,8.24
,29.719,10.24
,29.719,12.24
,29.719,14.24
,29.719999,16.24
,29.721001,18.24
,29.719999,20.24
,29.721001,22.24
,29.722,24.24
,29.723,26.24
,29.722,28.24
,29.711,30.24
,29.697001,32.240002
,29.68,34.240002
,29.631001,36.240002
,29.611,38.240002
,29.606001,40.240002
,29.605,42.240002
,29.601999,44.240002
,29.597,46.240002
,29.586,48.240002
,29.569,50.240002
,29.537001,52.240002
,29.455,54.240002
,29.361,56.240002
,29.332001,58.240002
,29.296,60.240002
,29.263,62.240002
,29.25,64.239998
,29.235001,66.239998
,29.216999,68.339996
,29.238001,70.339996
,29.124001,72.339996
,28.969,74.139999
,28.666,76.139999
,28.361,78.239998
,28.073,80.239998
,27.823999,82.439995
,27.473,84.239998
,27.094999,86.139999
,26.700001,88.239998
,26.452999,90.239998
,26.176001,92.239998
,25.955,94.239998
,25.785,96.239998
,25.632,98.239998
,25.455999,100.339996
,24.976,102.139999
,24.107,104.139999
,23.621,106.239998
,23.482,108.239998
,23.353001,110.239998
,23.278,112.239998
,23.167,114.239998
,22.723,116.239998
,22.386999,118.239998
,22.24,120.239998
,22.101999,122.239998
,22.096001,124.239998
,22.004,126.239998
,21.781,128.240005
,21.733,130.240005
,21.627001,132.240005
,21.072001,134.240005
,20.525999,136.240005
,20.296,138.240005
,19.591,140.240005
,19.285,142.240005
,18.993999,144.240005
,18.518,146.240005
,18.040001,148.240005
,17.594,150.240005
,17.278999,152.240005
,17.028,154.240005
,16.645,156.240005
,15.869,158.240005
,15.748,160.240005
,15.566,162.240005
,15.482,164.240005
,15.371,166.240005
,15.319,168.240005
,15.23,170.240005
,15.107,172.240005
,15.047,174.340012
,14.719,176.240005
,14.565,178.240005
,14.296,180.240005
,14.194,182.240005
,13.995,184.240005
,13.858,186.240005
,13.492,188.240005
,13.337,190.240005
,13.239,192.240005
,12.885,194.240005
,12.493,196.240005
,12.384,198.240005
,12.238,200.240005
,12.071,202.240005
,11.935,204.240005
,11.881,206.240005
,11.844,208.240005
,11.823,210.240005
,11.808,212.240005
,11.801,214.240005
,11.803,216.240005
,11.731,218.240005
,11.54,220.240005
,11.406,222.240005
,11.367,224.240005
,11.327,226.240005
,11.293,228.240005
,11.273,230.240005
,11.223,232.240005
,11.162,234.240005
,11.1,236.240005
,11.089,238.240005
,11.088,240.240005
,11.074,242.240005
,11.006,244.240005
,10.965,246.240005
,10.909,248.240005
,10.86,250.240005
,10.822,252.240005
,10.77,254.240005
,10.739,256.23999
,10.715,258.23999
,10.701,260.23999
,10.681,262.23999
,10.614,264.23999
,10.513,266.23999
,10.435,268.23999
,10.379,270.23999
,10.326,272.23999
,10.28,274.23999
,10.255,276.23999
,10.157,278.23999
,10.106,280.23999
,10.088,282.23999
,10.077,284.23999
,10.059,286.23999
,10.052,288.23999
,10.035,290.23999
,10.018,292.23999
,10.0,294.23999
