salinity_sfile,temperature_sfile,pressure,doxy
33.841999,29.018,5.45,
33.841999,29.017756,5.58,196.346802
33.841999,29.014999,7.05,
33.842438,29.013239,7.93,196.338821
33.842999,29.011,9.05,
33.842999,29.010715,9.62,196.226913
33.842999,29.01,11.05,
33.846382,28.972776,11.99,196.2556
33.852001,28.910999,13.55,
33.8531,28.9,13.88,190.697861
33.856998,28.861,15.05,
33.974247,27.694714,15.94,184.824615
34.16,25.847,17.349998,
34.225719,25.219511,17.839998,115.544434
34.388,23.67,19.049999,
34.477852,22.794632,19.929998,111.756065
34.582001,21.780001,20.949999,
34.617882,20.788881,21.99,62.050343
34.651001,19.874001,22.949999,
34.656776,19.208302,23.999998,38.499096
34.661999,18.606001,24.949999,
34.674961,18.213961,25.759998,31.760756
34.694,17.638,26.949999,
34.717896,17.449675,27.759998,38.752483
34.752998,17.173,28.949999,
34.75349,17.020121,29.929998,35.647362
34.754002,16.861,30.949999,
34.753582,16.747019,31.83,34.615547
34.752998,16.589001,33.049999,
34.750271,16.525045,33.349998,34.165066
34.733002,16.120001,35.25,
34.723125,15.98216,35.98,36.387463
34.709999,15.799,36.950001,
34.701237,15.626828,37.869999,36.316299
34.689999,15.406,39.049999,
34.689259,15.33274,39.790001,34.519096
34.688,15.208,41.049999,
34.685093,15.141185,41.880001,31.043703
34.681,15.047,43.049999,
34.695301,14.96965,43.700001,24.69537
34.724998,14.809,45.049999,
34.73064,14.74743,45.52,21.606684
34.749001,14.547,47.049999,
34.754875,14.523179,47.669998,19.100471
34.766998,14.474,48.950001,
34.772366,14.463085,49.32,17.294865
34.796001,14.415,50.950001,
34.797428,14.379762,51.950001,15.767447
34.799,14.341,53.049999,
34.799358,14.33776,53.139999,15.104201
34.806999,14.269,55.049999,
34.806248,14.256125,55.299999,14.28326
34.800999,14.166,57.049999,
34.803913,14.15487,57.579998,12.842418
34.811394,14.126309,58.939999,12.03661
34.812,14.124,59.049999,
34.816002,14.08,61.049999,
34.817928,14.08035,61.399998,10.915214
34.827,14.082,63.049999,
34.832005,14.061979,63.82,10.694195
34.84,14.03,65.050003,
34.84045,14.02334,65.230003,11.340686
34.845001,13.956,67.050003,
34.843983,13.943505,67.560005,12.625264
34.841,13.907,69.050003,
34.843918,13.90627,69.780006,13.47207
34.848999,13.905,71.050003,
34.852959,13.89004,71.93,13.025452
34.858002,13.871,73.050003,
34.857574,13.842525,73.900002,12.453336
34.856998,13.804,75.050003,
34.855843,13.78167,75.82,12.796674
34.854,13.746,77.050003,
34.853642,13.72008,77.770004,13.769593
34.853001,13.674,79.050003,
34.853374,13.654875,79.800003,16.753138
34.854,13.623,81.050003,
34.85445,13.6113,81.950005,17.611717
34.855,13.597,83.050003,
34.854801,13.5933,83.25,17.690006
34.853001,13.56,85.050003,
34.852501,13.55025,85.550003,17.912268
34.851002,13.521,87.050003,
34.851002,13.50896,87.910004,18.147205
34.851002,13.493,89.050003,
34.851002,13.491115,89.340004,17.833656
34.851002,13.48,91.050003,
34.851372,13.4726,91.790001,16.754105
34.852001,13.46,93.050003,
34.851894,13.455905,93.260002,15.729384
34.851002,13.421,95.050003,
34.8503,13.4084,95.75,13.706503
34.848999,13.385,97.050003,
34.849373,13.383425,97.200005,12.447506
34.854,13.364,99.050003,
34.854,13.35668,99.660004,11.91043
34.854,13.34,101.050003,
34.853859,13.33804,101.190002,11.751101
34.852001,13.312,103.050003,
34.851002,13.259,105.050003,
34.85043,13.255295,105.620003,11.481021
34.848999,13.246,107.050003,
34.847,13.197,109.050003,
34.846966,13.19685,109.060005,11.91459
34.84,13.167,111.050003,
34.851002,13.169,113.050003,
34.851372,13.165114,113.420006,13.934904
34.853001,13.148,115.050003,
34.851002,13.111,117.050003,
34.849682,13.09846,117.710007,14.407433
34.847,13.073,119.050003,
34.845039,13.02596,121.010002,14.899534
34.845001,13.025,121.050003,
34.84,12.963,123.050003,
34.839001,12.939,125.050003,
34.839626,12.938,125.300003,15.15505
34.844002,12.931,127.050003,
34.842999,12.905,129.050003,
34.842113,12.897625,129.639999,13.665517
34.84,12.88,131.050003,
34.837002,12.856,133.050003,
34.836803,12.85335,133.150009,12.553825
34.833,12.803,135.050003,
34.828999,12.785,137.050003,
34.829216,12.78242,137.479996,13.059853
34.830002,12.773,139.050003,
34.828999,12.754,141.050003,
34.8307,12.749325,141.900009,14.019092
34.833,12.743,143.050003,
34.830002,12.713,145.050003,
34.829845,12.711295,145.360001,13.656714
34.828999,12.702,147.050003,
34.828999,12.691,149.050003,
34.828594,12.68533,149.860001,13.081194
34.827999,12.677,151.050003,
34.827999,12.657,153.050003,
34.827461,12.65133,153.320007,12.580601
34.824001,12.615,155.050003,
34.820999,12.58,157.050003,
34.818874,12.560875,157.900009,12.872734
34.816002,12.535,159.050003,
34.812,12.494,161.050003,
34.811161,12.49127,161.470001,11.469841
34.807999,12.481,163.050003,
34.813,12.483,165.050003,
34.81311,12.482725,165.160004,8.630853
34.814999,12.478,167.050003,
34.813999,12.466,169.050003,
34.812889,12.45268,169.790009,5.134722
