salinity,temperature,pressure
34.460999,27.941999,4.37
34.460999,27.941999,6.07
34.460999,27.943001,8.17
34.460999,27.944,10.17
34.460999,27.945,12.17
34.460999,27.948,14.17
34.460999,27.948999,16.17
34.460999,27.948,18.17
34.460999,27.947001,20.17
34.460999,27.948,22.17
34.460999,27.950001,24.17
34.460999,27.950001,26.17
34.460999,27.950001,28.17
34.460999,27.951,30.17
34.460999,27.951,32.169998
34.464001,27.950001,34.169998
34.526001,27.900999,36.169998
34.708,27.67,38.169998
34.721001,27.607,40.169998
34.717999,27.596001,42.169998
34.719002,27.583,44.169998
34.720001,27.569,46.169998
34.717999,27.548,48.169998
34.727001,27.554001,50.169998
34.731998,27.559999,52.169998
34.716999,27.476,54.169998
34.713001,27.452,56.169998
34.713001,27.393,58.169998
34.709999,27.316,60.169998
34.699001,27.233,62.169998
34.705002,27.198,64.169998
34.716999,27.158001,66.169998
34.729,27.129999,68.169998
34.727001,27.072001,70.169998
34.723,26.965,72.169998
34.742001,26.541,74.169998
34.748001,25.952999,76.169998
34.721001,25.281,78.169998
34.713001,24.952,80.169998
34.715,24.552999,82.169998
34.766998,24.288,84.169998
34.786999,24.256001,86.169998
34.786999,24.246,88.169998
34.785,24.226999,90.169998
34.778,24.177999,92.169998
34.748001,23.823,94.169998
34.796001,23.653999,96.169998
34.801998,23.653,98.169998
34.832001,23.629,100.169998
34.849998,23.533001,102.269997
34.867001,23.492001,104.169998
34.84,23.233999,106.169998
34.793999,22.93,108.169998
34.776001,22.837999,110.169998
34.743999,22.657,112.169998
34.700001,22.326,114.169998
34.665001,22.025,116.169998
34.595001,21.5,118.169998
34.530998,21.07,120.169998
34.498001,20.851999,122.269997
34.500999,20.82,124.169998
34.491001,20.606001,126.169998
34.48,20.459,128.070007
34.459,20.128,130.069992
34.433998,19.511,132.169998
34.416,19.155001,134.169998
34.403999,18.698999,136.169998
34.387001,18.003,138.569992
34.373001,17.155001,139.970001
34.379002,16.413,142.169998
34.376999,16.215,144.069992
34.380001,15.741,146.169998
34.375,15.478,148.169998
34.368999,15.095,150.169998
34.362999,14.495,152.169998
34.363998,14.004,154.169998
34.370998,13.344,156.169998
34.369999,13.166,158.169998
34.366001,13.14,160.169998
34.365002,13.053,162.169998
34.370998,12.527,164.169998
34.370998,12.38,166.169998
34.370998,12.282,168.169998
34.370998,12.155,170.169998
34.395,11.927,172.169998
34.401001,11.814,174.169998
34.421001,11.758,176.169998
34.474998,11.768,178.169998
34.487,11.744,180.169998
34.487999,11.713,182.169998
34.484001,11.593,184.169998
34.487,11.483,186.169998
34.485001,11.397,188.169998
34.481998,11.337,190.169998
34.479,11.229,192.169998
34.473,11.114,194.169998
34.470001,11.057,196.169998
34.474998,11.051,198.169998
34.480999,11.06,200.169998
34.488998,11.058,202.169998
34.518002,11.104,204.169998
34.521,11.108,206.169998
34.522999,11.101,208.169998
34.526001,11.076,210.169998
34.528999,11.047,212.169998
34.530998,11.027,214.169998
34.535,10.987,216.169998
34.533001,10.924,218.169998
34.529999,10.885,220.169998
34.528999,10.811,222.169998
34.527,10.764,224.169998
34.527,10.741,226.169998
34.526001,10.707,228.169998
34.521,10.608,230.169998
34.528999,10.581,232.169998
34.534,10.582,234.069992
34.537998,10.517,236.169998
34.535999,10.471,238.169998
34.535,10.453,240.169998
34.535999,10.422,242.169998
34.536999,10.375,244.169998
34.535999,10.338,246.169998
34.535,10.326,248.169998
34.536999,10.306,250.169998
34.539001,10.288,252.169998
34.542,10.273,254.169998
34.548,10.25,256.170013
34.555,10.214,258.170013
34.556999,10.197,260.170013
34.555,10.166,262.170013
34.555,10.137,264.170013
34.554001,10.1,266.170013
34.555,10.04,268.170013
34.550999,9.964,270.170013
34.549,9.924,272.170013
34.547001,9.871,274.170013
34.546001,9.84,276.170013
34.544998,9.824,278.170013
34.546001,9.799,280.170013
34.548,9.786,282.170013
34.550999,9.771,284.170013
34.549999,9.751,286.170013
34.553001,9.742,288.170013
34.554001,9.734,290.27002
34.553001,9.719,292.170013
34.551998,9.709,294.170013
34.549999,9.669,296.170013
34.549999,9.64,298.170013
34.566002,9.676,300.170013
34.571999,9.665,302.170013
34.571999,9.629,304.170013
34.573002,9.605,306.170013
34.574001,9.588,308.170013
34.574001,9.546,310.170013
34.576,9.522,312.170013
34.583,9.522,314.170013
34.584,9.502,316.170013
34.584,9.477,318.170013
34.578999,9.396,320.170013
34.576,9.358,322.170013
34.575001,9.326,324.170013
34.574001,9.305,326.170013
34.577999,9.313,328.170013
34.585999,9.326,330.170013
34.591,9.325,332.170013
34.591999,9.291,334.170013
34.591,9.259,336.170013
34.597,9.244,338.170013
34.598,9.242,340.170013
34.601002,9.235,342.170013
34.601002,9.21,344.170013
34.598999,9.186,346.170013
34.598999,9.167,348.170013
34.602001,9.135,350.170013
34.599998,9.114,352.170013
34.598999,9.098,354.170013
34.598999,9.095,356.170013
34.598999,9.09,358.170013
34.598,9.071,360.170013
34.597,9.055,362.170013
34.597,9.043,364.170013
34.596001,9.022,366.170013
34.595001,8.986,368.170013
34.592999,8.962,370.170013
34.591999,8.948,372.170013
34.591,8.935,374.170013
34.59,8.894,376.170013
34.589001,8.877,378.170013
34.588001,8.865,380.170013
34.585999,8.845,382.170013
34.584999,8.831,384.170013
34.583,8.807,386.170013
34.582001,8.79,388.170013
34.581001,8.785,390.170013
34.580002,8.782,392.170013
34.578999,8.764,394.170013
34.578999,8.74,396.170013
34.580002,8.726,398.170013
34.581001,8.725,400.170013
34.581001,8.702,402.170013
34.580002,8.689,404.170013
34.582001,8.67,406.170013
34.581001,8.654,408.170013
34.584,8.651,410.170013
34.584999,8.64,412.170013
34.584999,8.637,414.170013
34.584999,8.634,416.170013
34.585999,8.619,418.170013
34.585999,8.599,420.170013
34.585999,8.593,422.170013
34.585999,8.588,424.170013
34.584999,8.572,426.170013
34.584,8.547,428.170013
34.583,8.533,430.170013
34.582001,8.514,432.170013
34.578999,8.492,434.170013
34.576,8.466,436.170013
34.573002,8.444,438.170013
34.570999,8.429,440.170013
34.573002,8.417,442.170013
34.575001,8.418,444.170013
34.576,8.404,446.170013
34.574001,8.38,448.170013
34.57,8.335,450.170013
34.566002,8.292,452.170013
34.566002,8.282,454.170013
34.566002,8.277,456.170013
34.564999,8.263,458.170013
34.563999,8.242,460.170013
34.563999,8.232,462.170013
34.563,8.205,464.170013
34.563,8.194,466.170013
34.563,8.187,468.170013
34.563999,8.182,470.170013
34.564999,8.168,472.170013
34.564999,8.15,474.170013
34.564999,8.128,476.170013
34.563999,8.119,478.170013
34.563999,8.112,480.170013
34.563999,8.109,482.170013
34.563999,8.108,484.170013
34.563999,8.104,486.170013
34.563999,8.103,488.170013
34.563999,8.101,490.170013
34.563,8.097,492.170013
34.563,8.088,494.170013
34.563,8.086,496.170013
34.562,8.07,498.170013
34.561001,8.054,500.170013
34.558998,7.978,502.170013
34.555,7.931,504.170013
34.554001,7.924,506.170013
34.553001,7.906,508.170013
34.551998,7.893,510.170013
34.550999,7.875,512.169983
34.549,7.856,514.169983
34.548,7.837,516.169983
34.546001,7.786,518.169983
34.542999,7.75,520.169983
34.542,7.725,522.169983
34.542,7.717,524.169983
34.542,7.713,526.169983
34.542,7.697,528.169983
34.541,7.676,530.169983
34.541,7.671,532.169983
34.541,7.665,534.169983
34.540001,7.654,536.169983
34.540001,7.645,538.169983
34.540001,7.638,540.169983
34.539001,7.625,542.169983
34.539001,7.613,544.169983
34.539001,7.596,546.169983
34.540001,7.564,548.169983
34.539001,7.54,550.169983
34.539001,7.525,552.169983
34.539001,7.504,554.169983
34.537998,7.497,556.169983
34.539001,7.465,558.169983
34.539001,7.44,560.169983
34.539001,7.438,562.169983
34.539001,7.437,564.169983
34.539001,7.434,566.169983
34.539001,7.425,568.169983
34.539001,7.417,570.169983
34.539001,7.409,572.169983
34.537998,7.405,574.169983
34.537998,7.395,576.169983
34.537998,7.381,578.169983
34.536999,7.352,580.169983
34.536999,7.337,582.169983
34.535999,7.327,584.169983
34.535,7.313,586.169983
34.535,7.278,588.169983
34.534,7.246,590.169983
34.534,7.212,592.169983
34.534,7.189,594.169983
34.533001,7.173,596.169983
34.533001,7.168,598.169983
34.533001,7.163,600.169983
34.533001,7.157,602.169983
34.532001,7.153,604.169983
34.532001,7.142,606.169983
34.532001,7.117,608.070007
34.532001,7.091,610.169983
34.530998,7.08,612.169983
34.530998,7.051,614.169983
34.529999,7.027,616.169983
34.529999,7.018,618.169983
34.529999,7.007,620.169983
34.529999,6.995,622.169983
34.528999,6.969,624.169983
34.528999,6.958,626.169983
34.528,6.948,628.169983
34.528,6.924,630.169983
34.528,6.905,632.169983
34.528,6.89,634.169983
34.527,6.862,636.169983
34.527,6.856,638.169983
34.527,6.849,640.169983
34.527,6.837,642.269958
34.527,6.83,644.169983
34.527,6.824,646.070007
34.526001,6.822,647.969971
34.526001,6.819,650.169983
34.526001,6.808,652.169983
34.526001,6.774,654.169983
34.525002,6.762,656.169983
34.525002,6.752,658.169983
34.525002,6.73,660.169983
34.525002,6.722,662.169983
34.525002,6.717,664.169983
34.525002,6.712,666.169983
34.525002,6.712,668.169983
34.523998,6.711,670.169983
34.525002,6.683,672.169983
34.525002,6.645,674.169983
34.523998,6.633,676.169983
34.523998,6.612,678.169983
34.523998,6.601,680.169983
34.523998,6.589,682.169983
34.523998,6.579,684.169983
34.522999,6.566,686.169983
34.522999,6.557,688.169983
34.522999,6.553,690.169983
34.522999,6.548,692.169983
34.522999,6.544,694.169983
34.522999,6.535,696.169983
34.522999,6.528,698.169983
34.522999,6.528,700.169983
34.522999,6.52,702.169983
34.522999,6.507,704.169983
34.522999,6.49,706.169983
34.522999,6.483,708.169983
34.521999,6.481,710.169983
34.522999,6.473,712.169983
34.521999,6.448,714.169983
34.521999,6.434,716.169983
34.521999,6.422,718.169983
34.521999,6.411,720.169983
34.521999,6.401,722.169983
34.521999,6.38,724.169983
34.521999,6.37,726.169983
34.521999,6.354,728.169983
34.521999,6.341,730.169983
34.521999,6.32,732.169983
34.521999,6.306,734.169983
34.521,6.294,736.169983
34.521999,6.275,738.169983
34.521,6.25,740.169983
34.521,6.243,742.169983
34.521,6.222,744.169983
34.521,6.21,746.169983
34.521,6.199,748.169983
34.521,6.191,750.169983
34.521,6.185,752.169983
34.521,6.176,754.169983
34.521,6.159,756.169983
34.52,6.136,758.169983
34.521,6.119,760.169983
34.52,6.112,762.169983
34.52,6.106,764.169983
34.52,6.099,766.169983
34.52,6.091,768.169983
34.52,6.086,770.169983
34.52,6.079,772.169983
34.521,6.051,774.169983
34.52,6.033,776.169983
34.52,6.02,778.169983
34.52,6.01,780.169983
34.52,6.002,782.169983
34.52,5.983,784.169983
34.52,5.971,786.169983
34.52,5.953,788.169983
34.52,5.935,790.169983
34.52,5.925,792.169983
34.52,5.922,794.169983
34.52,5.921,796.169983
34.52,5.913,798.169983
34.52,5.895,800.169983
34.52,5.882,802.169983
34.52,5.874,804.169983
34.52,5.863,806.169983
34.52,5.852,808.169983
34.52,5.843,810.169983
34.52,5.833,812.169983
