salinity_sfile,temperature_sfile,pressure,doxy
34.479,29.145,2.65,198.017929
34.479,29.138,4.15,198.028519
34.479,29.136,6.25,198.009995
34.479,29.134001,8.25,198.050568
34.479,29.132,10.25,198.069427
34.479,29.132,12.25,197.96965
34.479,29.132,14.25,198.077377
34.479,29.132999,16.25,198.068985
34.479,29.132999,18.25,198.058929
34.479,29.134001,20.25,198.028061
34.479,29.132999,22.25,198.040939
34.479,29.132999,24.25,198.086731
34.479,29.132999,26.25,197.978424
34.479,29.132,28.25,197.991394
34.479,29.134001,30.25,197.939499
34.48,29.134001,32.25,197.963287
34.48,29.135,34.25,197.896973
34.48,29.134001,36.25,197.899353
34.48,29.132999,38.25,197.939087
34.48,29.132,40.25,197.802704
34.48,29.132999,42.25,197.817856
34.479,29.132999,44.25,197.844727
34.479,29.132999,46.25,197.777481
34.479,29.134001,48.25,197.821243
34.48,29.132999,50.349998,197.722839
34.486,28.753,52.450001,199.80574
34.484001,28.812,54.650002,199.445465
34.498001,28.306999,56.25,202.071228
34.507,28.209999,58.049999,202.191116
34.536999,27.968,60.25,203.125839
34.549,27.834999,62.450001,203.583984
34.818001,26.497,64.150002,209.627609
34.918999,26.200001,66.25,209.486526
34.922001,26.062,68.349998,209.015396
34.917999,25.697001,70.050003,207.8508
34.870998,25.042999,72.25,206.541
34.858002,24.752001,74.25,206.674286
34.855999,24.705999,76.150002,206.279999
34.853001,24.555,78.25,205.930145
34.849998,24.323,80.25,205.49321
34.844002,24.098,82.25,205.243683
34.835999,23.815001,84.349998,204.909637
34.823002,23.344999,86.050003,202.386871
34.823002,22.719999,88.150002,199.658661
34.820999,22.438999,90.25,199.403671
34.817001,22.309,92.25,199.045883
34.810001,22.150999,94.25,198.388916
34.803001,21.959999,96.349998,196.811722
34.786999,21.524,98.25,192.551956
34.762001,20.82,100.150002,187.841721
34.754002,20.559,102.25,184.611008
34.744999,20.299999,104.25,183.666061
34.740002,20.261,106.25,181.666931
34.729,20.131001,108.25,177.226242
34.707001,19.612,110.25,172.077484
34.682999,19.103001,112.25,168.049515
34.668999,18.782,114.25,165.042877
34.659,18.656,116.25,161.26712
34.636002,18.226999,118.25,158.04039
34.618999,17.872999,120.25,156.596069
34.612,17.756001,122.25,154.796631
34.601002,17.612,124.349998,151.888687
34.585022,17.362589,125.669998,147.071075
34.577999,17.253,126.25,
34.570061,17.139147,126.769997,142.630539
34.549,16.837,128.149994,136.463745
34.515999,16.177999,130.25,128.682098
34.497002,15.845,132.25,125.007988
34.490002,15.714,134.25,120.904411
34.483002,15.581,136.25,115.107582
34.473999,15.204,138.25,110.417725
34.467999,15.128,140.25,104.090492
34.460999,14.844,142.25,95.026451
34.451,14.42,144.25,86.884224
34.467999,13.933,146.25,78.184639
34.458,13.51,148.25,73.44278
34.472,13.092,150.25,69.113609
34.477001,12.822,152.25,67.814369
34.478001,12.752,154.25,65.010437
34.485001,12.671,156.25,58.425659
34.508999,12.584,158.25,46.182014
34.548,12.308,160.25,35.577919
34.564999,12.129,162.25,30.673708
34.584999,11.952,164.25,25.382456
34.599998,11.828,166.25,22.378586
34.612999,11.76,168.25,21.439777
34.612999,11.744,170.25,20.525099
34.617001,11.718,172.25,19.418171
34.622002,11.662,174.25,17.936338
34.632,11.592,176.25,15.413616
34.646,11.51,178.25,14.351332
34.648998,11.482,180.25,13.737612
34.653999,11.454,182.25,13.127297
34.655998,11.438,184.25,12.608579
34.657001,11.411,186.25,11.815543
34.661999,11.362,188.25,10.724523
34.671001,11.307,190.25,10.005426
34.675999,11.254,192.25,9.603621
34.68,11.207,194.25,9.271246
34.683998,11.157,196.25,9.274321
34.686001,11.118,198.25,9.494152
34.688,11.076,200.350006,9.962367
